logged_at,decision_time,contract_ticker,close_ts,spot,strike,offset_pct,p_market,p_market_source,p_yes_model,z_score,vol_60m,vol_60m_model,vol_implied_kalshi,vol_ratio,spread,vol_eff,structure_bias,confirmation_bias,confirmation_score,no_score,obi_score,obi_raw,obi_exchanges,vpin_score,vpin_raw,funding_bias,avg_funding_rate,vol_score,cmf_raw,cmf_score,vwap_score,vwap_signal,vwap_total,vwap_stretch_score,vwap_distance_pct,bearish_rejection,bullish_rejection,ema_stretch_score,stoch_bias,stoch_k,stoch_k_4h,stoch_d,stoch_crossover_active,ema_stack_bias,ema_alignment,z_shift,direction_strength,raw_edge,net_edge,decision,side,neutral_gate,pure_edge_gate,contracts_scanned,tau_minutes,gate_blocked,kelly_fraction,bet_fraction,bet_amount,bankroll,composite_trend,composite_rev,composite_p_up,p_up_v2,chg_30m,chg_10m,chg_5m,bp_5m,bp_1h,chg_1h,chg_2h,chg_3h,body_15m,dir_15m,p_gbdt,sharp_move_active,smc_4h,smc_1h,choch_1h,choch_4h,supply_pct,demand_pct,in_supply_zone,in_demand_zone,stoch_flipped,squeeze_1h,kc_pct_1h,kc_bo_1h,adx_1h,rvol_1h,pm_drift_5m,hour_utc,liq_score,liq_bias,ls_long_pct,oi_chg_pct,cvd_4h,cg_futures_delta_4h,cg_futures_ratio_4h,cg_futures_cvd_12h,cg_spot_cb_ratio_4h,cg_liq_ratio_4h,cg_liq_total_4h,hl_ls_ratio,hl_squeeze_idx,hl_liq_ratio_4h,all_liq_ratio_1h,all_liq_ratio_4h,max_pain_nearest,max_pain_dist_pct,opt_pc_ratio,arima_forecast_1h,markov_regime_daily,markov_regime_7state,ob_imbalance,ob_path_ask_usd,ob_path_bid_usd,ob_ask_frac,ob_bid_wall_pct,ob_ask_wall_pct,hmm_vol_state,hmm_r1_prob,hmm_vol_k10,hmm_time_in_state,ou_z_score,ou_halflife_min,ou_tau_drift,hs_pattern_type,hs_bars_since_break,hs_r2,hs_neck_slope,hs_head_height,hs_head_width,flag_signal,flag_bull_bars_ago,flag_bear_bars_ago,flag_bull_tip_y,flag_bear_tip_y,flag_bull_pole_pct,flag_bear_pole_pct,pip_last_slope,pip_up_frac,pip_n_turns,v_hawk,hawk_vol_regime,pc1_rsi,ou_theta,hurst_exponent,autocorr1_15,autocorr1_30,kalman_velocity,kalman_residual,hmm_ms_state,hmm_ms_prob,hmm_of_state,hmm_of_prob,hmm_vd_state,hmm_vd_prob,hmm_pnl_state,hmm_ps_state,hmm_gd_state,hmm_zdrift_state,resolved_yes,would_win,would_pnl,spot_at_expiry,price_move_pct,miss_pct,loss_margin_pct,loss_category,p_up_v3,pup_v3_hmm_state,eth_p_up_v1,sol_p_up_v1,cg_flow_state,bb_width_5m,logged_at_p,won,be,tedge,ts,dir15,d,week,grp,signed_d
2026-07-02 01:07:23,2026-07-02 01:00,KXBTCD-26JUL0122-T59899.99,2026-07-02T02:00:00Z,59667.4,59899.99,0.3898,0.16,real,0.081059,1.4101,0.00045728,0.0005411,0.00054054,1.001,0.01,0.00056059,0.0,0.0,1.0,2.0,-1.0,-0.1041,2.0,0.0,0.4491,-1.0,6.029e-05,0.0,,0.0,0.0,0.0,1.0,1.0,-0.1069,False,False,1.0,1.0,8.31,,4.92,True,0.0,neutral,0.0,0.0,0.080146,0.060003,trade,no,False,False,108.0,52.38,,0.500914,0.05,100.0,2000.0,1.0,5.0,0.5187,0.5052,0.1033,0.0556,-0.0637,0.5408,0.4066,0.0556,-0.4942,-1.246,0.2333,1.0,0.2493,False,bearish,bullish,False,False,10.229,1.734,False,False,,False,,,27.85,0.0055,,1.0,0.0,0.98,66.14,-0.2722,,,,,,,,,,,,,,,,,,,-1.0,10925981.47,0.0,0.002552,-0.00165,0.00208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,False,-100.0,60150.52,0.8097,0.4182,0.4182,clear_loss,,,,,,,2026-07-02 01:07:23+00:00,False,0.84,-0.84,2026-07-02 01:06:22+00:00,-1.0,-0.21760000000000007,2026-06-27/2026-07-03,AGREE,0.21760000000000007
2026-07-02 09:16:30,2026-07-02 09:00,KXBTCD-26JUL0206-T60499.99,2026-07-02T10:00:00Z,60359.41,60499.99,0.2329,0.2,real,0.181427,1.0227,0.00042938,0.00037313,0.00042007,0.8883,0.01,0.00045484,0.0,-1.0,0.0,1.0,0.0,0.079,2.0,-1.0,1.0,-1.0,6.567e-05,0.0,,0.0,0.0,0.0,0.0,0.0,-0.1582,False,False,0.0,0.0,62.33,,62.39,False,0.0,bullish,0.0,0.0,0.037719,0.013203,trade,no,False,False,120.0,43.3,,0.188595,0.01886,37.72,2000.0,2.0,0.0,0.6111,0.5581,-0.0212,0.0376,0.0503,0.689,0.3711,-0.1205,0.509,0.2072,0.1755,-1.0,0.2673,False,bullish,bullish,False,False,8.966,0.568,False,False,,True,,,26.57,5.7962,-0.17,9.0,-2.0,-0.8261,66.15,0.1585,,,,,,,,,,,,,,,,,,,-1.0,7558486.61,0.0,0.001358,-0.00161,0.00198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,False,-37.72,61132.5,1.2808,1.0455,1.0455,clear_loss,,,,,,,2026-07-02 09:16:30+00:00,False,0.8,-0.8,2026-07-02 09:08:35+00:00,1.0,0.2022,2026-06-27/2026-07-03,DISAGREE,-0.2022
2026-07-02 09:30:46,2026-07-02 09:00,KXBTCD-26JUL0206-T60799.99,2026-07-02T10:00:00Z,60562.01,60799.99,0.393,0.14,real,0.055512,1.5784,0.00050534,0.0004052,0.00067431,0.6009,0.01,0.00054941,0.0,0.0,1.0,2.0,1.0,0.149,2.0,0.0,0.6309,-1.0,6.567e-05,0.0,,0.0,0.0,0.0,0.0,0.0,0.2134,False,False,-1.0,-1.0,100.0,,87.08,False,1.0,bullish,0.0,0.0,0.083346,0.064605,trade,no,False,False,120.0,28.98,,0.59533,0.05,100.0,2000.0,3.0,-2.0,0.4915,0.4905,0.3577,0.3286,0.1428,1.0,0.9706,0.1151,0.7461,0.4436,0.6757,1.0,0.0483,False,bullish,bullish,False,False,8.601,0.901,False,False,,True,,,26.65,5.8129,,9.0,0.0,1.0,66.0,-0.1089,,,,,,,,,,,,,,,,,,,-1.0,9189230.57,0.0,0.001222,-0.00059,0.00277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,False,-100.0,61132.5,0.942,0.5469,0.5469,clear_loss,,,,,,,2026-07-02 09:30:46+00:00,False,0.86,-0.86,2026-07-02 09:23:51+00:00,1.0,0.2062000000000001,2026-06-27/2026-07-03,DISAGREE,-0.2062000000000001
2026-07-02 16:28:10,2026-07-02 16:00,KXBTCD-26JUL0213-T61299.99,2026-07-02T17:00:00Z,61124.59,61299.99,0.287,0.29,real,0.241182,0.7271,0.00092896,0.00123381,0.00092086,1.3398,0.01,0.00092212,0.0,0.0,1.0,3.0,-1.0,-0.1179,2.0,0.0,0.5812,-1.0,6.445e-05,0.0,,0.0,1.0,-1.0,-2.0,0.0,-0.0999,True,False,1.0,1.0,0.0,,27.13,False,0.0,bullish,0.0,0.0,0.0539,0.026275,trade,no,False,False,130.0,31.62,,0.185862,0.018586,37.17,2000.0,3.0,4.0,0.5187,0.5175,-0.6373,-0.5247,-0.432,0.6091,0.0,-0.6033,-0.7375,-1.1832,0.456,1.0,0.6539,True,bullish,bullish,False,False,7.602,1.813,False,False,,False,,,34.74,0.1253,,16.0,-1.0,-1.0,62.19,-0.0152,,,,,,,,,,,,,,,,,,,-1.0,10157798.74,0.0,0.001877,-0.00138,0.00179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,False,-37.17,61680.45,0.9094,0.6207,0.6207,clear_loss,,,,,,,2026-07-02 16:28:10+00:00,False,0.71,-0.71,2026-07-02 16:10:37+00:00,1.0,0.26580000000000004,2026-06-27/2026-07-03,DISAGREE,-0.26580000000000004
2026-07-02 22:53:07,2026-07-02 22:00,KXBTCD-26JUL0219-T61499.99,2026-07-02T23:00:00Z,61431.7,61499.99,0.1112,0.17,real,0.089619,1.4816,0.00020999,0.00027489,0.00045143,0.6089,0.01,0.0004275,1.0,-1.0,0.0,1.0,0.0,0.0882,2.0,0.0,0.7891,-1.0,5.833e-05,0.0,,0.0,0.0,0.0,0.0,0.0,0.0652,False,False,0.0,0.0,41.04,,45.19,False,0.0,bullish,0.0,0.0,0.094421,0.074531,trade,no,False,False,126.0,6.65,,0.555419,0.05,125.0,2500.0,5.0,0.0,0.7278,0.6863,-0.0364,-0.0579,-0.0377,0.5,0.0318,-0.1869,-0.2378,-0.0022,0.8209,-1.0,0.1877,False,bullish,bullish,False,False,7.064,2.304,False,False,,False,,,33.26,0.0228,-0.09,22.0,1.0,1.0,62.56,-0.1009,,,,,,,,,,,,,,,,,,,-0.1906,4404680.08,0.0,0.009212,-0.00162,0.00204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,True,25.6,61422.59,-0.0148,-0.1259,0.0,win,,,,,,,2026-07-02 22:53:07+00:00,True,0.83,0.17000000000000004,2026-07-02 22:50:52+00:00,1.0,0.36879999999999996,2026-06-27/2026-07-03,DISAGREE,-0.36879999999999996
2026-07-02 23:00:54,2026-07-02 23:00,KXBTCD-26JUL0220-T61499.99,2026-07-03T00:00:00Z,61337.25,61499.99,0.2653,0.21,real,0.237355,1.1362,0.00031382,0.00035159,0.0004283,0.8209,0.01,0.00044703,1.0,-1.0,0.0,2.0,0.0,-0.025,2.0,0.0,0.7846,-1.0,5.867e-05,0.0,,0.0,1.0,-1.0,-2.0,0.0,-0.0438,True,False,1.0,0.0,21.81,,41.28,False,0.0,bullish,0.0,0.0,0.050317,0.025924,trade,no,False,False,128.0,58.85,,0.239606,0.023961,59.9,2500.0,5.0,1.0,0.8113,0.6798,-0.1348,-0.0534,-0.1807,0.0,0.0,-0.1693,-0.2134,-0.2643,0.2086,1.0,0.6283,False,bullish,bullish,False,False,7.229,2.154,False,False,,False,,,32.52,0.0006,,23.0,1.0,0.6,62.56,-0.1009,,,,,,,,,,,,,,,,,,,-1.0,10924352.29,0.0,0.004176,-0.00177,0.00184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,True,15.92,61573.15,0.3846,0.119,0.0,win,,,,,,,2026-07-02 23:00:54+00:00,True,0.79,0.20999999999999996,2026-07-02 22:55:56+00:00,1.0,0.254,2026-06-27/2026-07-03,DISAGREE,-0.254
2026-07-03 00:15:43,2026-07-03 00:00,KXBTCD-26JUL0221-T61499.99,2026-07-03T01:00:00Z,61326.39,61499.99,0.2831,0.2,real,0.180674,1.3072,0.00034169,0.00036935,0.00050601,0.7299,0.01,0.00047909,1.0,-1.0,0.0,1.0,0.0,-0.0089,2.0,0.0,0.5477,-1.0,6.3e-05,0.0,,0.0,0.0,0.0,0.0,0.0,,False,False,0.0,0.0,29.24,,45.47,False,0.0,bullish,0.0,0.0,0.08015,0.057766,trade,no,False,False,129.0,44.06,,0.400751,0.040075,100.19,2500.0,5.0,0.0,0.7278,0.6863,-0.0922,-0.0346,0.0281,0.9781,0.2207,-0.2073,-0.1624,-0.2065,0.7793,-1.0,0.4722,False,bullish,bullish,False,False,7.248,2.136,False,False,,False,,,31.34,0.068,,0.0,-1.0,-1.0,62.67,0.0207,,,,,,,,,,,,,,,,,,,-1.0,11379525.76,0.0,0.008144,-0.00182,0.00145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,True,25.05,61318.1,-0.0135,-0.2958,0.0,win,,,,,,,2026-07-03 00:15:43+00:00,True,0.8,0.19999999999999996,2026-07-03 00:02:10+00:00,1.0,0.2962,2026-06-27/2026-07-03,DISAGREE,-0.2962
2026-07-03 00:48:05,2026-07-03 00:00,KXBTCD-26JUL0221-T61399.99,2026-07-03T01:00:00Z,61323.24,61399.99,0.1252,0.21,real,0.201638,0.9853,0.00041855,0.00044512,0.0004533,0.982,0.01,0.00048815,1.0,-1.0,0.0,1.0,0.0,0.0936,2.0,0.0,0.5216,-1.0,6.3e-05,0.0,,0.0,0.0,0.0,0.0,0.0,,False,False,0.0,0.0,42.06,,20.68,True,0.0,bullish,0.0,0.0,0.035224,0.010128,trade,no,False,False,125.0,11.71,,0.167733,0.013755,34.38,2500.0,4.0,0.0,0.6483,0.6405,0.0047,0.0499,0.1184,0.7068,0.2857,-0.326,-0.2811,-0.3252,0.3703,1.0,0.6407,False,bullish,bullish,False,False,7.253,2.131,False,False,,False,,,31.06,0.1392,,0.0,-1.0,-0.9859,62.64,0.062,,,,,,,,,,,,,,,,,,,0.0885,1200975.08,0.0,0.003241,-0.00527,0.01104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,True,9.14,61318.1,-0.0084,-0.1334,0.0,win,,,,,,,2026-07-03 00:48:05+00:00,True,0.79,0.20999999999999996,2026-07-03 00:47:51+00:00,1.0,0.21799999999999997,2026-06-27/2026-07-03,DISAGREE,-0.21799999999999997
2026-07-03 02:13:30,2026-07-03 02:00,KXBTCD-26JUL0223-T61599.99,2026-07-03T03:00:00Z,61451.68,61599.99,0.2413,0.22,real,0.262557,1.0406,0.00048503,0.00047665,0.00045876,1.039,0.01,0.00050061,1.0,-1.0,0.0,1.0,0.0,-0.093,2.0,0.0,0.5155,-1.0,6.3e-05,0.0,,0.0,0.0,0.0,0.0,0.0,0.174,False,False,0.0,0.0,58.38,,74.02,True,0.0,bullish,0.0,0.0,0.03742,0.011972,trade,no,False,False,131.0,46.3,,0.170089,0.017009,42.52,2500.0,5.0,0.0,0.7278,0.6863,-0.2678,-0.0869,-0.0576,1.0,0.102,-0.1032,0.3556,-0.0324,0.6753,-1.0,0.3781,False,bullish,bullish,False,False,7.029,2.336,False,False,,False,,,29.61,0.0219,,2.0,-1.0,-1.0,63.4,-0.052,,,,,,,,,,,,,,,,,,,-1.0,10782184.52,0.0,0.012197,-0.00169,0.00161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,True,11.99,61443.41,-0.0135,-0.2542,0.0,win,,,,,,,2026-07-03 02:13:30+00:00,True,0.78,0.21999999999999997,2026-07-03 02:09:14+00:00,1.0,0.02900000000000008,2026-06-27/2026-07-03,DISAGREE,-0.02900000000000008
2026-07-03 03:00:25,2026-07-03 03:00,KXBTCD-26JUL0300-T61399.99,2026-07-03T04:00:00Z,61331.01,61399.99,0.1125,0.33,real,0.495157,0.4853,0.00051084,0.00044382,0.0003316,1.3384,0.01,0.000442,0.0,-1.0,0.0,2.0,-1.0,-0.1086,2.0,0.0,0.4351,-1.0,6.3e-05,0.0,,0.0,0.0,0.0,0.0,0.0,0.0201,False,False,0.0,0.0,37.79,,31.68,True,-1.0,bullish,0.0,0.0,0.150157,0.11968,trade,yes,False,False,127.0,59.39,,0.224115,0.011206,28.01,2500.0,5.0,0.0,0.7278,0.6865,0.2116,0.141,0.141,0.967,0.5,-0.0157,-0.2562,0.2018,0.752,1.0,0.8443,False,bullish,bullish,False,False,7.24,2.144,False,False,,True,,,28.95,0.0001,,3.0,-1.0,-0.9859,63.51,0.004,,,,,,,,,,,,,,,,,,,-1.0,10043487.19,0.0,0.003264,-0.00179,0.00186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,False,-28.01,61444.55,0.1851,0.0726,0.0726,near_miss,,,,,,,2026-07-03 03:00:25+00:00,False,0.33,-0.33,2026-07-03 02:54:51+00:00,1.0,0.02499999999999994,2026-06-27/2026-07-03,AGREE,0.02499999999999994
