contract_ticker,logged_at,gate_name,asset,side,pm,p_model,net_edge,offset_pct,strike,spot,tau_minutes,count,kelly_fraction,bankroll,close_ts,ema_stack_bias,composite_trend,composite_rev,composite_p_up,stoch_k,vwap_stretch,vol_score,vpin_score,obi_score,ema_stretch,structure_bias,funding_bias,sharp_move_active,liq_score,liq_bias,ls_long_pct,oi_chg_pct,ob_imbalance,ob_path_ask_usd,ob_path_bid_usd,ob_ask_frac,ob_bid_wall_pct,ob_ask_wall_pct,resolved_yes,would_pnl,won,be,bad_cluster,bull,sideways,bear,dominant
KXBTCD-26JUL0611-T61299.99,2026-07-06 14:51:05+00:00,hmm_pup_v3_crashing_no_gate,BTC,no,0.99,0.99,-0.0157,-0.9944,61299.99,61915.7,8.7,0.0,0.0,2500.0,2026-07-06T15:00:00Z,-1.0,-4.0,1.0,0.4186,38.95,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1,-1.0,63.16,-0.2965,1.0,0.0,6868054.93,0.0,-0.00562,0.00963,True,0.0,False,0.010000000000000009,False,0.9999998190855756,1.807690123113112e-07,1.454145078103375e-10,bull
KXBTCD-26JUL0611-T61399.99,2026-07-06 14:53:33+00:00,hmm_pup_v3_crashing_no_gate,BTC,no,0.99,0.99,-0.0157,-0.8299,61399.99,61913.82,6.2,0.0,0.0,2500.0,2026-07-06T15:00:00Z,-1.0,-4.0,1.0,0.4186,38.58,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1,-1.0,63.16,-0.2965,1.0,0.0,13013311.47,0.0,-0.00171,0.00185,True,0.0,False,0.010000000000000009,False,0.9999998190855756,1.807690123113112e-07,1.454145078103375e-10,bull
KXBTCD-26JUL0611-T61499.99,2026-07-06 14:03:51+00:00,hmm_pup_v3_crashing_no_gate,BTC,no,0.74,0.781,-0.0671,-0.5112,61499.99,61815.99,55.9,0.0,0.0,2500.0,2026-07-06T15:00:00Z,-1.0,-4.0,3.0,0.4672,30.76,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.99,62.82,0.3513,0.82,0.0,8057591.86,0.000829,-0.00251,0.00062,True,0.0,False,0.26,False,0.9999998190855756,1.807690123113112e-07,1.454145078103375e-10,bull
KXBTCD-26JUL0611-T61599.99,2026-07-06 14:03:51+00:00,hmm_pup_v3_crashing_no_gate,BTC,no,0.66,0.6991,-0.0678,-0.3494,61599.99,61815.99,55.9,0.0,0.0,2500.0,2026-07-06T15:00:00Z,-1.0,-4.0,3.0,0.4672,30.76,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.99,62.82,0.3513,0.3925,0.0,4973733.31,0.00486,-0.00251,0.00062,True,0.0,False,0.33999999999999997,False,0.9999998190855756,1.807690123113112e-07,1.454145078103375e-10,bull
KXBTCD-26JUL0611-T61699.99,2026-07-06 14:03:51+00:00,hmm_pup_v3_crashing_no_gate,BTC,no,0.57,0.6041,-0.0647,-0.1877,61699.99,61815.99,55.9,0.0,0.0,2500.0,2026-07-06T15:00:00Z,-1.0,-4.0,3.0,0.4672,30.76,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.99,62.82,0.3513,0.3449,0.0,1367820.3,0.007393,-0.00251,0.00062,True,0.0,False,0.43000000000000005,False,0.9999998190855756,1.807690123113112e-07,1.454145078103375e-10,bull
KXBTCD-26JUL0611-T61799.99,2026-07-06 14:01:24+00:00,hmm_pup_v3_crashing_no_gate,BTC,no,0.54,0.4457,0.0425,0.036,61799.99,61777.77,58.4,75.0,0.1388,2500.0,2026-07-06T15:00:00Z,-1.0,-6.0,6.0,0.3656,30.76,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0.99,62.82,0.3513,0.1262,0.0,0.0,0.004981,-0.00474,0.03597,True,-34.5,False,0.45999999999999996,False,0.9999998190855756,1.807690123113112e-07,1.454145078103375e-10,bull
KXBTCD-26JUL0611-T61899.99,2026-07-06 14:01:24+00:00,hmm_pup_v3_crashing_no_gate,BTC,no,0.43,0.3722,0.0075,0.1978,61899.99,61777.77,58.4,0.0,0.0,2500.0,2026-07-06T15:00:00Z,-1.0,-6.0,6.0,0.3656,30.76,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0.99,62.82,0.3513,0.2569,1311813.3,0.0,0.003282,-0.00474,0.03597,True,-4.56,False,0.5700000000000001,False,0.9999998190855756,1.807690123113112e-07,1.454145078103375e-10,bull
KXBTCD-26JUL0611-T61999.99,2026-07-06 14:01:24+00:00,hmm_pup_v3_crashing_no_gate,BTC,no,0.34,0.2784,0.0155,0.3597,61999.99,61777.77,58.4,50.0,0.1324,2500.0,2026-07-06T15:00:00Z,-1.0,-6.0,6.0,0.3656,30.76,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0.99,62.82,0.3513,0.4247,2683020.66,0.0,0.001435,-0.00474,0.03597,False,17.0,True,0.6599999999999999,False,0.9999998190855756,1.807690123113112e-07,1.454145078103375e-10,bull
KXBTCD-26JUL0611-T62099.99,2026-07-06 14:01:24+00:00,hmm_pup_v3_crashing_no_gate,BTC,no,0.26,0.2004,0.0189,0.5216,62099.99,61777.77,58.4,59.0,0.1756,2500.0,2026-07-06T15:00:00Z,-1.0,-6.0,6.0,0.3656,30.76,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0.99,62.82,0.3513,-0.0683,3569367.92,0.0,0.000571,-0.00474,0.03597,False,15.34,True,0.74,False,0.9999998190855756,1.807690123113112e-07,1.454145078103375e-10,bull
KXBTCD-26JUL0611-T62199.99,2026-07-06 14:00:10+00:00,hmm_pup_v3_crashing_no_gate,BTC,no,0.16,0.1251,0.0108,0.7719,62199.99,61723.52,59.6,0.0,0.0,2500.0,2026-07-06T15:00:00Z,-1.0,-7.0,8.0,0.4729,27.41,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0.99,62.82,0.3513,-1.0,3216817.48,0.0,0.001202,-0.00532,0.03688,False,1.28,True,0.84,False,0.9999998190855756,1.807690123113112e-07,1.454145078103375e-10,bull
