logged_at,decision_time,contract_ticker,close_ts,spot,strike,offset_pct,p_market,p_market_source,p_yes_model,z_score,vol_60m,vol_60m_model,vol_implied_kalshi,vol_ratio,spread,vol_eff,structure_bias,confirmation_bias,confirmation_score,no_score,obi_score,obi_raw,obi_exchanges,vpin_score,vpin_raw,funding_bias,avg_funding_rate,vol_score,vwap_score,vwap_signal,vwap_total,vwap_stretch_score,vwap_distance_pct,bearish_rejection,bullish_rejection,ema_stretch_score,stoch_bias,stoch_k,stoch_d,stoch_crossover_active,ema_stack_bias,ema_alignment,z_shift,direction_strength,raw_edge,net_edge,decision,side,neutral_gate,pure_edge_gate,contracts_scanned,tau_minutes,gate_blocked,kelly_fraction,bet_fraction,bet_amount,bankroll,composite_trend,composite_rev,composite_p_up,chg_30m,chg_10m,chg_5m,sharp_move_active,stoch_flipped,resolved_yes,would_win,would_pnl,logged_at_parsed,cmf_raw,cmf_score,stoch_k_4h,p_up_v2,bp_5m,bp_1h,chg_1h,chg_2h,chg_3h,body_15m,dir_15m,p_gbdt,smc_4h,smc_1h,choch_1h,choch_4h,supply_pct,demand_pct,in_supply_zone,in_demand_zone,squeeze_1h,kc_pct_1h,kc_bo_1h,adx_1h,rvol_1h,pm_drift_5m,hour_utc,liq_score,liq_bias,ls_long_pct,oi_chg_pct,cvd_4h,cg_futures_delta_4h,cg_futures_ratio_4h,cg_futures_cvd_12h,cg_spot_cb_ratio_4h,cg_liq_ratio_4h,cg_liq_total_4h,hl_ls_ratio,hl_squeeze_idx,hl_liq_ratio_4h,all_liq_ratio_1h,all_liq_ratio_4h,max_pain_nearest,max_pain_dist_pct,opt_pc_ratio,arima_forecast_1h,markov_regime_daily,markov_regime_7state,ob_imbalance,ob_path_ask_usd,ob_path_bid_usd,ob_ask_frac,ob_bid_wall_pct,ob_ask_wall_pct,hmm_vol_state,hmm_r1_prob,hmm_vol_k10,hmm_time_in_state,ou_z_score,ou_halflife_min,ou_tau_drift,hs_pattern_type,hs_bars_since_break,hs_r2,hs_neck_slope,hs_head_height,hs_head_width,flag_signal,flag_bull_bars_ago,flag_bear_bars_ago,flag_bull_tip_y,flag_bear_tip_y,flag_bull_pole_pct,flag_bear_pole_pct,pip_last_slope,pip_up_frac,pip_n_turns,v_hawk,hawk_vol_regime,pc1_rsi,ou_theta,hurst_exponent,autocorr1_15,autocorr1_30,kalman_velocity,kalman_residual,hmm_ms_state,hmm_ms_prob,hmm_of_state,hmm_of_prob,hmm_vd_state,hmm_vd_prob,hmm_pnl_state,hmm_ps_state,hmm_gd_state,hmm_zdrift_state,spot_at_expiry,price_move_pct,miss_pct,loss_margin_pct,loss_category,p_up_v3,pup_v3_hmm_state,eth_p_up_v1,p_eth,week,yw,be,agree
2026-04-08 05:44:34,2026-04-08 05:00,KXETHD-26APR0802-T2239.99,2026-04-08T06:00:00Z,2240.86,2239.99,-0.0386,0.5,real,0.701938,-0.53,0.00042053,0.00018574,,,0.02,0.00018574,0.0,-1.0,0.0,1.0,0.0,-0.0832,2.0,0.0,0.3885,-1.0,0.0001,0.0,0.0,0.0,-1.0,-1.0,0.2999,False,False,0.0,0.0,69.26,66.35,False,1.0,bullish,0.0,0.0,0.176938,0.144438,trade,yes,False,False,46.0,15.38,,0.353875,0.05,25.0,500.0,,,,,,,,,True,True,25.0,2026-04-08 05:44:34+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.474577041762796,15,2026-W15,0.5,False
2026-04-08 08:24:36,2026-04-08 08:00,KXETHD-26APR0805-T2259.99,2026-04-08T09:00:00Z,2256.16,2259.99,0.1699,0.34,real,0.268808,0.6164,0.00053249,0.00031058,0.00069241,0.4485,0.04,0.00046331,0.0,-1.0,0.0,3.0,0.0,0.037,2.0,0.0,0.7358,-1.0,5.773e-05,0.0,1.0,-1.0,-2.0,-2.0,0.832,False,False,-1.0,-1.0,87.81,79.47,False,1.0,bullish,0.0,0.0,0.096192,0.068286,trade,no,False,False,46.0,35.34,,0.282917,0.05,25.0,500.0,,,,,,,,,False,True,12.88,2026-04-08 08:24:36+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4732371106413672,15,2026-W15,0.6599999999999999,True
2026-04-08 18:07:24,2026-04-08 18:00,KXETHD-26APR0815-T2239.99,2026-04-08T19:00:00Z,2229.72,2239.99,0.4604,0.2,real,0.104987,1.2536,0.00058798,0.00034044,0.00075278,0.4522,0.04,0.00050537,1.0,-1.0,0.0,2.0,0.0,-0.088,2.0,0.0,0.4498,-1.0,9.675e-05,0.0,0.0,0.0,0.0,0.0,0.0752,False,False,-1.0,-1.0,81.42,84.61,True,0.0,bullish,0.0,0.0,0.120013,0.099862,trade,no,False,False,46.0,52.57,,0.600064,0.05,25.0,500.0,,,,,,,,,False,True,6.25,2026-04-08 18:07:24+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5438969794195829,15,2026-W15,0.8,False
2026-04-09 02:37:39,2026-04-09 02:00,KXETHD-26APR0823-T2179.99,2026-04-09T03:00:00Z,2180.97,2179.99,-0.045,0.48,real,0.573542,-0.1854,0.00056109,0.00051392,,,0.06,0.00051392,1.0,0.0,1.0,1.0,1.0,0.1031,2.0,0.0,0.6438,-1.0,9.141e-05,-1.0,0.0,0.0,-1.0,-1.0,0.269,False,False,-1.0,0.0,65.64,54.79,False,0.0,neutral,0.0,0.0,0.068542,0.03607,trade,yes,False,False,42.0,22.31,,0.131812,0.05,25.0,500.0,,,,,,,,,True,True,27.08,2026-04-09 02:37:39+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5578054437837497,15,2026-W15,0.48,True
2026-04-09 10:51:29,2026-04-09 10:00,KXETHD-26APR0907-T2189.99,2026-04-09T11:00:00Z,2193.03,2189.99,-0.1386,0.75,real,0.870779,-1.1301,0.00049792,0.00023195,0.00070698,0.3281,0.1,0.00042196,1.0,-1.0,0.0,2.0,0.0,0.0151,2.0,0.0,0.7616,0.0,8.53e-06,0.0,1.0,-1.0,-2.0,-2.0,0.541,False,False,-1.0,-1.0,81.88,81.15,False,0.0,neutral,0.0,0.0,0.120779,0.092654,trade,yes,False,False,35.0,8.46,,0.483115,0.05,25.0,500.0,,,,,,,,,True,True,8.33,2026-04-09 10:51:29+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5018106025023823,15,2026-W15,0.75,True
2026-04-09 11:07:19,2026-04-09 11:00,KXETHD-26APR0908-T2189.99,2026-04-09T12:00:00Z,2192.76,2189.99,-0.1262,0.65,real,0.772365,-0.7467,0.00016276,8.738e-05,0.00045172,0.1934,0.06,0.00023312,1.0,-1.0,0.0,2.0,0.0,-0.0502,2.0,0.0,0.7601,0.0,8.87e-06,0.0,1.0,-1.0,-2.0,-2.0,0.5378,False,False,0.0,-1.0,81.5,81.39,False,0.0,neutral,0.0,0.0,0.122365,0.09144,trade,yes,False,False,36.0,52.64,,0.349614,0.05,25.0,500.0,,,,,,,,,False,False,-25.0,2026-04-09 11:07:19+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5252297208840809,15,2026-W15,0.65,True
2026-04-09 13:19:00,2026-04-09 13:00,KXETHD-26APR0910-T2189.99,2026-04-09T14:00:00Z,2178.38,2189.99,0.533,0.21,real,0.091595,1.331,0.0008946,0.0003534,0.00102994,0.3431,0.14,0.00062402,0.0,0.0,1.0,1.0,-1.0,-0.1224,2.0,0.0,0.5246,0.0,2.996e-05,0.0,0.0,0.0,0.0,0.0,-0.1396,False,False,1.0,1.0,13.84,17.09,False,-1.0,neutral,0.0,0.0,0.118405,0.097581,trade,no,False,False,36.0,40.97,,0.563835,0.05,25.0,500.0,,,,,,,,,False,True,6.65,2026-04-09 13:19:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5478225029006165,15,2026-W15,0.79,False
2026-04-09 13:30:57,2026-04-09 13:00,KXETHD-26APR0910-T2169.99,2026-04-09T14:00:00Z,2178.78,2169.99,-0.4034,0.785,real,0.922902,-1.4249,0.00065036,0.00024384,0.00095084,0.2565,0.17,0.00052664,0.0,0.0,1.0,0.0,0.0,0.0368,2.0,0.0,0.4448,0.0,3.374e-05,0.0,0.0,0.0,0.0,0.0,-0.1204,False,False,1.0,1.0,15.54,14.86,True,-1.0,neutral,0.0,0.0,0.137902,0.111088,trade,yes,False,False,35.0,29.01,,0.641406,0.05,25.0,500.0,,,,,,,,,False,False,-25.0,2026-04-09 13:30:57+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5478225029006165,15,2026-W15,0.785,True
2026-04-09 14:13:29,2026-04-09 14:00,KXETHD-26APR0911-T2169.99,2026-04-09T15:00:00Z,2170.46,2169.99,-0.0217,0.43,real,0.516446,-0.0412,0.00077835,0.00077241,,,0.14,0.00077241,0.0,1.0,2.0,0.0,0.0,0.0067,2.0,0.0,0.3569,0.0,4.22e-05,0.0,-1.0,1.0,2.0,2.0,-0.601,False,False,1.0,1.0,21.96,16.45,True,-1.0,bearish,0.0,0.0,0.086446,0.054289,trade,yes,False,False,35.0,46.48,,0.15166,0.05,25.0,500.0,,,,,,,,,True,True,33.14,2026-04-09 14:13:29+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49504561871139297,15,2026-W15,0.43,False
2026-04-09 18:00:44,2026-04-09 18:00,KXETHD-26APR0915-T2229.99,2026-04-09T19:00:00Z,2222.77,2229.99,0.3248,0.255,real,0.266626,0.6231,0.00106602,0.00070078,0.00063955,1.0957,0.19,0.00067629,-1.0,-1.0,0.0,3.0,0.0,0.0361,2.0,0.0,0.4533,-1.0,5.4e-05,0.0,1.0,-1.0,-2.0,-2.0,0.9476,False,False,-1.0,-1.0,89.45,90.19,True,1.0,bullish,0.0,0.0,0.044535,0.017903,trade,no,False,False,38.0,59.21,,0.174645,0.05,50.0,1000.0,,,,,,,,,False,True,17.11,2026-04-09 18:00:44+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5145675814725047,15,2026-W15,0.745,False
