logged_at,decision_time,contract_ticker,close_ts,spot,strike,offset_pct,p_market,p_market_source,p_yes_model,z_score,vol_60m,vol_60m_model,vol_implied_kalshi,vol_ratio,spread,vol_eff,structure_bias,confirmation_bias,confirmation_score,no_score,obi_score,obi_raw,obi_exchanges,vpin_score,vpin_raw,funding_bias,avg_funding_rate,vol_score,vwap_score,vwap_signal,vwap_total,vwap_stretch_score,vwap_distance_pct,bearish_rejection,bullish_rejection,ema_stretch_score,stoch_bias,stoch_k,stoch_d,stoch_crossover_active,ema_stack_bias,ema_alignment,z_shift,direction_strength,raw_edge,net_edge,decision,side,neutral_gate,pure_edge_gate,contracts_scanned,tau_minutes,gate_blocked,kelly_fraction,bet_fraction,bet_amount,bankroll,composite_trend,composite_rev,composite_p_up,chg_30m,chg_10m,chg_5m,sharp_move_active,stoch_flipped,resolved_yes,would_win,would_pnl,logged_at_parsed,cmf_raw,cmf_score,stoch_k_4h,p_up_v2,bp_5m,bp_1h,chg_1h,chg_2h,chg_3h,body_15m,dir_15m,p_gbdt,smc_4h,smc_1h,choch_1h,choch_4h,supply_pct,demand_pct,in_supply_zone,in_demand_zone,squeeze_1h,kc_pct_1h,kc_bo_1h,adx_1h,rvol_1h,pm_drift_5m,hour_utc,liq_score,liq_bias,ls_long_pct,oi_chg_pct,cvd_4h,cg_futures_delta_4h,cg_futures_ratio_4h,cg_futures_cvd_12h,cg_spot_cb_ratio_4h,cg_liq_ratio_4h,cg_liq_total_4h,hl_ls_ratio,hl_squeeze_idx,hl_liq_ratio_4h,all_liq_ratio_1h,all_liq_ratio_4h,max_pain_nearest,max_pain_dist_pct,opt_pc_ratio,arima_forecast_1h,markov_regime_daily,markov_regime_7state,ob_imbalance,ob_path_ask_usd,ob_path_bid_usd,ob_ask_frac,ob_bid_wall_pct,ob_ask_wall_pct,hmm_vol_state,hmm_r1_prob,hmm_vol_k10,hmm_time_in_state,ou_z_score,ou_halflife_min,ou_tau_drift,hs_pattern_type,hs_bars_since_break,hs_r2,hs_neck_slope,hs_head_height,hs_head_width,flag_signal,flag_bull_bars_ago,flag_bear_bars_ago,flag_bull_tip_y,flag_bear_tip_y,flag_bull_pole_pct,flag_bear_pole_pct,pip_last_slope,pip_up_frac,pip_n_turns,v_hawk,hawk_vol_regime,pc1_rsi,ou_theta,hurst_exponent,autocorr1_15,autocorr1_30,kalman_velocity,kalman_residual,hmm_ms_state,hmm_ms_prob,hmm_of_state,hmm_of_prob,hmm_vd_state,hmm_vd_prob,hmm_pnl_state,hmm_ps_state,hmm_gd_state,hmm_zdrift_state,spot_at_expiry,price_move_pct,miss_pct,loss_margin_pct,loss_category,p_up_v3,pup_v3_hmm_state,eth_p_up_v1,p_eth,week,yw,be,agree,macro_bull,macro_sideways,macro_bear,garch_ratio,macd_hist_1h_recon,donch_1h_recon
2026-04-08 08:24:36,2026-04-08 08:00,KXETHD-26APR0805-T2259.99,2026-04-08T09:00:00Z,2256.16,2259.99,0.1699,0.34,real,0.268808,0.6164,0.00053249,0.00031058,0.00069241,0.4485,0.04,0.00046331,0.0,-1.0,0.0,3.0,0.0,0.037,2.0,0.0,0.7358,-1.0,5.773e-05,0.0,1.0,-1.0,-2.0,-2.0,0.832,False,False,-1.0,-1.0,87.81,79.47,False,1.0,bullish,0.0,0.0,0.096192,0.068286,trade,no,False,False,46.0,35.34,,0.282917,0.05,25.0,500.0,,,,,,,,,False,True,12.88,2026-04-08 08:24:36+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4732371106413672,15,2026-W15,0.6599999999999999,True,1.2237276694700075e-55,1.0,1.6462709545927757e-61,0.9006099908283577,7.2645578851174655,0.9174606169229318
2026-04-09 02:37:39,2026-04-09 02:00,KXETHD-26APR0823-T2179.99,2026-04-09T03:00:00Z,2180.97,2179.99,-0.045,0.48,real,0.573542,-0.1854,0.00056109,0.00051392,,,0.06,0.00051392,1.0,0.0,1.0,1.0,1.0,0.1031,2.0,0.0,0.6438,-1.0,9.141e-05,-1.0,0.0,0.0,-1.0,-1.0,0.269,False,False,-1.0,0.0,65.64,54.79,False,0.0,neutral,0.0,0.0,0.068542,0.03607,trade,yes,False,False,42.0,22.31,,0.131812,0.05,25.0,500.0,,,,,,,,,True,True,27.08,2026-04-09 02:37:39+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5578054437837497,15,2026-W15,0.48,True,1.7815101221286738e-14,0.9833316055350767,0.016668394464897592,0.8697086212296332,-8.851307748301963,0.14590039765195864
2026-04-09 10:51:29,2026-04-09 10:00,KXETHD-26APR0907-T2189.99,2026-04-09T11:00:00Z,2193.03,2189.99,-0.1386,0.75,real,0.870779,-1.1301,0.00049792,0.00023195,0.00070698,0.3281,0.1,0.00042196,1.0,-1.0,0.0,2.0,0.0,0.0151,2.0,0.0,0.7616,0.0,8.53e-06,0.0,1.0,-1.0,-2.0,-2.0,0.541,False,False,-1.0,-1.0,81.88,81.15,False,0.0,neutral,0.0,0.0,0.120779,0.092654,trade,yes,False,False,35.0,8.46,,0.483115,0.05,25.0,500.0,,,,,,,,,True,True,8.33,2026-04-09 10:51:29+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5018106025023823,15,2026-W15,0.75,True,3.462263777710557e-14,0.9900365633986583,0.00996343660129012,0.8281575377653542,-1.3967905463020065,0.38629737609329545
2026-04-09 11:07:19,2026-04-09 11:00,KXETHD-26APR0908-T2189.99,2026-04-09T12:00:00Z,2192.76,2189.99,-0.1262,0.65,real,0.772365,-0.7467,0.00016276,8.738e-05,0.00045172,0.1934,0.06,0.00023312,1.0,-1.0,0.0,2.0,0.0,-0.0502,2.0,0.0,0.7601,0.0,8.87e-06,0.0,1.0,-1.0,-2.0,-2.0,0.5378,False,False,0.0,-1.0,81.5,81.39,False,0.0,neutral,0.0,0.0,0.122365,0.09144,trade,yes,False,False,36.0,52.64,,0.349614,0.05,25.0,500.0,,,,,,,,,False,False,-25.0,2026-04-09 11:07:19+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5252297208840809,15,2026-W15,0.65,True,7.908237328939252e-17,0.9976977092172886,0.0023022907827170255,0.8037289612186023,-1.318843719240721,0.2643784786641904
2026-04-09 13:30:57,2026-04-09 13:00,KXETHD-26APR0910-T2169.99,2026-04-09T14:00:00Z,2178.78,2169.99,-0.4034,0.785,real,0.922902,-1.4249,0.00065036,0.00024384,0.00095084,0.2565,0.17,0.00052664,0.0,0.0,1.0,0.0,0.0,0.0368,2.0,0.0,0.4448,0.0,3.374e-05,0.0,0.0,0.0,0.0,0.0,-0.1204,False,False,1.0,1.0,15.54,14.86,True,-1.0,neutral,0.0,0.0,0.137902,0.111088,trade,yes,False,False,35.0,29.01,,0.641406,0.05,25.0,500.0,,,,,,,,,False,False,-25.0,2026-04-09 13:30:57+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5478225029006165,15,2026-W15,0.785,True,6.444263168623416e-17,0.9952771534773885,0.00472284652263777,0.8044737695375037,-2.382827102263608,0.053055555555557826
2026-04-09 18:03:52,2026-04-09 18:00,KXETHD-26APR0915-T2209.99,2026-04-09T19:00:00Z,2210.5,2209.99,-0.0231,0.445,real,0.51238,-0.031,0.00103302,0.00099535,,,0.15,0.00099535,-1.0,-1.0,0.0,2.0,0.0,-0.0602,2.0,0.0,0.4723,-1.0,5.4e-05,0.0,0.0,0.0,0.0,0.0,0.4596,False,False,1.0,-1.0,70.58,83.9,True,0.0,bullish,0.0,0.0,0.053969,0.021681,trade,yes,False,False,36.0,56.06,,0.097242,0.048621,48.62,1000.0,,,,,,,,,False,False,-48.62,2026-04-09 18:03:52+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5145675814725047,15,2026-W15,0.445,True,1.2873496575507378e-05,0.0008196627765068459,0.9991674637269303,1.2050834290170882,3.607149823111815,0.690657634772791
2026-04-09 18:18:41,2026-04-09 18:00,KXETHD-26APR0915-T2189.99,2026-04-09T19:00:00Z,2211.95,2189.99,-0.993,0.885,real,0.938947,-1.546,0.0010592,0.00081194,0.00129417,0.6274,0.13,0.00100483,-1.0,-1.0,0.0,1.0,-1.0,-0.1122,2.0,0.0,0.4502,0.0,1.133e-05,0.0,0.0,0.0,0.0,0.0,0.2131,False,False,1.0,0.0,61.33,72.08,True,0.0,bullish,0.0,0.0,0.057381,0.035257,trade,yes,False,False,37.0,41.27,,0.498964,0.05,50.0,1000.0,,,,,,,,,True,True,6.5,2026-04-09 18:18:41+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5145675814725047,15,2026-W15,0.885,True,1.2873496575507378e-05,0.0008196627765068459,0.9991674637269303,1.2050834290170882,3.607149823111815,0.690657634772791
2026-04-09 20:33:36,2026-04-09 20:00,KXETHD-26APR0917-T2209.99,2026-04-09T21:00:00Z,2219.74,2209.99,-0.4393,0.92,real,0.971791,-1.9078,0.00049274,0.00034229,0.00061034,0.5608,0.04,0.00044951,0.0,-1.0,0.0,0.0,0.0,-0.0458,2.0,0.0,0.3882,0.0,3.933e-05,0.0,0.0,0.0,-1.0,-1.0,0.7497,False,False,-1.0,0.0,78.53,75.97,False,1.0,bullish,0.0,0.0,0.034952,0.0148,trade,yes,False,False,20.0,26.36,,0.436896,0.05,50.0,1000.0,0.0,-3.0,0.4157,,,,,,True,True,4.35,2026-04-09 20:33:36+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5057699859989637,15,2026-W15,0.92,True,1.0641248626527828e-05,0.0006769316038516069,0.9993124271474947,1.0344100212890603,3.6389641366524432,0.7718035563082127
2026-04-09 21:07:25,2026-04-09 21:00,KXETHD-26APR0918-T2229.99,2026-04-09T22:00:00Z,2223.32,2229.99,0.3,0.305,real,0.286137,0.5647,0.00051814,0.0006796,0.00081025,0.8388,0.07,0.00073186,0.0,-1.0,0.0,1.0,0.0,0.0398,2.0,0.0,0.7387,0.0,4.529e-05,0.0,0.0,0.0,-1.0,-1.0,0.788,False,False,-1.0,-1.0,91.01,72.29,False,1.0,bullish,0.0,0.0,0.046352,0.01793,trade,no,False,False,37.0,52.53,,0.151975,0.05,50.0,1000.0,0.0,-7.0,0.467,,,,,,False,True,21.94,2026-04-09 21:07:25+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.476575493287593,15,2026-W15,0.6950000000000001,True,6.082385466570856e-06,0.0006704899203093503,0.9993234276942278,0.9347658878644477,3.2511041685294804,0.7531752751905136
2026-04-09 22:47:31,2026-04-09 22:00,KXETHD-26APR0919-T2209.99,2026-04-09T23:00:00Z,2210.63,2209.99,-0.0291,0.605,real,0.548324,-0.1214,0.00137669,0.00092653,0.00031002,2.9886,0.11,0.00067993,0.0,0.0,1.0,2.0,-1.0,-0.1466,2.0,0.0,0.7122,-1.0,5.7e-05,0.0,0.0,0.0,0.0,0.0,0.0312,False,False,1.0,1.0,1.01,20.96,False,0.0,bullish,0.0,0.0,0.050923,0.019195,trade,yes,False,False,37.0,12.44,,0.128919,0.05,50.0,1000.0,0.0,3.0,0.6364,,,,,,False,False,-50.0,2026-04-09 22:47:31+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5308610464825431,15,2026-W15,0.605,True,9.574418102616173e-06,0.0007801764964770001,0.999210249085402,0.86827414922102,1.989058574990203,0.46404701544134463
