logged_at,decision_time,contract_ticker,close_ts,spot,strike,offset_pct,p_market,p_market_source,p_yes_model,z_score,vol_60m,vol_60m_model,vol_implied_kalshi,vol_ratio,spread,vol_eff,structure_bias,confirmation_bias,confirmation_score,no_score,obi_score,obi_raw,obi_exchanges,vpin_score,vpin_raw,funding_bias,avg_funding_rate,vol_score,vwap_score,vwap_signal,vwap_total,vwap_stretch_score,vwap_distance_pct,bearish_rejection,bullish_rejection,ema_stretch_score,stoch_bias,stoch_k,stoch_d,stoch_crossover_active,ema_stack_bias,ema_alignment,z_shift,direction_strength,raw_edge,net_edge,decision,side,neutral_gate,pure_edge_gate,contracts_scanned,tau_minutes,gate_blocked,kelly_fraction,bet_fraction,bet_amount,bankroll,composite_trend,composite_rev,composite_p_up,chg_30m,chg_10m,chg_5m,sharp_move_active,stoch_flipped,resolved_yes,would_win,would_pnl,logged_at_parsed,cmf_raw,cmf_score,stoch_k_4h,p_up_v2,bp_5m,bp_1h,chg_1h,chg_2h,chg_3h,body_15m,dir_15m,p_gbdt,smc_4h,smc_1h,choch_1h,choch_4h,supply_pct,demand_pct,in_supply_zone,in_demand_zone,squeeze_1h,kc_pct_1h,kc_bo_1h,adx_1h,rvol_1h,pm_drift_5m,hour_utc,liq_score,liq_bias,ls_long_pct,oi_chg_pct,cvd_4h,cg_futures_delta_4h,cg_futures_ratio_4h,cg_futures_cvd_12h,cg_spot_cb_ratio_4h,cg_liq_ratio_4h,cg_liq_total_4h,hl_ls_ratio,hl_squeeze_idx,hl_liq_ratio_4h,all_liq_ratio_1h,all_liq_ratio_4h,max_pain_nearest,max_pain_dist_pct,opt_pc_ratio,arima_forecast_1h,markov_regime_daily,markov_regime_7state,ob_imbalance,ob_path_ask_usd,ob_path_bid_usd,ob_ask_frac,ob_bid_wall_pct,ob_ask_wall_pct,hmm_vol_state,hmm_r1_prob,hmm_vol_k10,hmm_time_in_state,ou_z_score,ou_halflife_min,ou_tau_drift,hs_pattern_type,hs_bars_since_break,hs_r2,hs_neck_slope,hs_head_height,hs_head_width,flag_signal,flag_bull_bars_ago,flag_bear_bars_ago,flag_bull_tip_y,flag_bear_tip_y,flag_bull_pole_pct,flag_bear_pole_pct,pip_last_slope,pip_up_frac,pip_n_turns,v_hawk,hawk_vol_regime,pc1_rsi,ou_theta,hurst_exponent,autocorr1_15,autocorr1_30,kalman_velocity,kalman_residual,hmm_ms_state,hmm_ms_prob,hmm_of_state,hmm_of_prob,hmm_vd_state,hmm_vd_prob,hmm_pnl_state,hmm_ps_state,hmm_gd_state,hmm_zdrift_state,spot_at_expiry,price_move_pct,miss_pct,loss_margin_pct,loss_category,p_up_v3,pup_v3_hmm_state,eth_p_up_v1,p_eth,week,yw,be,agree,macro_bull,macro_sideways,macro_bear,garch_ratio,macd_hist_1h_recon,donch_1h_recon,hmm_ms_state_recon,hmm_vd_state_recon,hmm_of_state_recon
2026-04-08 05:44:34,2026-04-08 05:00,KXETHD-26APR0802-T2239.99,2026-04-08T06:00:00Z,2240.86,2239.99,-0.0386,0.5,real,0.701938,-0.53,0.00042053,0.00018574,,,0.02,0.00018574,0.0,-1.0,0.0,1.0,0.0,-0.0832,2.0,0.0,0.3885,-1.0,0.0001,0.0,0.0,0.0,-1.0,-1.0,0.2999,False,False,0.0,0.0,69.26,66.35,False,1.0,bullish,0.0,0.0,0.176938,0.144438,trade,yes,False,False,46.0,15.38,,0.353875,0.05,25.0,500.0,,,,,,,,,True,True,25.0,2026-04-08 05:44:34+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.474577041762796,15,2026-W15,0.5,False,1.1762924251484953e-53,1.0,1.1249931703138979e-59,1.0998650261015712,11.993441188976046,0.8507687953966592,6,5,
2026-04-08 18:07:24,2026-04-08 18:00,KXETHD-26APR0815-T2239.99,2026-04-08T19:00:00Z,2229.72,2239.99,0.4604,0.2,real,0.104987,1.2536,0.00058798,0.00034044,0.00075278,0.4522,0.04,0.00050537,1.0,-1.0,0.0,2.0,0.0,-0.088,2.0,0.0,0.4498,-1.0,9.675e-05,0.0,0.0,0.0,0.0,0.0,0.0752,False,False,-1.0,-1.0,81.42,84.61,True,0.0,bullish,0.0,0.0,0.120013,0.099862,trade,no,False,False,46.0,52.57,,0.600064,0.05,25.0,500.0,,,,,,,,,False,True,6.25,2026-04-08 18:07:24+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5438969794195829,15,2026-W15,0.8,False,1.1907107694158133e-48,1.0,6.745519657899129e-57,1.0977414211673027,-8.225126484541775,0.1655859194071348,6,5,
2026-04-09 13:19:00,2026-04-09 13:00,KXETHD-26APR0910-T2189.99,2026-04-09T14:00:00Z,2178.38,2189.99,0.533,0.21,real,0.091595,1.331,0.0008946,0.0003534,0.00102994,0.3431,0.14,0.00062402,0.0,0.0,1.0,1.0,-1.0,-0.1224,2.0,0.0,0.5246,0.0,2.996e-05,0.0,0.0,0.0,0.0,0.0,-0.1396,False,False,1.0,1.0,13.84,17.09,False,-1.0,neutral,0.0,0.0,0.118405,0.097581,trade,no,False,False,36.0,40.97,,0.563835,0.05,25.0,500.0,,,,,,,,,False,True,6.65,2026-04-09 13:19:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5478225029006165,15,2026-W15,0.79,False,6.444263168623416e-17,0.9952771534773885,0.00472284652263777,0.8044737695375037,-2.382827102263608,0.053055555555557826,6,2,
2026-04-09 14:13:29,2026-04-09 14:00,KXETHD-26APR0911-T2169.99,2026-04-09T15:00:00Z,2170.46,2169.99,-0.0217,0.43,real,0.516446,-0.0412,0.00077835,0.00077241,,,0.14,0.00077241,0.0,1.0,2.0,0.0,0.0,0.0067,2.0,0.0,0.3569,0.0,4.22e-05,0.0,-1.0,1.0,2.0,2.0,-0.601,False,False,1.0,1.0,21.96,16.45,True,-1.0,bearish,0.0,0.0,0.086446,0.054289,trade,yes,False,False,35.0,46.48,,0.15166,0.05,25.0,500.0,,,,,,,,,True,True,33.14,2026-04-09 14:13:29+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4950456187113929,15,2026-W15,0.43,False,3.180622914589774e-05,0.19537711355015486,0.8045910802207007,0.9172943980710027,-1.8798703250774045,0.33019755409219004,6,2,
2026-04-09 18:00:44,2026-04-09 18:00,KXETHD-26APR0915-T2229.99,2026-04-09T19:00:00Z,2222.77,2229.99,0.3248,0.255,real,0.266626,0.6231,0.00106602,0.00070078,0.00063955,1.0957,0.19,0.00067629,-1.0,-1.0,0.0,3.0,0.0,0.0361,2.0,0.0,0.4533,-1.0,5.4e-05,0.0,1.0,-1.0,-2.0,-2.0,0.9476,False,False,-1.0,-1.0,89.45,90.19,True,1.0,bullish,0.0,0.0,0.044535,0.017903,trade,no,False,False,38.0,59.21,,0.174645,0.05,50.0,1000.0,,,,,,,,,False,True,17.11,2026-04-09 18:00:44+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5145675814725047,15,2026-W15,0.745,False,1.2873496575507378e-05,0.0008196627765068459,0.9991674637269303,1.2050834290170882,3.607149823111815,0.690657634772791,6,2,
2026-04-09 22:15:50,2026-04-09 22:00,KXETHD-26APR0919-T2229.99,2026-04-09T23:00:00Z,2221.48,2229.99,0.3829,0.2,real,0.198548,0.8468,0.00065115,0.00067668,0.00068367,0.9898,0.06,0.00067948,0.0,-1.0,0.0,2.0,-1.0,-0.1091,2.0,0.0,0.7555,-1.0,5.267e-05,0.0,0.0,0.0,-1.0,-1.0,0.6591,False,False,-1.0,0.0,71.51,53.36,False,1.0,bullish,0.0,0.0,0.080365,0.057993,trade,no,False,False,37.0,44.12,,0.401826,0.05,50.0,1000.0,0.0,-3.0,0.4157,,,,,,False,True,12.5,2026-04-09 22:15:50+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5308610464825431,15,2026-W15,0.8,False,9.574418102616173e-06,0.0007801764964770001,0.999210249085402,0.86827414922102,1.989058574990203,0.46404701544134463,6,2,
2026-04-10 08:25:32,2026-04-10 08:00,KXETHD-26APR1005-T2189.99,2026-04-10T09:00:00Z,2184.11,2189.99,0.2693,0.13,real,0.024013,1.9771,0.00033663,0.0001151,0.00040694,0.2828,0.1,0.00023183,0.0,0.0,1.0,2.0,-1.0,-0.1782,2.0,0.0,0.6265,-1.0,8.833e-05,0.0,0.0,0.0,1.0,1.0,-0.4191,False,False,1.0,1.0,9.6,6.52,True,-1.0,bearish,0.0,0.0,0.1,0.082963,trade,no,False,False,40.0,34.42,,0.769231,0.05,50.0,1000.0,-2.0,8.0,0.551,,,,,,False,True,7.47,2026-04-10 08:25:32+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.559063646231395,15,2026-W15,0.87,False,6.771949745333468e-06,0.0005190746217929094,0.9994741534284394,0.8260019501065454,-2.1725683366218798,0.279211799953906,6,2,
2026-04-10 11:18:34,2026-04-10 11:00,KXETHD-26APR1008-T2209.99,2026-04-10T12:00:00Z,2213.12,2209.99,-0.1413,0.495,real,0.666218,-0.4295,0.00047231,0.00051186,,,0.01,0.00051186,-1.0,-1.0,0.0,3.0,0.0,-0.0709,2.0,0.0,0.5889,-1.0,8.767e-05,0.0,1.0,-1.0,-2.0,-2.0,1.1182,False,False,-1.0,-1.0,100.0,97.31,False,0.0,bullish,0.0,0.0,0.115584,0.083086,trade,yes,False,False,41.0,41.38,,0.22888,0.05,50.0,1000.0,0.0,-7.0,0.467,,,,,,True,True,51.01,2026-04-10 11:18:34+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4722528836786073,15,2026-W15,0.495,False,9.814721466858008e-06,0.04397950380075548,0.9560106814777504,0.838910449670007,1.4934698624404759,0.6418290854572679,3,2,
2026-04-10 19:01:14,2026-04-10 19:00,KXETHD-26APR1017-T2249.99,2026-04-10T21:00:00Z,2250.76,2249.99,-0.034,0.5,real,0.541594,-0.1045,0.00039729,0.00029916,,,0.02,0.00029916,0.0,-1.0,0.0,1.0,0.0,0.0311,2.0,0.0,0.6367,0.0,-2.7e-07,0.0,0.0,0.0,-1.0,-1.0,0.8188,False,False,0.0,-1.0,91.07,82.74,False,1.0,bullish,0.0,0.0,0.054501,0.022001,trade,yes,False,False,75.0,118.74,,0.109003,0.05,50.0,1000.0,3.0,-5.0,0.513,,,,,,True,True,50.0,2026-04-10 19:01:14+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4759822826368582,15,2026-W15,0.5,False,8.720172029142562e-05,0.00026495248102977465,0.9996478457986975,0.9354089275951849,5.304009448364672,0.9084498329828022,3,1,
2026-04-10 19:04:22,2026-04-10 19:00,KXETHD-26APR1016-T2249.99,2026-04-10T20:00:00Z,2250.81,2249.99,-0.0366,0.475,real,0.554944,-0.1382,0.00040589,0.00035531,,,0.07,0.00035531,0.0,-1.0,0.0,2.0,0.0,-0.054,2.0,0.0,0.6915,0.0,-1.02e-06,0.0,1.0,-1.0,-2.0,-2.0,0.9177,False,False,-1.0,-1.0,98.73,85.3,False,1.0,bullish,0.0,0.0,0.062059,0.029603,trade,yes,False,False,75.0,55.6,,0.118208,0.05,50.0,1000.0,3.0,-6.0,0.482,,,,,,True,True,55.26,2026-04-10 19:04:22+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4759822826368582,15,2026-W15,0.475,False,8.720172029142562e-05,0.00026495248102977465,0.9996478457986975,0.9354089275951849,5.304009448364672,0.9084498329828022,3,1,
