feature,split,n_rescued,wr_rescued,edge_rescued,pnl_rescued,n_weeks,worst_wk_share,edge_remainder,pnl_remainder
adx_1h,>=16.22(q0.1),142,0.5492957746478874,-0.14830985915492956,-1605.8200000000004,8,20.832970071365402,-0.13937500000000003,-44.54
adx_1h,<16.22(q0.1),16,0.5625,-0.13937500000000003,-44.54,5,36.692497828846285,-0.14830985915492956,-1605.8200000000004
adx_1h,>=18.29(q0.2),126,0.5238095238095238,-0.1734920634920636,-1665.3900000000003,8,20.08778724502969,-0.04468749999999999,15.029999999999987
adx_1h,<18.29(q0.2),32,0.65625,-0.04468749999999999,15.029999999999987,6,45.8070972853509,-0.1734920634920636,-1665.3900000000003
adx_1h,>=21.92(q0.3),110,0.5272727272727272,-0.1666363636363638,-1343.1100000000004,8,20.384778610836044,-0.10333333333333328,-307.25000000000006
adx_1h,<21.92(q0.3),48,0.6041666666666666,-0.10333333333333328,-307.25000000000006,7,27.49652389961478,-0.1666363636363638,-1343.1100000000004
adx_1h,>=24.16(q0.4),95,0.5368421052631579,-0.16210526315789497,-1021.93,8,26.316598902313597,-0.12523809523809537,-628.4300000000001
adx_1h,<24.16(q0.4),63,0.5714285714285714,-0.12523809523809537,-628.4300000000001,8,39.33363610090417,-0.16210526315789497,-1021.93
adx_1h,>=26.4(q0.5),79,0.5822784810126582,-0.11012658227848093,-578.0999999999999,8,29.750728039292383,-0.1846835443037973,-1072.26
adx_1h,<26.4(q0.5),79,0.5189873417721519,-0.1846835443037973,-1072.26,8,32.149753088529295,-0.11012658227848093,-578.0999999999999
adx_1h,>=30.5(q0.6),63,0.6031746031746031,-0.09412698412698417,-375.06999999999994,7,26.30192962542565,-0.1827368421052631,-1275.2900000000002
adx_1h,<30.5(q0.6),95,0.5157894736842106,-0.1827368421052631,-1275.2900000000002,8,32.20208736836327,-0.09412698412698417,-375.06999999999994
adx_1h,>=35.25(q0.7),49,0.5510204081632653,-0.16102040816326535,-595.0099999999999,7,29.36157074088109,-0.14128440366972483,-1055.35
adx_1h,<35.25(q0.7),109,0.5504587155963303,-0.14128440366972483,-1055.35,8,23.842327190031746,-0.16102040816326535,-595.0099999999999
adx_1h,>=41.33(q0.8),32,0.5625,-0.14187499999999997,-340.01,4,44.8075056615982,-0.14880952380952384,-1310.3500000000001
adx_1h,<41.33(q0.8),126,0.5476190476190477,-0.14880952380952384,-1310.3500000000001,8,20.170790717305938,-0.14187499999999997,-340.01
adx_1h,>=44.97(q0.9),16,0.625,-0.07374999999999998,-117.22,3,57.88442703232126,-0.1557042253521126,-1533.1400000000003
adx_1h,<44.97(q0.9),142,0.5422535211267606,-0.1557042253521126,-1533.1400000000003,8,17.4556791943332,-0.07374999999999998,-117.22
avg_funding_rate,>=-1.418e-05(q0.1),462,0.5692640692640693,-0.079025974025974,-3500.9100000000008,12,26.4783909805832,-0.04865384615384627,-281.13
avg_funding_rate,<-1.418e-05(q0.1),52,0.6153846153846154,-0.04865384615384627,-281.13,6,40.19858099009105,-0.079025974025974,-3500.9100000000008
avg_funding_rate,>=5.24e-06(q0.2),411,0.5620437956204379,-0.0879683698296837,-3205.8100000000004,12,24.722301072115936,-0.028009708737864236,-576.23
avg_funding_rate,<5.24e-06(q0.2),103,0.6213592233009708,-0.028009708737864236,-576.23,7,34.12200579582554,-0.0879683698296837,-3205.8100000000004
avg_funding_rate,>=1.627e-05(q0.3),360,0.5611111111111111,-0.08490277777777777,-2774.0099999999998,12,26.94114296631951,-0.05503246753246749,-1008.0300000000001
avg_funding_rate,<1.627e-05(q0.3),154,0.6038961038961039,-0.05503246753246749,-1008.0300000000001,9,40.47272957087784,-0.08490277777777777,-2774.0099999999998
avg_funding_rate,>=3.072e-05(q0.4),308,0.5584415584415584,-0.08444805194805194,-2433.7800000000007,12,28.795134302069574,-0.06325242718446611,-1348.2599999999998
avg_funding_rate,<3.072e-05(q0.4),206,0.5970873786407767,-0.06325242718446611,-1348.2599999999998,10,31.955825464830916,-0.08444805194805194,-2433.7800000000007
avg_funding_rate,>=4.528e-05(q0.5),257,0.5486381322957199,-0.09429961089494154,-2202.53,12,16.799788299115708,-0.05760700389105067,-1579.5099999999998
avg_funding_rate,<4.528e-05(q0.5),257,0.5992217898832685,-0.05760700389105067,-1579.5099999999998,12,23.088236024782997,-0.09429961089494154,-2202.53
avg_funding_rate,>=5.719e-05(q0.6),206,0.5388349514563107,-0.10194174757281571,-1887.5900000000001,12,18.520639515209574,-0.05857142857142861,-1894.4499999999998
avg_funding_rate,<5.719e-05(q0.6),308,0.5974025974025974,-0.05857142857142861,-1894.4499999999998,12,22.142414804702856,-0.10194174757281571,-1887.5900000000001
avg_funding_rate,>=6.898e-05(q0.7),154,0.5584415584415584,-0.09477272727272734,-1335.6299999999999,11,21.486345422096512,-0.06790277777777776,-2446.41
avg_funding_rate,<6.898e-05(q0.7),360,0.5805555555555556,-0.06790277777777776,-2446.41,12,24.78284835231346,-0.09477272727272734,-1335.6299999999999
avg_funding_rate,>=8.575e-05(q0.8),103,0.6213592233009708,-0.03951456310679624,-383.7399999999999,11,22.516266873846753,-0.08508515815085171,-3398.3
avg_funding_rate,<8.575e-05(q0.8),411,0.5620437956204379,-0.08508515815085171,-3398.3,12,27.523413995705308,-0.03951456310679624,-383.7399999999999
