feature,split,n,wr,edge,pnl,n_weeks,worst_wk_share
offset_pct,>=-0.1161(q0.1),450,0.8333333333333334,0.14007777777777786,3869.05,12,15.78411125567179
offset_pct,<-0.1161(q0.1),50,0.94,0.2522,861.1099999999999,9,62.77479067714926
offset_pct,>=0.05578(q0.2),400,0.8375,0.12530000000000008,2971.4399999999996,12,15.618214411957782
offset_pct,<0.05578(q0.2),100,0.87,0.25524999999999987,1758.72,11,34.48975718789208
offset_pct,>=0.1248(q0.3),350,0.8428571428571429,0.1198285714285715,2465.42,12,17.831048153094258
offset_pct,<0.1248(q0.3),150,0.8466666666666667,0.22470000000000012,2264.74,12,32.20575655411865
offset_pct,>=0.1615(q0.4),300,0.8566666666666667,0.1237166666666667,2078.6499999999996,12,20.94765310123742
offset_pct,<0.1615(q0.4),200,0.825,0.19265,2651.51,12,29.189853924834974
offset_pct,>=0.1914(q0.5),250,0.876,0.132,1764.28,12,23.62286800283135
offset_pct,<0.1914(q0.5),250,0.812,0.17057999999999995,2965.88,12,26.994998840790906
offset_pct,>=0.24(q0.6),200,0.87,0.12412499999999993,1171.39,12,24.576145099011658
offset_pct,<0.24(q0.6),300,0.8266666666666667,0.1694000000000001,3558.77,12,23.56486988599153
offset_pct,>=0.3193(q0.7),150,0.88,0.13203333333333334,852.33,12,25.223886790886834
offset_pct,<0.3193(q0.7),350,0.8285714285714286,0.1595428571428571,3877.83,12,24.349284835802724
offset_pct,>=0.3832(q0.8),100,0.89,0.11734999999999995,494.8499999999999,11,26.80234350909652
offset_pct,<0.3832(q0.8),400,0.8325,0.1597749999999999,4235.31,12,21.828908554572273
offset_pct,>=0.4911(q0.9),50,0.9,0.13870000000000005,257.65000000000003,9,43.28948156429042
offset_pct,<0.4911(q0.9),450,0.8377777777777777,0.15268888888888887,4472.51,12,20.435944491320992
p_market,>=0.1595(q0.1),450,0.8466666666666667,0.15987777777777767,4861.99,12,20.570183358729377
p_market,<0.1595(q0.1),50,0.82,0.07399999999999995,-131.82999999999998,9,45.351695699294226
