feature,group,ic,auc,monthly_ic_std,n
cand_rsi_1h_minus_4h,candidate,-0.20484083925821822,0.3994638549113398,0.04115041926307441,8760
cur_trend_stoch_4h,current,0.14527374618889746,0.563269603977817,0.021625557480065335,8760
cur_trend_wpr_4h,current,0.14527112696634217,0.563268769835322,0.021626537552896345,8760
cur_trend_bb_4h,current,0.12168273693783571,0.5525283510697225,0.017440298170755236,8760
cur_trend_keltner_4h,current,0.11728515985199864,0.5505068067330939,0.014605605900421648,8760
cur_rev_stoch_15m,current,-0.10323490747870015,0.4406173957810637,0.055658317482889574,8760
cur_rev_rsi_4h,current,0.10083936053016777,0.5438080168913855,0.014905330707060687,8760
cur_rev_dc_15m,current,-0.0846898793063715,0.4510061974180683,0.04675368768863918,8760
cur_rev_keltner_15m,current,-0.07596954206652802,0.4538333670031476,0.0423037569801598,8760
cand_ret_1h,candidate,-0.07469825883567341,0.4622432437716274,0.05483431685356893,8760
cur_rev_move_z,current,-0.07361933598157357,0.46171523157229344,0.055273706528734604,8760
cur_rev_wpr_1h,current,-0.06200866185291297,0.4617542538008876,0.03161530284595482,8760
cur_rev_stoch_1h,current,-0.062001203084741156,0.4617593107897635,0.03161863501298882,8760
cand_ret_2h,candidate,-0.06041330861939948,0.4657933020964347,0.03274886235079928,8760
cand_ret_24h,candidate,-0.04865712359191004,0.4696801975875035,0.025075213244629836,8760
cur_rev_vwap,current,-0.0481904082458684,0.4702472059484787,0.03611901673280649,8760
cur_rev_rsi_1h,current,-0.04507346823807173,0.4705704882991965,0.022891682973740456,8760
cand_ret_4h,candidate,-0.04173496105560076,0.4713969671100221,0.02341642972037033,8760
cur_trend_macd_4h,current,0.04011777500746528,0.5138760646721103,0.024255765535444476,8760
cand_ret_12h,candidate,-0.02936262074917759,0.48215417299333335,0.017341273307778505,8760
cand_mfi_1h,candidate,-0.027601755886974864,0.48470516321170926,0.01335734623265751,8760
cand_ema_slope_1h,candidate,-0.027321269023396235,0.48176170894943665,0.01929331498668203,8760
cand_breadth_15m_2h,candidate,-0.02607531522569277,0.48507520967605294,0.02613530761944029,8760
cand_range_pct,candidate,0.02538580541643294,0.5099053117933412,0.030411732226941955,8760
cand_ema_20_vs_50,candidate,-0.022198455664388717,0.4887933216466494,0.030181114293271413,8760
cand_vol_regime,candidate,0.017663643376602967,0.5089010042293631,0.03206882896921235,8760
cand_adx_1h,candidate,0.01661951759562038,0.5069762204221543,0.028308781879581708,8760
cand_vol_of_vol,candidate,0.012772150334966982,0.5041180311630423,0.027155878529705028,8760
cand_bb_squeeze,candidate,0.01137009469375195,0.5070414399384819,0.03011359128618963,8760
cand_hour_sin,candidate,-0.0057697123859313535,0.4968602355149201,0.023563519110468185,8760
cand_session_us,candidate,0.004985317635092595,0.5019790030693837,0.03382522714241127,8760
cand_dow_mon,candidate,0.004364178262113885,0.49866745736424006,0.0334619384878142,8760
cand_vol_accel,candidate,0.0041127434844832975,0.5021692657591023,0.02236314369605269,8760
cand_hour_cos,candidate,0.0039865084211896966,0.4992198160976468,0.03821607512671841,8760
cand_dow_weekend,candidate,-0.002731141189938592,0.5005317658405615,0.02863759841724384,8760
cand_dow_fri,candidate,0.0016875012036571876,0.5034627340323621,0.028278597423437975,8760
cur_trend_vol_4h,current,-0.0015653621414306108,0.5024647868049084,0.03163003831976855,8760
cand_adx_4h,candidate,-0.0015560090072973165,0.4989046666362552,0.025056346489451497,8760
cand_session_eu,candidate,-0.0014263672661505348,0.5011988191670305,0.028029504230633186,8760
cand_session_asia,candidate,-0.00026025815015349004,0.498049540244117,0.030976950515469812,8760
