feature,group,ic,auc,monthly_ic_std,n
cand_rsi_1h_minus_4h,candidate,-0.1867734634926698,0.40555261265411924,0.02208842813488195,8760
cur_trend_stoch_4h,current,0.14497763964499502,0.5562759362203344,0.023332830101130898,8760
cur_trend_wpr_4h,current,0.14497763964499502,0.5562759362203344,0.023332830101130898,8760
cur_trend_bb_4h,current,0.11909932841394683,0.5447888331606446,0.02139595898125475,8760
cur_trend_keltner_4h,current,0.11289412817623036,0.5424886588482783,0.01948370413605655,8760
cur_rev_rsi_4h,current,0.09667976561554159,0.535851823588563,0.020084141740830532,8760
cur_rev_stoch_15m,current,-0.06408082254738953,0.4518536602233032,0.025405174744120837,8760
cur_rev_dc_15m,current,-0.05794976000760046,0.45416682073655334,0.024303062455397716,8760
cand_ret_24h,candidate,-0.05603388832729909,0.4628490087121762,0.03455074282363917,8760
cur_rev_keltner_15m,current,-0.05189282190125721,0.4560113827962253,0.024406170630719023,8760
cand_ret_2h,candidate,-0.04932403061721773,0.46551895075251903,0.03171256965942761,8760
cand_ret_1h,candidate,-0.04883703276726849,0.4661893568539682,0.037838789132869505,8760
cur_rev_rsi_1h,current,-0.04150116951958033,0.464587568951381,0.02458772454659218,8760
cur_trend_macd_4h,current,0.04040606103460871,0.5110088562239289,0.016744088954562742,8760
cur_rev_move_z,current,-0.04009596327428837,0.4695297571491774,0.035427090327507134,8760
cur_rev_stoch_1h,current,-0.03982685997652318,0.4628946429522297,0.025253059815776496,8760
cur_rev_wpr_1h,current,-0.039826843460997026,0.4628943300317265,0.02524580417301859,8760
cur_rev_vwap,current,-0.036068072545002564,0.46637259788531454,0.02397361465016534,8760
cand_breadth_15m_2h,candidate,-0.034729870754622506,0.47355881724185717,0.025895276303877845,8760
cand_ema_slope_1h,candidate,-0.031658616217998904,0.4725679023149807,0.02310778923358435,8760
cand_ret_4h,candidate,-0.030562085495036972,0.4722138066888739,0.022200566304157298,8760
cand_range_pct,candidate,0.02539487154209755,0.5124584604551147,0.03592559889774035,8760
cand_ret_12h,candidate,-0.02382661014160321,0.4758456924328364,0.026926270974188718,8760
cand_ema_20_vs_50,candidate,-0.02362712478312858,0.4838838378594068,0.02328103425061972,8760
cand_hour_cos,candidate,0.01913498175389591,0.5106696764751425,0.027028373866650475,8760
cand_adx_1h,candidate,0.01734247730530093,0.5068754110667152,0.026154348197109215,8760
cand_mfi_1h,candidate,-0.013136460105346106,0.4825335858879946,0.02233450798585172,8760
cand_vol_regime,candidate,0.011568996441753517,0.5037255532812609,0.032020652677277835,8760
cand_session_asia,candidate,0.009896662533775472,0.506634045051895,0.02335981435219567,8760
cand_session_eu,candidate,-0.008525051668383474,0.49354679692225994,0.02572543782744572,8760
cand_vol_of_vol,candidate,0.006981372127305677,0.5025377070510221,0.015927305117237774,8760
cand_vol_accel,candidate,0.0045603124096009464,0.4996273377573686,0.04158285859593021,8760
cand_bb_squeeze,candidate,0.0043685734551307505,0.5038419597084604,0.015732120667898315,8760
cand_hour_sin,candidate,-0.0042450139883936505,0.49752532035366903,0.01995466380571339,8760
cand_adx_4h,candidate,-0.00404113432950717,0.49660867189289104,0.02662530914996622,8760
cand_dow_weekend,candidate,0.001723852236742485,0.5048477644359486,0.031183971511228547,8760
cand_dow_mon,candidate,-0.0008243777891172495,0.5012817223812062,0.034079130006637676,8760
cand_session_us,candidate,-0.0004913018084860921,0.501903599727947,0.029726533161456296,8760
cand_dow_fri,candidate,0.00023299036997767792,0.49694151500148714,0.03374839663785833,8760
cur_trend_vol_4h,current,-0.0001570813776091893,0.4993095930630531,0.04217697646007254,8760
