feature,group,ic,auc,monthly_ic_std,n
cand_rsi_1h_minus_4h,candidate,-0.18620421396064857,0.4067059746349857,0.02934529174497201,8760
cur_trend_wpr_4h,current,0.15292787868598745,0.5664272552623618,0.017136408907754173,8760
cur_trend_stoch_4h,current,0.15292394302120843,0.5664254828485339,0.01714083750124278,8760
cur_trend_bb_4h,current,0.13208672530098364,0.5552810659964024,0.023394590391868638,8760
cur_trend_keltner_4h,current,0.1277046290591801,0.5551905686315386,0.022364862793386956,8760
cur_rev_rsi_4h,current,0.10960936798535613,0.5481361530769182,0.02377773804837705,8760
cur_rev_stoch_15m,current,-0.051384677244868636,0.46424999605116624,0.019113876508697232,8760
cur_trend_macd_4h,current,0.04953731774354374,0.5167688072264857,0.020019555493469676,8760
cand_ret_2h,candidate,-0.04595117084605367,0.46677206273364913,0.03410084339274323,8760
cur_rev_dc_15m,current,-0.045875125178349505,0.4665808766244108,0.01983650403630625,8760
cand_ret_1h,candidate,-0.04190690420828017,0.47361788081966216,0.031785181163622556,8760
cand_breadth_15m_2h,candidate,-0.04052823803189398,0.4744527659273668,0.031179787691823054,8760
cur_rev_keltner_15m,current,-0.039925261442935414,0.46929994189089136,0.017418403762120435,8760
cand_ret_24h,candidate,-0.03536380695791924,0.4769075851440235,0.0394779011997359,8760
cur_rev_vwap,current,-0.03447836685957199,0.4757098243699499,0.016263469714064446,8760
cur_rev_move_z,current,-0.031268250413792435,0.47752008444613553,0.03074697472219024,8760
cur_rev_wpr_1h,current,-0.029744555897054364,0.47548811625199744,0.020327644089080686,8760
cur_rev_stoch_1h,current,-0.029734723985877575,0.47549760387895895,0.020325569871786527,8760
cand_ret_4h,candidate,-0.025125737015670106,0.4764012221523161,0.025553575501355823,8760
cand_hour_cos,candidate,0.024837665310339742,0.5110168551863357,0.02811575357202264,8760
cur_rev_rsi_1h,current,-0.02407475740211783,0.4802711834860659,0.02788886762487675,8760
cand_range_pct,candidate,0.01938519111034268,0.5042564518078856,0.029167209601181954,8760
cand_ema_20_vs_50,candidate,-0.017902694142942186,0.49127375510214083,0.0345773027808427,8760
cand_ema_slope_1h,candidate,-0.01750881998348705,0.48653525886286414,0.03474702966668342,8760
cand_adx_4h,candidate,-0.015398695481425152,0.4906398825744561,0.02566298809412875,8760
cand_dow_mon,candidate,-0.014604583425886709,0.4973613971083277,0.028720406051510924,8760
cand_mfi_1h,candidate,-0.014329150413388557,0.4911982711249964,0.024497337010664113,8760
cand_dow_fri,candidate,0.012253692425142081,0.5044395838601703,0.04067220465182153,8760
cand_ret_12h,candidate,-0.012152703163248096,0.4883248234011172,0.026705744197666536,8760
cand_session_asia,candidate,0.00987312495277029,0.5004851982854086,0.01706415612438144,8760
cand_session_eu,candidate,-0.00896603530005542,0.4973171388924468,0.02928244988490849,8760
cand_adx_1h,candidate,0.008637468215125153,0.5004189934159518,0.02491728597654995,8760
cand_session_us,candidate,-0.007612233660487937,0.4961184137167315,0.03501557558227059,8760
cand_vol_of_vol,candidate,0.006856032685788246,0.49938578041387843,0.041300161187672955,8760
cand_hour_sin,candidate,-0.0043325690637005115,0.49624209171105127,0.026802206499770782,8760
cand_vol_accel,candidate,0.0042464501886018205,0.5009876254758214,0.036658989708627764,8760
cand_vol_regime,candidate,0.0030413402411300487,0.49628040712762667,0.02778116988174108,8760
cand_bb_squeeze,candidate,0.0021627402039012546,0.500894052451668,0.024654195974387234,8760
cur_trend_vol_4h,current,0.001635599358370896,0.49790740482698137,0.03821954899650466,8760
cand_dow_weekend,candidate,0.0006214049003047284,0.49677775166073873,0.02304637430638012,8760
