feature,ic,auc,monthly_ic_std,n
p2_stoch_1h_minus_4h,-0.2088262858411203,0.39692568963382446,0.02152186077269406,8760
p2_bb_1h_minus_4h,-0.1946810598017742,0.4027716991091619,0.03043400904904833,8760
p2_rsi_1h_minus_1d,-0.07655182308589024,0.4605827267336153,0.02571523669316863,8760
p2_move_z_72h,-0.0734018322734924,0.4629845357801513,0.054655234620482614,8760
p2_rsi_4h_minus_1d,0.07080678228911548,0.5313042208913594,0.026756129325489226,8760
p2_wick_asymmetry_4h,-0.06987228707314919,0.4696269167356355,0.035090735108905,8760
p2_upper_wick_avg_4h,0.06804648067021084,0.5292501710643789,0.03634720862825356,8760
p2_drawdown_24h,-0.0593643018808467,0.46385389472861044,0.02788937403476988,8760
p2_lower_wick_avg_4h,-0.051609973307146915,0.4774363673094343,0.03513596171346907,8760
p2_macd_1h_minus_4h,-0.04768067267849503,0.4805557474372927,0.031936760420089284,8760
p2_trend_efficiency_6h,-0.0401604123431237,0.47493889254550314,0.021835743067576525,8760
p2_stretch_sma50,-0.036481020677573035,0.4773873093039472,0.028242727489242676,8760
p2_stretch_session,-0.03606617938777748,0.479606076206737,0.02800651834235668,8760
p2_rally_from_low_24h,-0.033326298176911996,0.47927773686714326,0.03908107398531908,8760
p2_cmf_20h,-0.031166645136392997,0.48046722406501097,0.030734367865281262,8760
p2_obv_slope_24h,-0.021961769382505925,0.48680420459951385,0.024769985134573527,8760
p2_stretch_sma200,-0.021443624835180444,0.4895979042169813,0.028699778137482042,8760
p2_rsi_15m_minus_1h,-0.018948514673722452,0.4888340382271865,0.028935137073161733,8760
p2_cum_abs_24h,0.018854863434601483,0.5085692761858834,0.036109724881267166,8760
p2_cum_abs_6h,0.017290890881318324,0.5087338107930218,0.024866224962859652,8760
p2_skew_24h,-0.01615739737872936,0.49520292471212307,0.026779100939521627,8760
p2_range_regime,0.016086737655133753,0.5064745358453187,0.0313127988029738,8760
p2_autocorr_24h,0.0038055028371554414,0.5025168425099868,0.03225655644504237,8760
p2_vol_price_corr_24h,-0.0031626088306573124,0.49916056591354896,0.027564150613194924,8760
