feature,ic,auc,monthly_ic_std,n
p2_bb_1h_minus_4h,-0.18521134700906405,0.4068048422778965,0.025052054201473165,8760
p2_stoch_1h_minus_4h,-0.1844279286360084,0.4070941372831272,0.029913359824438004,8760
p2_rsi_1h_minus_1d,-0.07491981761045266,0.45542437000888536,0.018333847040950053,8760
p2_wick_asymmetry_4h,-0.05326108187674727,0.47186920298469837,0.02594502834377344,8760
p2_rsi_4h_minus_1d,0.05052227421742275,0.5173302676163943,0.025040767075922576,8760
p2_macd_1h_minus_4h,-0.04693222069189647,0.48068156588966243,0.019309372546010655,8760
p2_upper_wick_avg_4h,0.04446014734838616,0.5250294419078471,0.029147026253644747,8760
p2_drawdown_24h,-0.04349701642717476,0.4656435452662195,0.023113883126189932,8760
p2_alt_minus_btc_1h,-0.041682757021961496,0.47188083319673485,0.03852724061699694,8760
p2_move_z_72h,-0.04142204963095152,0.46885666514674224,0.03758117850554351,8760
p2_rally_from_low_24h,-0.038264493948509205,0.4684920606070689,0.01918120133478169,8760
p2_lower_wick_avg_4h,-0.036200194097883116,0.48210840515423875,0.02204188449697261,8760
p2_stretch_sma50,-0.03489812652260116,0.47265917079508774,0.027201593042385012,8760
p2_stretch_session,-0.031583798584684956,0.46920309422052,0.028541673814390833,8760
p2_alt_minus_btc_4h,-0.0312461397990896,0.4749290961254757,0.03892245725869611,8760
p2_trend_efficiency_6h,-0.03049392255506435,0.46919999109219634,0.027996787580627302,8760
p2_obv_slope_24h,-0.02729935014331019,0.48462838004341147,0.0344232308940126,8760
p2_stretch_sma200,-0.022463357698509455,0.4830896977756411,0.022899291519909402,8760
p2_btc_ret_1h,-0.021915825520888783,0.4832629514275929,0.03478631820149777,8760
p2_cmf_20h,-0.018163685465956394,0.4873676339752185,0.027611792123932145,8760
p2_cum_abs_6h,0.015059820567069691,0.5056943447807128,0.03258282147834318,8760
p2_range_regime,0.014297912372142757,0.5053220215352934,0.02690493387274785,8760
p2_cum_abs_24h,0.01321181768324927,0.5043429975875394,0.031110597585581826,8760
p2_btc_ret_4h,-0.012918556698398653,0.4845406058422571,0.028230052733515802,8760
p2_autocorr_24h,-0.008661984312771806,0.49500049519669637,0.02844179136986528,8760
p2_rsi_15m_minus_1h,-0.008425025914958436,0.4927299961787191,0.01892407243922023,8760
p2_vol_price_corr_24h,-0.006459634816595208,0.49431723327790644,0.02511003878977184,8760
p2_skew_24h,-0.0036289495533620036,0.49336496403317814,0.044181103944460974,8760
