feature,ic,auc,monthly_ic_std,n
p2_stoch_1h_minus_4h,-0.18557415798693191,0.4081354785170672,0.01861063039923939,8760
p2_bb_1h_minus_4h,-0.1849066485433881,0.4100037330163006,0.02934578388313402,8760
p2_rsi_1h_minus_1d,-0.07232985045802212,0.4576364163064366,0.0259285361897652,8760
p2_rsi_4h_minus_1d,0.07041718428672022,0.5254550946184877,0.024779946673393238,8760
p2_macd_1h_minus_4h,-0.048297713868019884,0.48046901614715914,0.025805156882986253,8760
p2_alt_minus_btc_1h,-0.03708728166581278,0.47685542926064434,0.03389595392858441,8760
p2_move_z_72h,-0.035348938890017445,0.4760764012534302,0.02881244226010019,8760
p2_drawdown_24h,-0.03452422221563018,0.47729746405635987,0.028115925549718777,8760
p2_wick_asymmetry_4h,-0.02970357552203745,0.48929494078981556,0.030890002903996176,8756
p2_rally_from_low_24h,-0.028537163694179385,0.4764104230652761,0.026415917795823425,8760
p2_alt_minus_btc_4h,-0.02845923750732692,0.4767852103951654,0.02964977641977077,8760
p2_upper_wick_avg_4h,0.025927667626689903,0.5080129258715915,0.029612382715942746,8756
p2_cmf_20h,-0.02227718737967717,0.4893867002502376,0.04478896803879146,8740
p2_trend_efficiency_6h,-0.021914417089846466,0.4798671252631057,0.02593465508542488,8760
p2_lower_wick_avg_4h,-0.021184321001369653,0.4920068494680277,0.041256594268617365,8756
p2_obv_slope_24h,-0.021085077579361334,0.48858901732112264,0.041738850457189655,8760
p2_stretch_session,-0.021077739726015156,0.48515741563088627,0.0296532270959035,8760
p2_stretch_sma50,-0.019608605949901926,0.48508088905737246,0.03132509986996841,8760
p2_btc_ret_1h,-0.0167144870045528,0.4875932335287107,0.03118013231787959,8760
p2_btc_ret_4h,-0.011811163111570723,0.4847065448309401,0.03726654468985509,8760
p2_stretch_sma200,-0.011702005547791204,0.4945024154090739,0.04141955800577166,8760
p2_range_regime,0.009775963934201708,0.5003330834751134,0.028057844123248472,8760
p2_rsi_15m_minus_1h,-0.008121313376889434,0.4900576185670566,0.03536537477407412,8760
p2_cum_abs_24h,0.007244748579975704,0.498341359500834,0.026763027199863412,8760
p2_cum_abs_6h,0.0036401051284148224,0.49866169723533155,0.030853814492470363,8760
p2_vol_price_corr_24h,0.0035311442409259315,0.49527456228025,0.03959601353165525,8760
p2_skew_24h,-0.002971782446565879,0.49619955377917985,0.03738042490214589,8760
p2_autocorr_24h,-8.4130289350831e-05,0.5001777366160731,0.031421334099726035,8760
