logged_at,contract_ticker,spot,strike,p_market,tau_minutes,realized_vol_annual,resolved_yes,pu_ts,p_up_v2,p_model_yes,p_model_no,edge_yes,edge_no,best_side,best_edge,win,cost,day
2026-07-03 13:27:41+00:00,KXBTC15M-26JUL030930-30,61980.94,61994.66,0.715,2.3,0.282511,1.0,2026-07-03 13:25:38+00:00,0.6112,0.3643441208226166,0.6398025369811271,-0.3506558791773834,0.35480253698112707,no,0.35480253698112707,0.0,0.28500000000000003,2026-07-03
2026-07-05 08:37:41+00:00,KXBTC15M-26JUL050445-45,62866.45,62885.54,0.595,7.3,0.160524,1.0,2026-07-05 08:37:11+00:00,0.4797,0.30279050667719076,0.6959684348846796,-0.2922094933228092,0.2909684348846796,no,0.2909684348846796,0.0,0.405,2026-07-05
2026-07-04 00:05:17+00:00,KXBTC15M-26JUL032015-15,62536.08,62559.15,0.655,9.7,0.246193,1.0,2026-07-03 23:40:20+00:00,0.602,0.38332223855506226,0.6245893212607108,-0.27167776144493777,0.2795893212607108,no,0.2795893212607108,0.0,0.345,2026-07-04
2026-07-04 05:50:48+00:00,KXBTC15M-26JUL040200-00,62501.69,62503.42,0.255,9.2,0.136544,0.0,2026-07-04 05:08:41+00:00,0.7114,0.49495335441201044,0.5224524653655194,0.23995335441201043,-0.22254753463448063,yes,0.23995335441201043,0.0,0.255,2026-07-04
2026-07-07 01:26:19+00:00,KXBTC15M-26JUL062130-30,63935.28,63942.17,0.705,3.7,0.417804,0.0,2026-07-07 01:21:58+00:00,0.5588,0.4685789804164798,0.5343420404763899,-0.2364210195835202,0.23934204047638985,no,0.23934204047638985,1.0,0.29500000000000004,2026-07-07
2026-07-08 16:55:09+00:00,KXBTC15M-26JUL081300-00,61979.54,61986.63,0.705,4.8,0.55052,1.0,2026-07-08 15:05:42+00:00,0.4282,0.4624168158252845,0.5335156261970506,-0.24258318417471547,0.23851562619705058,no,0.23851562619705058,0.0,0.29500000000000004,2026-07-08
2026-07-08 12:54:29+00:00,KXBTC15M-26JUL080900-00,62047.68,62052.75,0.675,5.5,0.332752,0.0,2026-07-08 12:33:54+00:00,0.3933,0.4534728112763839,0.5400257551834272,-0.22152718872361615,0.21502575518342726,no,0.21502575518342726,1.0,0.32499999999999996,2026-07-08
2026-07-05 12:31:21+00:00,KXBTC15M-26JUL050845-45,62684.26,62684.84,0.675,13.6,0.190658,0.0,2026-07-05 12:26:10+00:00,0.3497,0.459593471580201,0.5257899699824653,-0.21540652841979907,0.20078996998246534,no,0.20078996998246534,1.0,0.32499999999999996,2026-07-05
2026-07-05 08:17:21+00:00,KXBTC15M-26JUL050430-30,62972.5,62968.16,0.325,12.7,0.171855,0.0,2026-07-05 08:16:37+00:00,0.4509,0.521214782789096,0.47426370749647295,0.19621478278909604,-0.2007362925035271,yes,0.19621478278909604,0.0,0.325,2026-07-05
2026-07-09 00:36:40+00:00,KXBTC15M-26JUL082045-45,62138.35,62140.68,0.665,8.3,0.337877,1.0,2026-07-09 00:26:03+00:00,0.3473,0.45979881007937007,0.528593597044388,-0.20520118992062997,0.19359359704438805,no,0.19359359704438805,0.0,0.33499999999999996,2026-07-09
