logged_at,decision_time,contract_ticker,close_ts,spot,strike,offset_pct,p_market,p_market_source,p_yes_model,z_score,vol_60m,vol_60m_model,vol_implied_kalshi,vol_ratio,spread,vol_eff,structure_bias,confirmation_bias,confirmation_score,no_score,obi_score,obi_raw,obi_exchanges,vpin_score,vpin_raw,funding_bias,avg_funding_rate,vol_score,cmf_raw,cmf_score,vwap_score,vwap_signal,vwap_total,vwap_stretch_score,vwap_distance_pct,bearish_rejection,bullish_rejection,ema_stretch_score,stoch_bias,stoch_k,stoch_k_4h,stoch_d,stoch_crossover_active,ema_stack_bias,ema_alignment,z_shift,direction_strength,raw_edge,net_edge,decision,side,neutral_gate,pure_edge_gate,contracts_scanned,tau_minutes,gate_blocked,kelly_fraction,bet_fraction,bet_amount,bankroll,composite_trend,composite_rev,composite_p_up,p_up_v2,chg_30m,chg_10m,chg_5m,bp_5m,bp_1h,chg_1h,chg_2h,chg_3h,body_15m,dir_15m,p_gbdt,sharp_move_active,smc_4h,smc_1h,choch_1h,choch_4h,supply_pct,demand_pct,in_supply_zone,in_demand_zone,stoch_flipped,squeeze_1h,kc_pct_1h,kc_bo_1h,adx_1h,rvol_1h,pm_drift_5m,hour_utc,liq_score,liq_bias,ls_long_pct,oi_chg_pct,cvd_4h,cg_futures_delta_4h,cg_futures_ratio_4h,cg_futures_cvd_12h,cg_spot_cb_ratio_4h,cg_liq_ratio_4h,cg_liq_total_4h,hl_ls_ratio,hl_squeeze_idx,hl_liq_ratio_4h,all_liq_ratio_1h,all_liq_ratio_4h,max_pain_nearest,max_pain_dist_pct,opt_pc_ratio,arima_forecast_1h,markov_regime_daily,markov_regime_7state,ob_imbalance,ob_path_ask_usd,ob_path_bid_usd,ob_ask_frac,ob_bid_wall_pct,ob_ask_wall_pct,hmm_vol_state,hmm_r1_prob,hmm_vol_k10,hmm_time_in_state,ou_z_score,ou_halflife_min,ou_tau_drift,hs_pattern_type,hs_bars_since_break,hs_r2,hs_neck_slope,hs_head_height,hs_head_width,flag_signal,flag_bull_bars_ago,flag_bear_bars_ago,flag_bull_tip_y,flag_bear_tip_y,flag_bull_pole_pct,flag_bear_pole_pct,pip_last_slope,pip_up_frac,pip_n_turns,v_hawk,hawk_vol_regime,pc1_rsi,ou_theta,hurst_exponent,autocorr1_15,autocorr1_30,kalman_velocity,kalman_residual,hmm_ms_state,hmm_ms_prob,hmm_of_state,hmm_of_prob,hmm_vd_state,hmm_vd_prob,hmm_pnl_state,hmm_ps_state,hmm_gd_state,hmm_zdrift_state,resolved_yes,would_win,would_pnl,spot_at_expiry,price_move_pct,miss_pct,loss_margin_pct,loss_category,p_up_v3,pup_v3_hmm_state,eth_p_up_v1,sol_p_up_v1,cg_flow_state,bb_width_5m,vwap_1h_state,macro_regime_bull,macro_regime_sdwy,macro_regime_bear,effective,p15,dir15,want,era,action,wait_pnl
2026-06-17 00:05:51+00:00,2026-06-17 00:00:00+00:00,KXBTCD-26JUN1621-T65799.99,2026-06-17T01:00:00Z,65651.56,65799.99,0.2261,0.17,real,0.085802,1.307,0.00029728,0.0003327,0.00032237,1.0321,0.01,0.00039223,0.0,0.0,1.0,0.0,0.0,-0.0119,2.0,0.0,0.3747,0.0,1.092e-05,0.0,,0.0,0.0,0.0,0.0,0.0,,False,False,0.0,1.0,24.08,,18.49,True,-1.0,bearish,0.0,0.0,0.076561,0.055632,trade,no,False,False,101.0,53.9,,0.45036,0.05,50.0,1000.0,-1.0,0.0,0.4733,0.4829,-0.0705,0.0807,0.0586,0.6544,0.5755,0.0542,-0.0434,-0.0901,0.5718,-1.0,0.3728,False,bullish,bearish,True,False,5.786,,False,False,,False,,,16.22,0.0219,,0.0,-1.0,-1.0,58.8,0.0388,,,,,,,,,,,,,,,,,,,-1.0,13165423.47,0.0,0.001999,-0.00231,0.00154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,10.24,65723.12,0.109,-0.1168,0.0,win,,,,,,,,,,,2026-06-17 00:00:00+00:00,0.5615114235500879,1,-1,pre,re-entered,16.57
2026-06-17 02:02:03+00:00,2026-06-17 01:00:00+00:00,KXBTCD-26JUN1623-T65999.99,2026-06-17T03:00:00Z,65859.57,65999.99,0.2132,0.23,real,0.118877,1.073,0.00042458,0.00040691,0.00037956,1.0721,0.01,0.0004356,0.0,-1.0,0.0,1.0,0.0,0.0694,2.0,1.0,0.9444,0.0,1.696e-05,0.0,,0.0,0.0,0.0,-1.0,-1.0,0.1616,False,False,-1.0,-1.0,94.46,,89.16,False,0.0,neutral,0.0,0.0,0.09347,0.070217,trade,no,False,False,104.0,57.68,,0.406389,0.05,50.0,1000.0,-1.0,-4.0,0.3396,0.4694,0.5308,0.1133,-0.0145,0.8526,1.0,0.1118,0.2302,0.1324,0.9634,1.0,0.0795,False,bullish,bearish,True,False,5.452,,False,False,,False,,,15.77,0.0061,,2.0,1.0,1.0,58.9,0.036,,,,,,,,,,,,,,,,,,,-1.0,13992463.9,0.0,0.003087,-0.00698,0.00178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,14.94,65900.12,0.0616,-0.1513,0.0,win,,,,,,,,,,,2026-06-17 01:00:00+00:00,0.4936674008810572,0,-1,pre,re-entered,15.26
2026-06-17 02:07:04+00:00,2026-06-17 02:00:00+00:00,KXBTCD-26JUN1623-T65899.99,2026-06-17T03:00:00Z,65813.73,65899.99,0.1311,0.28,real,0.160569,0.7421,0.00042584,0.0003904,0.00030961,1.2609,0.01,0.00040526,0.0,-1.0,0.0,1.0,0.0,-0.0751,2.0,1.0,0.9375,0.0,1.696e-05,1.0,,0.0,0.0,0.0,0.0,0.0,0.1016,False,False,-1.0,-1.0,86.05,,86.36,True,0.0,neutral,0.0,0.0,0.066897,0.040159,trade,no,False,False,103.0,52.69,,0.238917,0.05,50.0,1000.0,-1.0,-2.0,0.4265,0.4291,0.4007,-0.0741,-0.0597,0.0,0.0,-0.0779,0.1875,0.306,0.9634,1.0,0.1816,False,bullish,bearish,True,False,5.525,,False,False,,False,,,16.61,0.0065,,2.0,1.0,0.9975,59.1,-0.0654,,,,,,,,,,,,,,,,,,,-1.0,13965640.44,0.0,0.002784,-0.00629,0.00162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,19.44,65900.12,0.1313,0.0002,0.0,win,,,,,,,,,,,2026-06-17 02:00:00+00:00,0.4391534391534391,-1,-1,pre,unchanged,19.44
2026-06-17 02:23:07+00:00,2026-06-17 02:00:00+00:00,KXBTCD-26JUN1623-T66099.99,2026-06-17T03:00:00Z,65982.32,66099.99,0.1783,0.23,real,0.147581,0.9938,0.00037782,0.00039249,0.00039828,0.9855,0.01,0.00043543,0.0,-1.0,0.0,2.0,0.0,0.0509,2.0,1.0,0.8695,0.0,6.82e-06,1.0,,0.0,1.0,-1.0,-2.0,-2.0,0.3246,False,False,-1.0,-1.0,100.0,,95.25,False,0.0,neutral,0.0,0.0,0.072595,0.048311,trade,no,False,False,104.0,36.66,,0.31563,0.05,50.0,1000.0,-1.0,-5.0,0.4173,0.4849,0.2701,0.2343,0.2249,0.4491,0.97,0.1557,0.4217,0.5404,0.6288,-1.0,0.0997,False,bullish,bearish,True,False,5.255,,False,False,,False,,,16.19,0.1424,,2.0,1.0,1.0,59.09,0.0476,,,,,,,,,,,,,,,,,,,-1.0,13645848.25,0.0,0.003126,-0.00883,0.00181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,14.94,65900.12,-0.1246,-0.3024,0.0,win,,,,,,,,,,,2026-06-17 02:00:00+00:00,0.4391534391534391,-1,-1,pre,unchanged,14.94
2026-06-17 02:23:07+00:00,2026-06-17 02:00:00+00:00,KXBTCD-26JUN1623-T66099.99,2026-06-17T03:00:00Z,65984.16,66099.99,0.1755,0.23,real,0.150144,0.9828,0.00037782,0.00039249,0.00039206,1.0011,0.01,0.00043345,0.0,-1.0,0.0,2.0,0.0,0.0509,2.0,1.0,0.8695,0.0,7.55e-06,1.0,,0.0,1.0,-1.0,-2.0,-2.0,0.3246,False,False,-1.0,-1.0,100.0,,95.25,False,0.0,neutral,0.0,0.0,0.06992,0.045508,trade,no,False,False,104.0,36.66,,0.304001,0.05,50.0,1000.0,-1.0,-5.0,0.4173,0.4849,0.2701,0.2343,0.2249,0.4491,0.97,0.1557,0.4217,0.5404,0.6288,-1.0,0.1021,False,bullish,bearish,True,False,5.253,,False,False,,False,,,16.19,0.1424,,2.0,1.0,1.0,59.09,0.0476,,,,,,,,,,,,,,,,,,,-1.0,13645848.25,0.0,0.003126,-0.00885,0.00178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,14.94,65900.12,-0.1274,-0.3024,0.0,win,,,,,,,,,,,2026-06-17 02:00:00+00:00,0.4391534391534391,-1,-1,pre,unchanged,14.94
2026-06-17 03:06:40+00:00,2026-06-17 03:00:00+00:00,KXBTCD-26JUN1700-T65899.99,2026-06-17T04:00:00Z,65813.35,65899.99,0.1316,0.28,real,0.220481,0.7064,0.00055946,0.00044439,0.00030977,1.4346,0.01,0.000426,0.0,-1.0,0.0,0.0,0.0,-0.0623,2.0,-1.0,0.8242,0.0,-1.57e-06,-1.0,,0.0,0.0,0.0,0.0,0.0,-0.0201,False,False,0.0,0.0,57.88,,58.5,False,0.0,neutral,0.0,0.0,0.044274,0.016663,trade,no,False,False,103.0,53.09,,0.158121,0.05,50.0,1000.0,-1.0,0.0,0.4733,0.4817,-0.0032,-0.0419,-0.0359,0.0742,0.5,-0.0157,-0.0422,0.2233,0.5313,1.0,0.4388,False,bullish,bearish,True,False,5.526,,False,False,,False,,,15.0,0.0021,,3.0,-1.0,-1.0,59.27,0.0293,,,,,,,,,,,,,,,,,,,-1.0,13816812.99,0.0,0.00318,-0.00628,0.00159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,19.44,65877.37,0.0973,-0.0343,0.0,win,,,,,,,,,,,2026-06-17 03:00:00+00:00,0.4965548920532843,0,-1,pre,re-entered,1.74
2026-06-17 03:06:40+00:00,2026-06-17 03:00:00+00:00,KXBTCD-26JUN1700-T65899.99,2026-06-17T04:00:00Z,65813.35,65899.99,0.1316,0.28,real,0.220451,0.7065,0.00055946,0.00044439,0.00030983,1.4343,0.01,0.00042602,0.0,-1.0,0.0,0.0,0.0,-0.0623,2.0,-1.0,0.8242,0.0,-1.57e-06,-1.0,,0.0,0.0,0.0,0.0,0.0,-0.0201,False,False,0.0,0.0,57.88,,58.5,False,0.0,neutral,0.0,0.0,0.044306,0.016696,trade,no,False,False,103.0,53.07,,0.158236,0.05,50.0,1000.0,-1.0,0.0,0.4733,0.4817,-0.0032,-0.0419,-0.0359,0.0742,0.5,-0.0157,-0.0422,0.2233,0.5313,1.0,0.4388,False,bullish,bearish,True,False,5.526,,False,False,,False,,,15.0,0.0021,,3.0,-1.0,-1.0,59.27,0.0293,,,,,,,,,,,,,,,,,,,-1.0,13992382.72,0.0,0.003179,-0.00628,0.00159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,19.44,65877.37,0.0973,-0.0343,0.0,win,,,,,,,,,,,2026-06-17 03:00:00+00:00,0.4965548920532843,0,-1,pre,re-entered,1.74
2026-06-17 03:42:39+00:00,2026-06-17 03:00:00+00:00,KXBTCD-26JUN1700-T65799.99,2026-06-17T04:00:00Z,65766.2,65799.99,0.0514,0.39,real,0.317988,0.4091,0.00031187,0.00036309,0.00044481,0.8163,0.01,0.00044659,0.0,-1.0,0.0,0.0,0.0,-0.0052,2.0,0.0,0.6615,0.0,-3.96e-06,-1.0,,0.0,0.0,0.0,0.0,0.0,-0.0906,False,False,0.0,0.0,48.37,,47.53,False,0.0,neutral,0.0,0.0,0.053809,0.023188,trade,no,False,False,99.0,17.09,,0.137973,0.05,50.0,1000.0,-1.0,0.0,0.4733,0.4817,-0.0382,-0.0056,-0.0211,0.0044,0.4965,-0.1518,-0.1783,0.0868,0.0859,-1.0,0.3526,False,bullish,bearish,True,False,5.601,,False,False,,False,,,15.24,0.9714,0.02,3.0,-1.0,-1.0,59.24,-0.0666,,,,,,,,,,,,,,,,,,,-0.4769,550420.96,0.0,0.017638,-0.00557,0.0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,31.97,65877.37,0.169,0.1176,0.0,win,,,,,,,,,,,2026-06-17 03:00:00+00:00,0.4965548920532843,0,-1,pre,re-entered,23.36
2026-06-17 04:00:22+00:00,2026-06-17 04:00:00+00:00,KXBTCD-26JUN1701-T65999.99,2026-06-17T05:00:00Z,65800.06,65999.99,0.3039,0.15,real,0.05521,1.6025,0.00034195,0.00033028,0.00037987,0.8694,0.01,0.00040947,-1.0,-1.0,0.0,0.0,0.0,0.0342,2.0,0.0,0.6566,0.0,1.855e-05,0.0,,0.0,0.0,0.0,0.0,0.0,-0.057,False,False,0.0,0.0,51.45,,51.59,False,0.0,neutral,0.0,0.0,0.095331,0.076713,trade,no,False,False,92.0,59.38,,0.63554,0.05,50.0,1000.0,0.0,0.0,0.4819,0.5018,0.0543,0.0323,-0.0334,0.628,0.5,0.0404,-0.1194,-0.1459,0.041,-1.0,0.16,False,bullish,bearish,True,False,5.547,,False,False,,True,,,14.78,0.0,,4.0,-1.0,-1.0,59.23,0.0139,,,,,,,,,,,,,,,,,,,-1.0,13363081.61,0.0,0.002652,-0.00608,0.00172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,8.82,65891.63,0.1392,-0.1642,0.0,win,,,,,,,,,,,2026-06-17 04:00:00+00:00,0.4965548920532843,0,-1,pre,re-entered,3.24
2026-06-17 04:08:12+00:00,2026-06-17 04:00:00+00:00,KXBTCD-26JUN1701-T65899.99,2026-06-17T05:00:00Z,65804.81,65899.99,0.1446,0.23,real,0.184903,0.903,0.00033478,0.00032332,0.00027248,1.1866,0.01,0.00037156,-1.0,-1.0,0.0,0.0,0.0,0.0284,2.0,0.0,0.6495,0.0,1.709e-05,0.0,,0.0,0.0,0.0,0.0,0.0,0.0074,False,False,0.0,0.0,57.55,,53.62,False,0.0,neutral,0.0,0.0,0.046393,0.0209,trade,no,False,False,91.0,51.54,,0.201707,0.05,50.0,1000.0,0.0,0.0,0.4819,0.5018,0.0757,0.1048,0.0311,0.5561,1.0,0.0737,-0.0862,-0.1127,0.041,-1.0,0.3489,False,bullish,bearish,True,False,5.539,,False,False,,True,,,14.78,0.0058,,4.0,-1.0,-1.0,59.24,0.0139,,,,,,,,,,,,,,,,,,,-0.8393,8290546.44,0.0,0.007715,-0.00615,0.00165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,14.94,65891.63,0.1319,-0.0127,0.0,win,,,,,,,,,,,2026-06-17 04:00:00+00:00,0.4965548920532843,0,-1,pre,re-entered,13.96
