signal,bucket,n,delta_sum,P_wait_helps
avg_funding_rate,Q2,149,-1050.14,0.024
rvol_1h,Q2,149,-884.6799999999998,0.055
stoch_1h,Q2,149,-745.74,0.058
vol_eff,Q2,149,-570.18,0.078
donch_15m,Q3,150,-641.37,0.085
kelt_15m,Q3,149,-666.41,0.096
adx_5m,Q3,150,-632.7100000000002,0.1
rsi_1h,Q4,151,-517.8699999999999,0.1
chg_1h_r,Q3,150,-664.75,0.105
pm_drift_5m,Q4,70,-523.6499999999999,0.106
vol_implied_kalshi,Q2,144,-519.15,0.109
chg_1h,Q4,99,-424.0199999999999,0.114
chg_1h,Q2,98,-392.64,0.116
stoch_k,Q2,150,-464.5300000000001,0.12
chg_30m,Q4,150,-397.0599999999999,0.134
bp_1h,Q3,99,-380.37000000000006,0.136
chg_4h_r,Q3,151,-590.01,0.142
chg_15m_r,Q2,149,-560.7299999999999,0.143
cg30_state,=6,102,-428.62,0.158
pctb_5m,Q3,149,-451.0,0.16
stoch_d,Q2,149,-381.13,0.163
adx_1h,Q3,150,-604.4599999999999,0.163
kelt_1h,Q4,150,-408.53999999999985,0.163
bbw_15m,Q1,149,-540.0100000000001,0.168
donch_4h,Q4,155,-423.30000000000007,0.169
ls_long_pct,Q3,144,-381.1100000000001,0.172
rsi_1h,Q2,147,-537.2900000000001,0.175
hour_utc,Q2,165,-460.34999999999997,0.182
composite_rev,Q1,115,-436.18000000000006,0.186
adx_4h,Q3,148,-457.39,0.191
rvol20_15m,Q2,150,-507.7900000000001,0.193
bbw_5m,Q3,148,-416.25000000000006,0.201
avg_funding_rate,Q1,150,-417.69000000000005,0.202
bbw_1h,Q1,149,-462.62,0.207
pctb_5m,Q2,149,-477.38999999999993,0.211
obi_raw,Q3,150,-380.25,0.211
donch_5m,Q2,149,-343.86999999999995,0.214
ls_long_pct,Q1,142,-363.6000000000001,0.221
chg_10m,Q2,149,-378.2099999999999,0.228
kelt_4h,Q3,151,-572.71,0.232
liq_bias,Q4,143,-281.27000000000004,0.239
p_up_v2,Q3,145,-362.73000000000013,0.244
pctb_1h,Q2,150,-370.75,0.252
vol_60m,Q2,149,-398.86,0.257
pctb_4h,Q3,151,-497.71000000000004,0.26
bbw_5m,Q1,150,-314.04,0.268
dir_15m,=1.0,250,-434.85000000000025,0.269
composite_rev,Q3,297,-316.46000000000004,0.287
p_market,Q1,126,-211.11999999999998,0.29
chg_3h,Q3,99,-150.19999999999996,0.297
stoch_5m,Q2,148,-244.17,0.302
cg30_state,=2,72,-242.40000000000003,0.304
stoch_4h,Q2,152,-235.27000000000007,0.304
vpin_raw,Q3,150,-208.39999999999998,0.306
z_score,Q4,150,-243.06000000000006,0.306
macdh_5m,Q2,149,-329.0999999999999,0.308
bbw_4h,Q4,152,-223.24,0.314
rvol20_5m,Q1,150,-266.7199999999999,0.32
chg_10m,Q4,150,-195.22000000000003,0.321
pctb_1h,Q4,152,-193.28,0.326
composite_trend,Q4,300,-388.53000000000003,0.328
chg_2h,Q4,99,-121.72999999999999,0.336
offset_pct,Q3,150,-149.81,0.337
rsi_4h,Q4,150,-125.87000000000006,0.337
rvol_1h,Q1,150,-149.91,0.339
chg_5m,Q2,139,-237.93999999999994,0.34
pm_drift_5m,Q2,66,-98.73000000000005,0.34
macdh_15m,Q3,151,-155.44999999999987,0.347
donch_1h,Q2,149,-232.88999999999976,0.35
oi_chg_pct,Q3,143,-167.43000000000004,0.352
kelt_5m,Q3,149,-163.88000000000002,0.357
stoch_5m,Q3,151,-157.36999999999998,0.36
demand_pct,Q3,71,-177.06,0.36
donch_5m,Q3,150,-155.02999999999994,0.36
pctb_15m,Q2,150,-133.42999999999995,0.374
macdh_5m,Q3,149,-150.72000000000014,0.378
stoch_d,Q4,150,-195.2199999999999,0.381
stoch_bias,=-1.0,68,-138.09,0.385
rsi_15m,Q2,149,-172.85999999999999,0.385
bp_5m,Q4,145,-141.3200000000001,0.386
chg_5m,Q4,150,-92.16999999999993,0.391
stoch_k,Q4,150,-171.33,0.393
sc_strength,Q3,155,-129.30999999999995,0.396
chg_3h,Q4,99,-84.02999999999989,0.399
kelt_1h,Q2,150,-156.83999999999992,0.405
stoch_15m,Q3,150,-132.66000000000017,0.406
tau_minutes,Q3,149,-146.29999999999998,0.408
vol_60m_model,Q3,150,-65.74999999999994,0.411
body_15m,Q3,145,-109.60999999999996,0.416
pctb_4h,Q4,150,-102.82000000000002,0.42
rsi_15m,Q3,150,-52.55000000000018,0.422
rsi_4h,Q3,152,-154.63999999999984,0.425
macdh_4h,Q3,152,-136.7600000000001,0.429
rvol20_1h,Q4,151,-39.730000000000096,0.447
vwap_distance_pct,Q4,142,-57.780000000000086,0.448
ema_stack_bias,=0,93,-88.49000000000007,0.45
vol_ratio,Q1,145,-49.54000000000008,0.454
donch_1h,Q3,151,-41.82000000000002,0.456
liq_bias,Q3,143,-62.69000000000001,0.457
rsi_5m,Q2,150,-47.950000000000045,0.457
kelly_fraction,Q4,150,-22.600000000000065,0.467
adx_4h,Q2,149,-64.33999999999992,0.472
vol_60m_model,Q2,149,-27.19999999999996,0.473
