logged_at,contract_ticker,spot,strike,p_market,tau_minutes,realized_vol_annual,resolved_yes,week,effective,p_sc,p_model_yes,p_model_no,edge_yes,edge_no,best_side,best_edge,win,cost,era
2026-06-02 03:40:38+00:00,KXBTC15M-26JUN012345-45,70934.66,70867.39,0.335,4.4,0.428581,1.0,2026-06-01/2026-06-07,2026-06-02 03:30:00+00:00,0.4355942750466708,0.7713132516217218,0.2260373374642477,0.4363132516217218,-0.43896266253575233,yes,0.4363132516217218,1.0,0.335,pre-07-01 (held-out)
2026-07-08 18:01:38+00:00,KXBTC15M-26JUL081415-15,62060.97,62060.75,0.855,13.6,0.439158,1.0,2026-07-06/2026-07-12,2026-07-08 17:00:00+00:00,0.3043478260869565,0.4532937838530732,0.5273451089583644,-0.4017062161469268,0.3823451089583644,no,0.3823451089583644,0.0,0.14500000000000002,07-01+ (s23 window)
2026-07-03 13:27:41+00:00,KXBTC15M-26JUL030930-30,61980.94,61994.66,0.715,2.3,0.282511,1.0,2026-06-29/2026-07-05,2026-07-03 13:15:00+00:00,0.4491803278688525,0.3493686986670802,0.6487781015596754,-0.36563130133291977,0.3637781015596754,no,0.3637781015596754,0.0,0.28500000000000003,07-01+ (s23 window)
2026-05-23 05:27:42+00:00,KXBTC15M-26MAY230130-30,75433.53,75439.0,0.66,2.3,0.082474,0.0,2026-05-18/2026-05-24,2026-05-23 05:15:00+00:00,0.5040756439517444,0.33750045065431167,0.6626457029217786,-0.32249954934568836,0.32264570292177863,no,0.32264570292177863,1.0,0.33999999999999997,pre-07-01 (held-out)
2026-07-04 00:05:17+00:00,KXBTC15M-26JUL032015-15,62536.08,62559.15,0.655,9.7,0.246193,1.0,2026-06-29/2026-07-05,2026-07-04 00:00:00+00:00,0.5404040404040404,0.3713253292269293,0.6317543989016777,-0.28367467077307074,0.28675439890167775,no,0.28675439890167775,0.0,0.345,07-01+ (s23 window)
2026-07-05 08:37:41+00:00,KXBTC15M-26JUL050445-45,62866.45,62885.54,0.595,7.3,0.160524,1.0,2026-06-29/2026-07-05,2026-07-05 08:30:00+00:00,0.5543613063249276,0.3143085220871936,0.6890678404205677,-0.28069147791280635,0.28406784042056765,no,0.28406784042056765,0.0,0.405,07-01+ (s23 window)
2026-05-24 21:25:09+00:00,KXBTC15M-26MAY241730-30,76608.19,76606.69,0.255,4.8,0.101183,0.0,2026-05-18/2026-05-24,2026-05-24 21:15:00+00:00,0.4597701149425287,0.519839184211431,0.4778843543636261,0.26483918421143104,-0.2671156456363739,yes,0.26483918421143104,0.0,0.255,pre-07-01 (held-out)
2026-07-08 16:55:09+00:00,KXBTC15M-26JUL081300-00,61979.54,61986.63,0.705,4.8,0.55052,1.0,2026-07-06/2026-07-12,2026-07-08 16:45:00+00:00,0.274390243902439,0.43898226012979713,0.5476127465289493,-0.26601773987020283,0.2526127465289493,no,0.2526127465289493,0.0,0.29500000000000004,07-01+ (s23 window)
2026-05-26 17:57:35+00:00,KXBTC15M-26MAY261400-00,75918.73,75913.02,0.83,2.4,0.393299,0.0,2026-05-25/2026-05-31,2026-05-26 17:45:00+00:00,0.576899320568252,0.5937359077581051,0.40927626727271194,-0.23626409224189482,0.2392762672727119,no,0.2392762672727119,1.0,0.17000000000000004,pre-07-01 (held-out)
2026-07-07 01:26:19+00:00,KXBTC15M-26JUL062130-30,63935.28,63942.17,0.705,3.7,0.417804,0.0,2026-07-06/2026-07-12,2026-07-07 01:15:00+00:00,0.6727748691099477,0.4833946920472907,0.525461173054913,-0.22160530795270927,0.23046117305491298,no,0.23046117305491298,1.0,0.29500000000000004,07-01+ (s23 window)
