decision_time,ticker,win,would_pnl,net_move_pct,mae_pct,touched_strike,path_rv,reversals,n_bars,monotonic_frac,pre_rv5,pre_rv15,pre_rev5,pre_rev15,pre_maxdd5,episode
2026-07-01 05:20:39.537889+00:00,KXBTC15M-26JUL010130-30,0.0,-74.02,-0.1025085393940499,-0.1025085393940499,True,0.0005331265444927,6,9,0.2222222222222222,0.0003374063746630124,0.0004465272573817959,4,12,0.0,1
2026-07-01 07:17:26.180040+00:00,KXBTC15M-26JUL010330-30,1.0,35.38,0.0643290615380093,0.0226496320382597,False,0.000533469136905,6,13,0.3076923076923077,0.0001848997850716837,0.0004886990561253292,4,13,0.0,2
2026-07-01 08:53:49.550302+00:00,KXBTC15M-26JUL010500-00,1.0,17.65,0.332518242170359,0.0979492179201153,False,0.0007527999208436,3,7,0.5714285714285714,0.00038598340640871404,0.00039496273878458603,4,10,0.0,3
2026-07-01 09:09:04.983994+00:00,KXBTC15M-26JUL010515-15,0.0,-77.29,0.0784593885391934,0.034782886799339,False,0.000292292486812,3,6,0.1666666666666666,0.0006870006868559558,0.0006295400360811573,3,9,0.0,3
2026-07-01 13:07:31.402506+00:00,KXBTC15M-26JUL010915-15,1.0,12.96,0.2029370520426426,0.1080891774881325,False,0.0002664142486473,5,8,0.25,0.0006946411825503467,0.000839992789482092,3,9,-0.19289876525725005,4
2026-07-01 13:17:40.834735+00:00,KXBTC15M-26JUL010930-30,1.0,26.1,0.1069354973382846,-0.0389697178908653,False,0.0010423086614149,5,13,0.2307692307692307,0.0002398573422889103,0.0004948124842455374,2,8,0.0,4
2026-07-01 13:48:05.224548+00:00,KXBTC15M-26JUL011000-00,1.0,18.15,0.4392579569014309,0.3066648882521982,False,0.0007822322824813,9,12,0.5,0.0015248378035171081,0.0013628661055451572,2,9,0.0,4
2026-07-01 14:18:32.749023+00:00,KXBTC15M-26JUL011030-30,0.0,-59.45,-0.4363399353443838,-0.4363399353443838,True,0.0006708002169878,9,12,0.5,0.001201419830420931,0.001153454969072945,3,5,0.0,4
2026-07-01 14:54:02.490548+00:00,KXBTC15M-26JUL011100-00,0.0,-72.45,-0.2978111390595511,-0.2978111390595511,True,0.0004772283234117,4,6,0.6666666666666666,0.0005388964178356931,0.0010781045606621422,4,10,0.0,4
2026-07-01 17:40:51.915656+00:00,KXBTC15M-26JUL011345-45,1.0,12.32,0.0522676038468641,0.0106680692881334,False,0.0002603969309811,5,5,0.4,0.0004628410926142147,0.0004874596421327896,3,9,0.0,5
2026-07-01 17:56:03.879306+00:00,KXBTC15M-26JUL011400-00,1.0,15.54,0.0607917898314994,0.0607917898314994,False,0.0001538812752155,3,4,0.0,0.0003932339380761923,0.00025737534762785793,5,12,0.0,5
2026-07-01 18:21:23.575324+00:00,KXBTC15M-26JUL011430-30,1.0,32.18,0.0597994405089054,0.0569862343764757,False,0.0003841420423921,7,9,0.2222222222222222,0.00041482240962272156,0.0005035257480752875,4,12,0.0,5
