short_h,long_h,spread_2024,spread_2025,spread_2026,consistent,mean_abs_spread
1,12,-0.0596,-0.0715,-0.0903,True,0.07380914674683992
1,24,-0.0748,-0.0794,-0.1051,True,0.08640451749658318
1,48,-0.0902,-0.0964,-0.145,True,0.11054635501001708
1,72,-0.1053,-0.0955,-0.1639,True,0.1215974214799523
1,120,-0.1063,-0.0957,-0.1639,True,0.12198790416943912
1,168,-0.1075,-0.0948,-0.1604,True,0.120907193327687
2,12,-0.062,-0.0801,-0.0939,True,0.07864337287963463
2,24,-0.0727,-0.0799,-0.1125,True,0.08837309821140531
2,48,-0.0991,-0.0855,-0.1497,True,0.11145495175651883
2,72,-0.1066,-0.0925,-0.1667,True,0.12194760014774586
2,120,-0.108,-0.0953,-0.1754,True,0.12621465790097955
2,168,-0.1068,-0.0954,-0.1675,True,0.12322520786270756
4,12,-0.062,-0.0795,-0.0917,True,0.0777225844419901
4,24,-0.0649,-0.069,-0.1086,True,0.08087207522894709
4,48,-0.093,-0.0875,-0.1467,True,0.10906356212090214
4,72,-0.0991,-0.0884,-0.1631,True,0.11687991200713892
4,120,-0.1049,-0.0938,-0.1639,True,0.12087755165029375
4,168,-0.1034,-0.0908,-0.1604,True,0.11819929494332515
6,12,-0.0552,-0.0794,-0.0744,True,0.06967545710185563
6,24,-0.0598,-0.0619,-0.1032,True,0.07494648789888037
6,48,-0.087,-0.0799,-0.1371,True,0.10133259336730231
6,72,-0.0971,-0.0821,-0.145,True,0.10807270415769243
6,120,-0.0974,-0.0849,-0.1464,True,0.10958172233644832
6,168,-0.0946,-0.0867,-0.1472,True,0.10949810073293025
8,12,-0.0552,-0.0643,-0.0679,True,0.06247246723656567
8,24,-0.0496,-0.0497,-0.0802,True,0.05984663892790835
8,48,-0.0809,-0.0726,-0.1289,True,0.0941532430616799
8,72,-0.0896,-0.0732,-0.1467,True,0.10316257088471543
8,120,-0.0915,-0.0779,-0.1407,True,0.10336784940090826
8,168,-0.09,-0.0713,-0.1371,True,0.09949587641642448
12,24,-0.0319,-0.0315,-0.0495,True,0.037641043909208714
12,48,-0.0698,-0.0519,-0.1138,True,0.0784912436317879
12,72,-0.0761,-0.059,-0.1245,True,0.08654178735967451
12,120,-0.0799,-0.0613,-0.1338,True,0.09168040171114052
12,168,-0.0815,-0.0617,-0.1264,True,0.08989917553757139
