pair,r2_win,p_win,r2_mae,p_mae,r2_touch,p_touch,spread_2026,p_spread_2026,n_trades
15m/1h,0.010025367907469518,0.19794021130748365,0.00015145578023068946,0.8745753568660277,0.00020072357405395648,0.8558017395987977,0.016432321873019018,0.168,167
15m/2h,0.009635027610607137,0.20694674998984783,7.451448623941272e-05,0.9118411499402954,0.0006044726483744819,0.7524710486328962,-0.009797344466813906,0.36933333333333335,167
15m/4h,0.00554380409076617,0.3389236400771393,0.002669100632239274,0.5072883506483075,0.0031100855135019743,0.4740978455862709,-0.02051992078572773,0.09333333333333334,167
30m/2h,0.00476861879757364,0.37521560036705087,8.414702527713323e-05,0.9063405749914185,0.009040265529747855,0.22161283197255752,-0.006365981711757396,0.616,167
30m/4h,0.002767732797459075,0.49953428425952295,0.0038977359226688196,0.42283078635645943,0.021323665998489647,0.05969932192721385,-0.026716320817169792,0.024,167
30m/6h,1.6774194797367265e-05,0.9581064672804286,0.0036842105016719933,0.43585339825907055,0.01815649900170183,0.08253719731426012,-0.051281948399354405,0.0,167
1h/4h,3.3072401393267946e-05,0.9412014227016093,0.0024750228935097305,0.5231656674412373,0.0055801004589101895,0.3373430114943945,-0.03136731877700827,0.006666666666666667,167
1h/6h,0.0009557473679420319,0.6916579651387107,0.003306175059420197,0.4604626551515484,0.005777284134384738,0.32892514926681665,-0.04936447030992175,0.0,167
1h/12h,7.925016281775079e-05,0.909094562742952,0.014641747654637747,0.11930702059599424,0.01465445845718742,0.119145595169939,-0.06985620068032194,0.0,167
2h/12h,0.00022744672116554925,0.8466136169924114,0.024986602450806708,0.04132677714842775,0.02161749475632119,0.05794964626902831,-0.06416262546697082,0.0,167
6h/72h,0.01555177795074387,0.10833172233358505,0.04094419555541152,0.008730251200483635,0.06162491148124886,0.0012176781641148368,-0.09302456441392581,0.0,167
2h/120h,0.00590641747885607,0.32356235152402646,0.0589432235556147,0.001570620201997232,0.07610569726405182,0.0003078944155028885,-0.10565931574142973,0.0,167
