decision_time,ticker,win,would_pnl,net_move_pct,mae_pct,touched_strike,path_rv,reversals,n_bars,monotonic_frac,pre_rv5,pre_rv15,pre_rev5,pre_rev15,pre_maxdd5,episode,ts,rv,ts2,er
2026-07-01 05:20:39.537889+00:00,KXBTC15M-26JUL010130-30,0.0,-74.02,-0.1025085393940499,-0.1025085393940499,True,0.0005331265444927,6,9,0.2222222222222222,0.000337406374663,0.0004465272573817,4,12,0.0,1,2026-07-01 05:20:00+00:00,0.8343838531665676,2026-07-01 05:20:00+00:00,0.18120334246796901
2026-07-01 07:17:26.180040+00:00,KXBTC15M-26JUL010330-30,1.0,35.38,0.0643290615380093,0.0226496320382597,False,0.000533469136905,6,13,0.3076923076923077,0.0001848997850716,0.0004886990561253,4,13,0.0,2,2026-07-01 07:17:00+00:00,0.7623737216257861,2026-07-01 07:17:00+00:00,0.32011745256248514
2026-07-01 08:53:49.550302+00:00,KXBTC15M-26JUL010500-00,1.0,17.65,0.332518242170359,0.0979492179201153,False,0.0007527999208436,3,7,0.5714285714285714,0.0003859834064087,0.0003949627387845,4,10,0.0,3,2026-07-01 08:53:00+00:00,0.6465302356048667,2026-07-01 08:53:00+00:00,0.03836097008258243
2026-07-01 09:09:04.983994+00:00,KXBTC15M-26JUL010515-15,0.0,-77.29,0.0784593885391934,0.034782886799339,False,0.000292292486812,3,6,0.1666666666666666,0.0006870006868559,0.0006295400360811,3,9,0.0,3,2026-07-01 09:09:00+00:00,0.6843579152470997,2026-07-01 09:09:00+00:00,0.16424208430033443
2026-07-01 13:07:31.402506+00:00,KXBTC15M-26JUL010915-15,1.0,12.96,0.2029370520426426,0.1080891774881325,False,0.0002664142486473,5,8,0.25,0.0006946411825503,0.000839992789482,3,9,-0.19289876525725,4,2026-07-01 13:07:00+00:00,0.8376146786478368,2026-07-01 13:07:00+00:00,0.005642815863784033
2026-07-01 13:17:40.834735+00:00,KXBTC15M-26JUL010930-30,1.0,26.1,0.1069354973382846,-0.0389697178908653,False,0.0010423086614149,5,13,0.2307692307692307,0.0002398573422889,0.0004948124842455,2,8,0.0,4,2026-07-01 13:17:00+00:00,0.8128186870120624,2026-07-01 13:17:00+00:00,0.0006015758352382554
2026-07-01 13:48:05.224548+00:00,KXBTC15M-26JUL011000-00,1.0,18.15,0.4392579569014309,0.3066648882521982,False,0.0007822322824813,9,12,0.5,0.0015248378035171,0.0013628661055451,2,9,0.0,4,2026-07-01 13:48:00+00:00,1.3110067990452436,2026-07-01 13:48:00+00:00,0.20634097238947227
2026-07-01 14:18:32.749023+00:00,KXBTC15M-26JUL011030-30,0.0,-59.45,-0.4363399353443838,-0.4363399353443838,True,0.0006708002169878,9,12,0.5,0.0012014198304209,0.0011534549690729,3,5,0.0,4,2026-07-01 14:18:00+00:00,1.4689011090680615,2026-07-01 14:18:00+00:00,0.37482483055783744
2026-07-01 14:54:02.490548+00:00,KXBTC15M-26JUL011100-00,0.0,-72.45,-0.2978111390595511,-0.2978111390595511,True,0.0004772283234117,4,6,0.6666666666666666,0.0005388964178356,0.0010781045606621,4,10,0.0,4,2026-07-01 14:54:00+00:00,1.6567703482458007,2026-07-01 14:54:00+00:00,0.2735253980591049
2026-07-01 17:40:51.915656+00:00,KXBTC15M-26JUL011345-45,1.0,12.32,0.0522676038468641,0.0106680692881334,False,0.0002603969309811,5,5,0.4,0.0004628410926142,0.0004874596421327,3,9,0.0,5,2026-07-01 17:40:00+00:00,0.8576080090365663,2026-07-01 17:40:00+00:00,0.009561833323250963
2026-07-01 17:56:03.879306+00:00,KXBTC15M-26JUL011400-00,1.0,15.54,0.0607917898314994,0.0607917898314994,False,0.0001538812752155,3,4,0.0,0.0003932339380761,0.0002573753476278,5,12,0.0,5,2026-07-01 17:56:00+00:00,0.8191832404328563,2026-07-01 17:56:00+00:00,0.04376737058105653
2026-07-01 18:21:23.575324+00:00,KXBTC15M-26JUL011430-30,1.0,32.18,0.0597994405089054,0.0569862343764757,False,0.0003841420423921,7,9,0.2222222222222222,0.0004148224096227,0.0005035257480752,4,12,0.0,5,2026-07-01 18:21:00+00:00,0.7886454283684078,2026-07-01 18:21:00+00:00,0.04448422831905076
2026-07-01 18:36:33.894226+00:00,KXBTC15M-26JUL011445-45,1.0,13.49,0.1031251539053481,0.1031251539053481,False,6.316770634597317e-05,4,9,0.0,0.0005441109159637,0.0004659236062482,4,11,0.0,5,2026-07-01 18:36:00+00:00,0.7145830635586622,2026-07-01 18:36:00+00:00,0.08147268755260965
2026-07-01 18:51:47.111949+00:00,KXBTC15M-26JUL011500-00,0.0,-65.56,-0.0313054568261009,-0.1203261069863666,True,0.0005578743647335,6,9,0.3333333333333333,0.0007674839687987,0.0004310293998122,3,8,-0.0840160711667049,5,2026-07-01 18:51:00+00:00,0.7329374592539308,2026-07-01 18:51:00+00:00,0.15079703680719847
2026-07-01 19:01:54.526898+00:00,KXBTC15M-26JUL011515-15,1.0,38.32,0.2531852899423334,0.1535348460076697,False,0.0002169226045414,10,13,0.4615384615384615,0.0001720952201183,0.0006901090210184,3,10,-0.0218958224366812,5,2026-07-01 19:01:00+00:00,0.7821791796819779,2026-07-01 19:01:00+00:00,0.11746825244229493
2026-07-01 19:17:04.860595+00:00,KXBTC15M-26JUL011530-30,0.0,-76.95,-0.150143597875631,-0.150143597875631,True,0.0002961633629757,5,13,0.3076923076923077,0.0002167797806343,0.0002276707752954,4,11,0.0,5,2026-07-01 19:17:00+00:00,0.7834748793476788,2026-07-01 19:17:00+00:00,0.1907356948228851
2026-07-01 19:32:14.696304+00:00,KXBTC15M-26JUL011545-45,1.0,24.48,0.0656505581920089,0.0575707350321381,False,0.0002236286712643,10,13,0.1538461538461538,4.264886259173857e-05,0.0002848473442402,2,7,0.0,5,2026-07-01 19:32:00+00:00,0.7176783352673435,2026-07-01 19:32:00+00:00,0.01741013425725227
2026-07-01 20:48:09.218809+00:00,KXBTC15M-26JUL011700-00,1.0,38.63,0.2305070350623814,0.1826248369361566,False,0.0003409231461615,9,12,0.25,0.0001147453971406,0.0002905693737892,2,7,0.0,6,2026-07-01 20:48:00+00:00,0.7636737364983289,2026-07-01 20:48:00+00:00,0.0492379131931602
2026-07-01 21:03:22.769130+00:00,KXBTC15M-26JUL011715-15,1.0,51.76,0.5030415876338539,0.0938034246059917,False,0.0009013238319337,9,11,0.4545454545454545,0.0001567654285984,0.0003756455257996,3,10,0.0,6,2026-07-01 21:03:00+00:00,0.6450620605575522,2026-07-01 21:03:00+00:00,0.07722567167305844
2026-07-01 21:18:32.520204+00:00,KXBTC15M-26JUL011730-30,1.0,45.36,0.3708176733270268,0.0195754097872845,False,0.0010653568107678,11,12,0.5,0.0012423403175833,0.0009722422184722,3,12,-0.1564299301938015,6,2026-07-01 21:18:00+00:00,0.8594449979121933,2026-07-01 21:18:00+00:00,0.07213713413637167
2026-07-01 21:33:43.601352+00:00,KXBTC15M-26JUL011745-45,1.0,17.76,0.3298739281366832,0.0869355060848639,False,0.0004286839354227,7,12,0.5,0.0007551862371984,0.0009916686905068,3,12,-0.0688545271067432,6,2026-07-01 21:33:00+00:00,1.0037212400612892,2026-07-01 21:33:00+00:00,0.1577647582319794
2026-07-02 01:31:47.152848+00:00,KXBTC15M-26JUL012145-45,1.0,12.63,0.1739616643657007,0.0520158481301976,False,0.000671636960867,10,14,0.3571428571428571,0.0010364355051391,0.0008125954227659,3,12,-0.0278318304144861,7,2026-07-02 01:31:00+00:00,0.9892631251471113,2026-07-02 01:31:00+00:00,0.04459727500231456
