logged_at,decision_time,asset,contract_ticker,close_time,spot,floor_strike,offset_pct,tau_minutes,spread,p_market,p_model_15m,raw_edge,side,decision,z_score,bp_5m,body_5m,dir_5m,vol_ratio,vol_ratio_5m,body_15m,bp_15m,dir_15m,upper_wick_15m,lower_wick_15m,atr_ratio_15m,range_ratio_15m,consec_dir_15m,stoch_k_5m,stoch_k_15m,chg_1m,chg_5m,chg_15m,vwap_dist,ema_bias,ema_bias_1h,ema20_dist_1h,ema50_dist_1h,nearest_res_dist_pct,composite_p_up,realized_vol_annual,vol_ratio_1h,bp_1h,chg_1h,dir_1h,consec_dir_1h,stoch_k_1h,stoch_cross_1h,rsi_1h,macd_hist_1h,donchian_breakout_1h,engulfing_1h,bb_pct_1h,mu6h,mu12h,mu24h,regime_z,arima_forecast_1h,stoch_k_4h,rsi_4h,chg_4h,bp_4h,liq_score,liq_bias,oi_chg_pct,ls_long_pct,fear_greed,cg_composite,kelly_fraction,bet_fraction,bet_amount,bankroll,resolved_yes,would_win,would_pnl,spot_at_expiry,price_move_pct,miss_pct,markov_regime_1h,markov_regime_15m,markov_eth_daily,markov_sol_6h,markov_sol_4h,markov_sol_1h,p_up_v2_btc,z_drift_6h,p_gbdt,autocorr1_15,autocorr1_30,hurst_exponent,ou_theta,ou_halflife,ou_mu_distance,kalman_velocity,kalman_residual,kc_pct_1h,kc_bo_1h,cvd_4h,cg_futures_delta_4h,cg_futures_ratio_4h,cg_futures_cvd_12h,vwap_hmm_state,cg_flow_state,p_up_v3,v3_agree,pup_v3_hmm_state,kc_pct_5m,kc_bo_5m,kc_pct_15m,kc_bo_15m,donch_breakout_5m,donch_pos_5m,donch_breakout_15m,donch_pos_15m,stoch_cross_5m,stoch_cross_15m,kalman_velocity_5m,kalman_residual_5m,hurst_exponent_5m,ou_theta_5m,kalman_velocity_15m,kalman_residual_15m,hurst_exponent_15m,ou_theta_15m,arima_forecast_15m,z_drift_raw,win,episode,zd_used,p_model_yes_new,edge_new,still_qual
2026-05-27 11:06:00.633526+00:00,2026-05-27 11:06:00.620696+00:00,BTC,KXBTC15M-26MAY270715-15,2026-05-27 11:15:00+00:00,75843.8938,75816.74,0.0358,8.99,0.01,0.815,0.8852,0.0702,yes,trade,-0.4993,0.9822,0.9822,1.0,0.105,1.0,1.0,1.0,1,0.0,0.0,0.001256,0.6983,2.0,78.76,79.34,0.0363,0.0465,0.0914,0.1056,1,,0.1104,,999.0,,0.1734,,0.5149,0.0513,1,2.0,76.99,0.0,45.83,,,0,0.629,0.0007899,0.000235,8.59e-05,0.1143,,,,0.4021,1.0,-1.0,-1.0,0.0476,59.37,26.0,0.0,0.3793,0.03,30.15,1000.0,1.0,1.0,6.84,75987.0,0.1887,0.2246,Sideways,Sideways,Bear,Bear,Sideways,Sideways,,2.2848,,-0.0170350181315054,-0.1112002200749724,0.4779,2.183981,0.3174,0.177,-5.5e-05,-1e-06,0.5296,0.0,141413.11,-110294758.66680002,0.8890490819481244,-138520323.60829985,,,,,,,,,,,,,,,,,,,,,,,,,2.416586055305861,1.0,1,0.4833172110611722,0.8819076837453064,0.06690768374530642,True
2026-05-27 11:21:10.786511+00:00,2026-05-27 11:21:10.777929+00:00,BTC,KXBTC15M-26MAY270730-30,2026-05-27 11:30:00+00:00,75883.3463,75854.38,0.0382,8.82,0.01,0.825,0.8915,0.0665,yes,trade,-0.5254,0.0,1.0,-1.0,0.063,1.0,0.8263,0.8263,1,0.1737,0.0,0.001212,0.5512,-1.0,47.02,67.25,0.0,-0.0567,-0.0622,0.0466,-1,,0.1104,,999.0,,0.1774,,0.5149,0.0513,1,2.0,76.99,1.0,45.83,,,0,0.629,0.0007899,0.000235,8.59e-05,0.1143,,,,0.4021,1.0,1.0,1.0,0.0107,59.4,26.0,0.0,0.3798,0.03,29.7,1000.0,0.0,0.0,-29.7,75935.28,0.0684,0.1067,Sideways,Sideways,Bear,Bear,Sideways,Sideways,,2.3345,,-0.0170350181315054,-0.1112002200749724,0.4779,2.183981,0.3174,0.177,-5.5e-05,-1e-06,0.5296,0.0,141413.11,-110294758.66680002,0.8890490819481244,-138520323.60829985,,,,,,,,,,,,,,,,,,,,,,,,,2.232896061050731,0.0,1,0.4465792122101462,0.8811915110133057,0.05619151101330577,True
2026-06-06 11:49:51.571885+00:00,2026-06-06 11:49:51.552695+00:00,BTC,KXBTC15M-26JUN060800-00,2026-06-06 12:00:00+00:00,60874.0488,60803.66,0.1158,10.14,0.01,0.705,0.8167,0.1117,yes,trade,-0.5016,0.2877,0.7123,-1.0,0.007,1.0,0.5291,0.7024,1,0.2976,0.1734,0.003996,0.483,5.0,90.48,60.12,-0.1074,0.1448,0.0872,0.848,1,,-0.3639,,999.0,,0.525,,0.5854,-0.6215,-1,-2.0,44.53,,37.66,,,0,0.2774,0.0015228,-0.0013083,0.0002538,-0.1121,,,,0.5326,0.8636,0.0,1.0,-0.1341,66.07,11.0,1.0,0.3787,0.0303,30.31,1000.0,0.0,0.0,-30.31,60849.07,-0.041,0.0747,Sideways,Sideways,Bear,Bear,Bear,Bear,,0.3463,0.8421,-0.1555403637607283,-0.0405585264818443,0.3372,1.930384,0.3591,-0.5921,-0.001988,-0.002176,0.4598,0.0,612100.17,-63894899.542699814,0.9504521212812655,-124193694.18359996,,,,,,,,,,,,,,,,,,,,,,,,,0.23381956092243572,0.0,2,0.046763912184487146,0.7163407471587669,0.011340747158766984,False
2026-06-06 15:17:12.896211+00:00,2026-06-06 15:17:12.884147+00:00,BTC,KXBTC15M-26JUN061130-30,2026-06-06 15:30:00+00:00,60650.3175,60595.38,0.0907,12.79,0.01,0.615,0.6733,0.0583,yes,trade,-0.5096,0.4032,0.5285,-1.0,0.105,1.0,0.7539,0.2461,-1,0.0,0.2461,0.003431,1.4561,1.0,21.28,14.84,0.0019,0.0001,-0.1273,-0.2898,-1,,-0.3414,,0.1693,,0.3605,,0.016,-0.0041,-1,-2.0,65.71,-1.0,43.92,,,0,0.4043,-0.0012644,-0.0002728,-0.0007795,-0.0604,,,,-0.3022,0.5182,-2.0,-1.0,-0.0266,65.15,11.0,2.0,0.1513,0.0121,6.15,1000.0,1.0,1.0,3.85,60624.07,-0.0433,0.0473,Bull,Sideways,Bear,Bear,Bear,Bear,,0.1519,0.7611,-0.1112994833331454,-0.1278003242810111,0.3838,1.552216,0.4466,0.1091,-0.000136,0.000544,0.4582,0.0,34776.66,-63894899.542699814,0.9504521212812655,-124193694.18359996,,,,,,,,,,,,,,,,,,,,,,,,,0.15204630202168373,1.0,3,0.03040926040433675,0.6458170669822082,0.030817066982208208,False
2026-06-08 08:35:35.803014+00:00,2026-06-08 08:35:35.784492+00:00,BTC,KXBTC15M-26JUN080445-45,2026-06-08 08:45:00+00:00,63124.7688,63051.84,0.1157,9.41,0.01,0.715,0.8517,0.1367,yes,trade,-0.537,1.0,0.7574,1.0,0.237,1.0,0.5009,0.4136,-1,0.0855,0.4136,0.00343,0.9735,1.0,47.53,79.85,0.165,0.1249,0.1651,0.0306,1,,1.0557,,0.0281,,0.5089,,0.9827,0.541,1,3.0,70.95,0.0,61.45,,,0,0.7712,0.0004087,0.0027332,0.0012689,0.2214,,50.0,50.0,0.2694,0.9907,0.0,0.8286,0.1267,66.22,9.0,2.0,0.4795,0.0384,19.3,1000.0,1.0,1.0,7.69,63199.92,0.1191,0.2349,Bull,Sideways,Bear,Bear,Sideways,Bull,,0.4972,0.8401,-0.0696219891248567,-0.1449447278192747,0.2944,2.241071,0.3093,0.7966,0.002314,0.000167,0.7541,0.0,-201627.58,-97706635.57310008,0.933548250144524,-194974087.27750015,,,,,,,,,,,,,,,,,,,,,,,,,0.5426556579341943,1.0,4,0.10853113158683887,0.7470568450370287,0.03205684503702877,False
2026-06-08 09:16:00.476550+00:00,2026-06-08 09:16:00.459828+00:00,BTC,KXBTC15M-26JUN080530-30,2026-06-08 09:30:00+00:00,63271.1338,63253.96,0.0272,14.0,0.02,0.54,0.6386,0.0986,yes,trade,-0.1477,0.5,0.0,0.0,0.0,1.0,0.4539,0.4539,1,0.5461,0.0,0.003101,0.9929,0.0,67.51,77.68,0.0,0.0,0.1244,0.0696,1,,0.6465,,999.0,,0.3561,,0.4706,-0.2225,-1,-1.0,63.78,-1.0,60.42,,,0,0.6689,3.06e-05,0.0015867,0.0010668,0.1048,,,,0.2694,0.9907,0.0,1.0,0.1219,65.94,9.0,2.0,0.2144,0.0172,17.28,1000.0,1.0,1.0,14.72,63380.19,0.1724,0.1996,Bull,Sideways,Bear,Bear,Sideways,Bull,,0.4319,0.7765,-0.0838603728092307,-0.1633156068720871,0.4097,2.240235,0.3094,-0.7281,-0.001037,-0.003142,0.6052,0.0,-30430.95,-97706635.57310008,0.933548250144524,-194974087.27750015,,,,,,,,,,,,,,,,,,,,,,,,,0.4561582011475908,1.0,4,0.09123164022951817,0.5809543439572935,0.04095434395729347,True
2026-06-08 09:46:22.081311+00:00,2026-06-08 09:46:22.067761+00:00,BTC,KXBTC15M-26JUN080600-00,2026-06-08 10:00:00+00:00,63361.5563,63310.74,0.0803,13.64,0.01,0.695,0.7816,0.0866,yes,trade,-0.3201,0.6705,0.3295,-1.0,0.224,1.0,0.438,0.5113,-1,0.0507,0.5113,0.003115,1.1494,1.0,66.25,77.19,0.0,0.2255,0.0133,-0.0549,1,,0.6115,,999.0,,0.4921,,0.4706,-0.2225,-1,-1.0,63.78,,60.42,,,0,0.654,3.06e-05,0.0015867,0.001022,0.1008,,,,0.2694,0.9907,0.0,1.0,-0.0432,65.65,9.0,1.0,0.2839,0.0227,22.93,1000.0,1.0,1.0,10.06,63539.78,0.2813,0.3618,Bull,Bull,Bear,Bear,Sideways,Bull,,0.4683,0.8381,-0.0838603728092307,-0.1633156068720871,0.4097,2.240235,0.3094,-0.7281,-0.001037,-0.003142,0.7873,0.0,-164170.55,-97706635.57310008,0.933548250144524,-194974087.27750015,,,,,,,,,,,,,,,,,,,,,,,,,0.5750214947624518,1.0,4,0.11500429895249037,0.7044762856995175,0.009476285699517528,False
2026-06-08 10:01:32.265282+00:00,2026-06-08 10:01:32.248716+00:00,BTC,KXBTC15M-26JUN080615-15,2026-06-08 10:15:00+00:00,63482.6288,63452.43,0.0476,13.47,0.01,0.555,0.7354,0.1804,yes,trade,-0.2317,1.0,1.0,1.0,0.69,1.0,1.0,1.0,1,0.0,0.0,0.003117,1.0479,2.0,95.01,96.88,0.0765,0.1695,0.19,0.16,1,,1.0876,,999.0,,0.4058,,0.8374,0.5765,1,1.0,75.4,1.0,72.64,,,1,0.7731,0.0009222,0.0022865,0.0013247,0.235,,,,0.2694,0.9907,0.0,1.0,0.0623,65.59,9.0,1.0,0.4053,0.0324,32.19,1000.0,0.0,0.0,-32.19,63400.91,-0.1287,-0.0812,Bull,Bull,Bear,Bear,Sideways,Bull,,0.451,0.7765,-0.1049057941301949,-0.1727526256575938,0.4204,1.904948,0.3639,0.9076,0.0012,0.002099,0.7873,0.0,-164170.55,-97706635.57310008,0.933548250144524,-194974087.27750015,,,,,,,,,,,,,,,,,,,,,,,,,0.4370506483064463,0.0,4,0.08741012966128926,0.5980942429580114,0.04309424295801134,True
2026-06-08 11:17:26.058132+00:00,2026-06-08 11:17:26.041555+00:00,BTC,KXBTC15M-26JUN080730-30,2026-06-08 11:30:00+00:00,63370.5163,63351.33,0.0303,12.57,0.01,0.635,0.7594,0.1244,yes,trade,-0.1162,0.939,0.9206,1.0,0.175,1.0,0.7391,0.9704,1,0.0296,0.2313,0.00348,1.6156,2.0,87.68,76.89,-0.0959,0.0936,0.5752,0.2823,1,,0.5263,,999.0,,0.5327,,0.111,-0.5881,-1,-1.0,58.05,-1.0,63.35,,,-1,0.6265,0.0011477,0.0003744,0.0011151,0.0642,,,,0.2694,0.9907,0.0,0.9968,-0.0644,65.28,9.0,1.0,0.3408,0.0273,27.3,1000.0,1.0,1.0,15.69,63616.57,0.3883,0.4187,Bull,Bull,Bear,Bear,Sideways,Bull,,0.6665,0.7765,-0.1225330239539006,-0.1980867394704434,0.5355,1.819637,0.3809,-1.139,-0.00205,-0.003032,0.5515,0.0,-46245.43,-97706635.57310008,0.933548250144524,-194974087.27750015,,,,,,,,,,,,,,,,,,,,,,,,,0.9204485524460302,1.0,5,0.18408971048920605,0.6511410995316007,0.0161410995316007,False
2026-06-08 11:32:35.077824+00:00,2026-06-08 11:32:35.062877+00:00,BTC,KXBTC15M-26JUN080745-45,2026-06-08 11:45:00+00:00,63580.2962,63562.86,0.0274,12.42,0.01,0.525,0.7172,0.1922,yes,trade,-0.114,0.2807,0.2807,1.0,10.742,1.0,0.6012,0.8649,1,0.1351,0.2637,0.003573,1.2247,-1.0,87.99,89.33,-0.0516,-0.1106,0.2411,0.311,1,,0.5263,,999.0,,0.4949,,0.111,-0.5881,-1,-1.0,58.05,-1.0,63.35,,,-1,0.6265,0.0011477,0.0003744,0.0011151,0.0642,,,,0.2694,0.9907,0.0,0.6498,-0.1791,65.27,9.0,1.0,0.4045,0.0324,32.55,1000.0,1.0,1.0,29.45,63646.93,0.1048,0.1323,Bull,Bull,Bear,Bear,Sideways,Bull,,0.6805,0.7611,-0.1225330239539006,-0.1980867394704434,0.5355,1.819637,0.3809,-1.139,-0.00205,-0.003032,0.5515,0.0,-46245.43,-97706635.57310008,0.933548250144524,-194974087.27750015,,,,,,,,,,,,,,,,,,,,,,,,,1.0284491924437447,1.0,5,0.20568983848874894,0.6103067882205138,0.08530678822051374,True
