decision_time,contract_ticker,side,p_market,resolved_yes,bet_amount,would_pnl,src,effective_x,dir15,want,action,wait_pnl,delta,episode,offset_pct,tau_minutes,stoch_k,composite_trend,composite_rev,composite_p_up,vol_ratio,vol_60m,spread,z_score,ema_stack_bias,vpin_score,vol_score,kelly_fraction,bp_1h,chg_1h,p_up_v3,effective_y,p_sc,pv3_state,sc_strength,hour
2026-05-18 00:00:00+00:00,KXBTCD-26MAY1721-T76999.99,no,0.55,True,50.0,-50.0,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-18 00:00:00+00:00,0,-1,missed,0.0,50.0,1,0.0451,6.3,15.79,-4.0,10.0,0.4627,,0.00065106,0.02,0.3455,-1,1.0,-1,0.286411,,,,2026-05-18 00:00:00+00:00,0.5041291291291291,neutral,0.0041291291291291055,0
2026-05-18 01:00:00+00:00,KXBTCD-26MAY1722-T76999.99,yes,0.66,True,50.0,25.76,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-18 01:00:00+00:00,0,1,missed,0.0,-25.76,1,-0.1637,54.36,26.41,-4.0,4.0,0.4653,1.2693,0.00059885,0.02,-0.4788,-1,0.0,-1,0.179648,,,,2026-05-18 01:00:00+00:00,0.5041291291291291,neutral,0.0041291291291291055,1
2026-05-18 02:00:00+00:00,KXBTCD-26MAY1723-T76899.99,yes,0.72,False,50.0,-50.0,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-18 02:00:00+00:00,-1,1,missed,0.0,50.0,1,-0.1811,42.06,27.14,-5.0,4.0,0.4653,1.2252,0.00060259,0.01,-0.7487,-1,0.0,-1,0.179957,,,,2026-05-18 02:00:00+00:00,0.4597701149425287,neutral,0.040229885057471326,2
2026-05-18 05:00:00+00:00,KXBTCD-26MAY1802-T76899.99,yes,0.56,False,50.0,-50.0,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-18 05:00:00+00:00,-1,1,missed,0.0,50.0,2,-0.0231,42.0,40.08,-3.0,4.0,0.4653,1.361,0.00032043,0.02,-0.1213,-1,0.0,1,0.103801,,,,2026-05-18 05:00:00+00:00,0.4470899470899471,neutral,0.05291005291005291,5
2026-05-18 06:00:00+00:00,KXBTCD-26MAY1803-T76799.99,yes,0.51,True,50.0,48.04,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-18 06:00:00+00:00,0,1,missed,0.0,-48.04,2,-0.0067,45.97,51.74,-5.0,4.0,0.4653,1.7689,0.00049621,0.02,-0.0239,-1,0.0,0,0.136278,,,,2026-05-18 06:00:00+00:00,0.4853999153618282,neutral,0.014600084638171806,6
2026-05-18 07:00:00+00:00,KXBTCD-26MAY1804-T76899.99,yes,0.51,True,50.0,48.04,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-18 07:00:00+00:00,-1,1,missed,0.0,-48.04,2,-0.0107,44.89,68.58,-3.0,4.0,0.4653,0.4774,0.00036094,0.01,-0.0334,0,0.0,0,0.134376,,,,2026-05-18 07:00:00+00:00,0.4491279069767442,neutral,0.05087209302325579,7
2026-05-18 08:00:00+00:00,KXBTCD-26MAY1805-T77099.99,yes,0.51,False,50.0,-50.0,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-18 08:00:00+00:00,-1,1,missed,0.0,50.0,2,-0.0026,52.59,98.75,-2.0,-4.0,0.4803,1.9914,0.00049002,0.02,-0.0113,0,0.0,0,0.110472,,,,2026-05-18 08:00:00+00:00,0.4417791104447776,neutral,0.05822088955522242,8
2026-05-18 13:00:00+00:00,KXBTCD-26MAY1810-T77299.99,yes,0.7,False,50.0,-50.0,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-18 13:00:00+00:00,-1,1,missed,0.0,50.0,3,-0.2332,54.94,73.38,0.0,-2.0,0.4748,0.8209,0.00063791,0.03,-0.6641,0,-1.0,0,0.149778,,,,2026-05-18 13:00:00+00:00,0.4606126914660831,neutral,0.03938730853391692,13
2026-05-18 14:00:00+00:00,KXBTCD-26MAY1811-T76799.99,no,0.39,False,50.0,31.97,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-18 14:00:00+00:00,1,-1,missed,0.0,-31.97,3,0.1952,45.05,2.41,-4.0,7.0,0.4396,0.9399,0.00111086,0.01,0.3932,-1,0.0,0,0.113465,,,,2026-05-18 14:00:00+00:00,0.5600873998543335,neutral,0.060087399854333534,14
2026-05-18 15:00:00+00:00,KXBTCD-26MAY1812-T76299.99,no,0.33,True,50.0,-50.0,paper_trades_archive_20260525_1432_pre_branched_drift.csv,2026-05-18 15:00:00+00:00,1,-1,missed,0.0,50.0,3,0.273,55.9,0.0,-4.0,10.0,0.4627,0.9986,0.00093864,0.02,0.5213,-1,0.0,0,0.148902,,,,2026-05-18 15:00:00+00:00,0.6037151702786377,neutral,0.10371517027863775,15
