ticker,side,era,win,agree_now,neutral_now,cost_now,cost_15,cost_wait,waited_min,week
KXBTCD-26JUL0100-T58299.99,yes,post,1.0,False,False,0.995,0.995,,,2026-06-29/2026-07-05
KXBTCD-26JUL0100-T58299.99,no,post,0.0,True,False,0.0050000000000000044,0.0050000000000000044,,,2026-06-29/2026-07-05
KXBTCD-26JUL0100-T58399.99,yes,post,1.0,False,False,0.975,0.985,,,2026-06-29/2026-07-05
KXBTCD-26JUL0100-T58399.99,no,post,0.0,True,False,0.025000000000000022,0.015000000000000013,,,2026-06-29/2026-07-05
KXBTCD-26JUL0100-T58499.99,yes,post,1.0,False,False,0.965,0.985,,,2026-06-29/2026-07-05
KXBTCD-26JUL0100-T58499.99,no,post,0.0,True,False,0.03500000000000003,0.015000000000000013,,,2026-06-29/2026-07-05
KXBTCD-26JUL0100-T58599.99,yes,post,1.0,False,False,0.935,0.945,,,2026-06-29/2026-07-05
KXBTCD-26JUL0100-T58599.99,no,post,0.0,True,False,0.06499999999999995,0.05500000000000005,,,2026-06-29/2026-07-05
KXBTCD-26JUL0100-T58699.99,yes,post,1.0,False,False,0.875,0.895,,,2026-06-29/2026-07-05
KXBTCD-26JUL0100-T58699.99,no,post,0.0,True,False,0.125,0.10499999999999998,,,2026-06-29/2026-07-05
KXBTCD-26JUL0100-T58799.99,yes,post,1.0,False,False,0.785,0.755,,,2026-06-29/2026-07-05
KXBTCD-26JUL0100-T58799.99,no,post,0.0,True,False,0.21499999999999997,0.245,,,2026-06-29/2026-07-05
KXBTCD-26JUL0100-T58899.99,yes,post,1.0,False,False,0.645,0.545,,,2026-06-29/2026-07-05
KXBTCD-26JUL0100-T58899.99,no,post,0.0,True,False,0.355,0.45499999999999996,,,2026-06-29/2026-07-05
KXBTCD-26JUL0100-T58999.99,yes,post,1.0,False,False,0.475,0.315,,,2026-06-29/2026-07-05
KXBTCD-26JUL0100-T58999.99,no,post,0.0,True,False,0.525,0.685,,,2026-06-29/2026-07-05
KXBTCD-26JUL0100-T59099.99,yes,post,1.0,False,False,0.315,0.145,,,2026-06-29/2026-07-05
KXBTCD-26JUL0100-T59099.99,no,post,0.0,True,False,0.685,0.855,,,2026-06-29/2026-07-05
KXBTCD-26JUL0100-T59199.99,yes,post,0.0,False,False,0.185,0.065,,,2026-06-29/2026-07-05
KXBTCD-26JUL0100-T59199.99,no,post,1.0,True,False,0.815,0.935,,,2026-06-29/2026-07-05
KXBTCD-26JUL0100-T59299.99,yes,post,0.0,False,False,0.105,0.035,,,2026-06-29/2026-07-05
KXBTCD-26JUL0100-T59299.99,no,post,1.0,True,False,0.895,0.965,,,2026-06-29/2026-07-05
KXBTCD-26JUL0100-T59399.99,yes,post,0.0,False,False,0.06,0.025,,,2026-06-29/2026-07-05
KXBTCD-26JUL0100-T59399.99,no,post,1.0,True,False,0.94,0.975,,,2026-06-29/2026-07-05
KXBTCD-26JUL0100-T59499.99,yes,post,0.0,False,False,0.03,,,,2026-06-29/2026-07-05
KXBTCD-26JUL0100-T59499.99,no,post,1.0,True,False,0.97,,,,2026-06-29/2026-07-05
KXBTCD-26JUL0101-T58399.99,yes,post,1.0,False,False,0.985,,,,2026-06-29/2026-07-05
KXBTCD-26JUL0101-T58399.99,no,post,0.0,True,False,0.015000000000000013,,,,2026-06-29/2026-07-05
KXBTCD-26JUL0101-T58499.99,yes,post,1.0,False,False,0.965,0.985,,,2026-06-29/2026-07-05
KXBTCD-26JUL0101-T58499.99,no,post,0.0,True,False,0.03500000000000003,0.015000000000000013,,,2026-06-29/2026-07-05
KXBTCD-26JUL0101-T58599.99,yes,post,1.0,False,False,0.925,0.975,,,2026-06-29/2026-07-05
KXBTCD-26JUL0101-T58599.99,no,post,0.0,True,False,0.07499999999999996,0.025000000000000022,,,2026-06-29/2026-07-05
KXBTCD-26JUL0101-T58699.99,yes,post,1.0,False,False,0.915,0.955,,,2026-06-29/2026-07-05
KXBTCD-26JUL0101-T58699.99,no,post,0.0,True,False,0.08499999999999996,0.04500000000000004,,,2026-06-29/2026-07-05
KXBTCD-26JUL0101-T58799.99,yes,post,1.0,False,False,0.785,0.915,,,2026-06-29/2026-07-05
KXBTCD-26JUL0101-T58799.99,no,post,0.0,True,False,0.21499999999999997,0.08499999999999996,,,2026-06-29/2026-07-05
KXBTCD-26JUL0101-T58899.99,yes,post,1.0,False,False,0.655,0.795,,,2026-06-29/2026-07-05
KXBTCD-26JUL0101-T58899.99,no,post,0.0,True,False,0.345,0.20499999999999996,,,2026-06-29/2026-07-05
KXBTCD-26JUL0101-T58999.99,yes,post,1.0,False,False,0.505,0.605,,,2026-06-29/2026-07-05
KXBTCD-26JUL0101-T58999.99,no,post,0.0,True,False,0.495,0.395,,,2026-06-29/2026-07-05
KXBTCD-26JUL0101-T59099.99,yes,post,1.0,False,False,0.355,0.365,,,2026-06-29/2026-07-05
KXBTCD-26JUL0101-T59099.99,no,post,0.0,True,False,0.645,0.635,,,2026-06-29/2026-07-05
KXBTCD-26JUL0101-T59199.99,yes,post,1.0,False,False,0.235,0.175,,,2026-06-29/2026-07-05
KXBTCD-26JUL0101-T59199.99,no,post,0.0,True,False,0.765,0.825,,,2026-06-29/2026-07-05
KXBTCD-26JUL0101-T59299.99,yes,post,0.0,False,False,0.145,0.085,,,2026-06-29/2026-07-05
KXBTCD-26JUL0101-T59299.99,no,post,1.0,True,False,0.855,0.915,,,2026-06-29/2026-07-05
KXBTCD-26JUL0101-T59399.99,yes,post,0.0,False,False,0.085,0.035,,,2026-06-29/2026-07-05
KXBTCD-26JUL0101-T59399.99,no,post,1.0,True,False,0.915,0.965,,,2026-06-29/2026-07-05
KXBTCD-26JUL0101-T59499.99,yes,post,0.0,False,False,0.045,0.025,,,2026-06-29/2026-07-05
KXBTCD-26JUL0101-T59499.99,no,post,1.0,True,False,0.955,0.975,,,2026-06-29/2026-07-05
KXBTCD-26JUL0101-T59599.99,yes,post,0.0,False,False,0.025,0.015,,,2026-06-29/2026-07-05
KXBTCD-26JUL0101-T59599.99,no,post,1.0,True,False,0.975,0.985,,,2026-06-29/2026-07-05
KXBTCD-26JUL0102-T58499.99,yes,post,1.0,True,False,0.995,0.995,,,2026-06-29/2026-07-05
KXBTCD-26JUL0102-T58499.99,no,post,0.0,False,False,0.0050000000000000044,0.0050000000000000044,,,2026-06-29/2026-07-05
KXBTCD-26JUL0102-T58599.99,yes,post,1.0,False,False,0.995,0.995,0.995,19.466666666666665,2026-06-29/2026-07-05
KXBTCD-26JUL0102-T58599.99,no,post,0.0,True,False,0.0050000000000000044,0.0050000000000000044,,,2026-06-29/2026-07-05
KXBTCD-26JUL0102-T58699.99,yes,post,1.0,False,False,0.985,0.985,0.985,30.116666666666667,2026-06-29/2026-07-05
KXBTCD-26JUL0102-T58699.99,no,post,0.0,True,False,0.015000000000000013,0.015000000000000013,,,2026-06-29/2026-07-05
KXBTCD-26JUL0102-T58799.99,yes,post,1.0,False,False,0.965,0.985,0.965,30.116666666666667,2026-06-29/2026-07-05
KXBTCD-26JUL0102-T58799.99,no,post,0.0,True,False,0.03500000000000003,0.015000000000000013,,,2026-06-29/2026-07-05
KXBTCD-26JUL0102-T58899.99,yes,post,1.0,False,False,0.925,0.975,0.895,30.116666666666667,2026-06-29/2026-07-05
KXBTCD-26JUL0102-T58899.99,no,post,0.0,True,False,0.07499999999999996,0.025000000000000022,,,2026-06-29/2026-07-05
