feature,n_weeks,ic_mean,ic_t,ic_2021,ic_2022,ic_2023,ic_2024,ic_2025,ic_2026
dist_30d_high,288,-0.12496199868101421,-30.168130024492587,-0.12128165380355728,-0.12984173924760184,-0.12582144475346746,-0.11722814623092237,-0.1324902180387728,-0.12111403311957732
dist_30d_low,288,-0.12233303464078957,-29.58599524466357,-0.1141963697241625,-0.12773636565250882,-0.12115293135732837,-0.11679137369359263,-0.13157340752649138,-0.12240434353365026
donch_pos_20d,288,-0.11840462437344189,-27.24787289015148,-0.11947248286249106,-0.11747463953939072,-0.12088740535341945,-0.10744095736837632,-0.12524393869324663,-0.12104732749548007
eth_ret_4h,288,-0.07077424211554471,-17.359876620187507,-0.09369191111113465,-0.07396964796115792,-0.08145491648988012,-0.06927583278557205,-0.031590815389111515,-0.0797136473915274
ret_last15,288,-0.0816592006747736,-16.428373844888974,-0.07873799489527807,-0.07600105227478407,-0.08555519187085411,-0.0750597706610118,-0.10265350903029408,-0.062177974489961235
ada_ret_4h,288,-0.0571817689511607,-13.56566743074456,-0.07162786608356025,-0.05681285484360514,-0.06877278088650922,-0.06471689382481195,-0.029009823002239914,-0.04853512094867653
doge_ret_4h,288,-0.05395974011536328,-13.003024928544255,-0.06281001548899273,-0.05629587348528039,-0.069446923920084,-0.05185296579299328,-0.030758547010495022,-0.05218895073800626
sol_ret_4h,288,-0.05333643034118132,-12.93138711751429,-0.0634360809892265,-0.053929396212850485,-0.06467337954052257,-0.05357634699316975,-0.022388183260128477,-0.07119731967457073
eth_ret_1h,288,-0.05316751537360328,-11.916219242202681,-0.030317332164309867,-0.07635849621899014,-0.08349708610657759,-0.06585324043752434,-0.015327958515886881,-0.04394453963077175
wknd_x_ret24h,287,-0.04747826704921604,-11.90149060134605,-0.06507915050541935,-0.043846688858460006,-0.05001579861698387,-0.04291988296825933,-0.054358042990973986,-0.011613571324238047
alt_basket_ret_1h,288,-0.04616063093040132,-10.29921762228525,-0.022814227166431115,-0.06364159756128916,-0.07523420462269198,-0.057243574779984936,-0.012804857406640906,-0.04559469817122071
maxdd_60m,288,-0.04508089014836645,-10.208501237321013,-0.045016018510604834,-0.04908242395420606,-0.05549229293892204,-0.042217623099917403,-0.04069838777787136,-0.031564709937501406
wknd_x_ret1h,287,-0.045310319974261166,-9.909777922675255,-0.016229705105251808,-0.06786579416170177,-0.047442050136125825,-0.04049304196512885,-0.05830028283002989,-0.036473548021473866
ada_ret_1h,288,-0.040517776813197286,-8.909926915787919,-0.02702509633419784,-0.060425655213904854,-0.05537660151517072,-0.05372052312382052,-0.01356314804536361,-0.027029011632135672
doge_ret_1h,288,-0.0377967571808908,-8.824646812298859,-0.01801077469600866,-0.05094819309043046,-0.057791358666810164,-0.03720544787180264,-0.017621416422598585,-0.052808545659115885
sol_ret_1h,288,-0.03879446668575845,-8.713450325035776,-0.020431390271439382,-0.049237760919328334,-0.06670402824178262,-0.05003629178814632,-0.006862319126593366,-0.0413263329004726
asia_x_ret1h,288,-0.03859080870523779,-8.609416734393738,-0.017316121956997166,-0.06941320845184171,-0.0512778388981867,-0.04511842787657727,-0.02674812260290754,-0.006443383541001359
tbr_24h,288,-0.03419121430466086,-8.103179892866027,-0.03988654092183301,-0.02212409211167867,-0.035659654474270046,-0.03803730890208961,-0.055658059930158627,0.005911202587755213
