K_yes,K_no,variant,n,n_no,wr,pnl,pnl_per_bet
0.5,0.3,Kno=0.6K,829,577,0.2870928829915561,-7966.882611189214,-9.610232341603394
0.5,0.5,Kno=K,822,570,0.28832116788321166,-7504.8003070336,-9.129927380819465
1.0,0.6,Kno=0.6K,844,563,0.283175355450237,-9301.796885385416,-11.021086357091725
1.0,1.0,Kno=K,838,554,0.2852028639618138,-9415.41315842597,-11.235576561367507
1.5,0.9,Kno=0.6K,877,557,0.2896237172177879,-9629.777687520915,-10.980362243467406
1.5,1.5,Kno=K,884,565,0.3042986425339366,-7266.831810240716,-8.220397975385424
2.0,1.2,Kno=0.6K,968,548,0.31921487603305787,-5883.844440823421,-6.078351695065518
2.0,2.0,Kno=K,1002,582,0.3323353293413174,-7335.42132239817,-7.320779762872425
3.0,1.8,Kno=0.6K,1191,561,0.35432409739714527,-7373.824168637462,-6.191288134876123
3.0,3.0,Kno=K,1268,638,0.3635646687697161,-9751.250274029115,-7.69026046847722
