config,week,n,auc
pm_only,2026-05-28/2026-06-03,68,0.5113636363636365
pm_only,2026-06-04/2026-06-10,118,0.5192418981481483
pm_only,2026-06-11/2026-06-17,107,0.5865112994350282
pm_only,2026-06-25/2026-07-01,133,0.6117141564902759
C_only,2026-05-28/2026-06-03,68,0.4871541501976284
C_only,2026-06-04/2026-06-10,118,0.5889756944444444
C_only,2026-06-11/2026-06-17,107,0.5406073446327684
C_only,2026-06-25/2026-07-01,133,0.5576662143826323
A_score,2026-05-28/2026-06-03,68,0.657114624505929
A_score,2026-06-04/2026-06-10,118,0.4752604166666667
A_score,2026-06-11/2026-06-17,107,0.43714689265536727
A_score,2026-06-25/2026-07-01,133,0.431026684758028
A+D,2026-05-28/2026-06-03,68,0.5731225296442688
A+D,2026-06-04/2026-06-10,118,0.5460069444444444
A+D,2026-06-11/2026-06-17,107,0.5344279661016949
A+D,2026-06-25/2026-07-01,133,0.4890321121664405
C+D,2026-05-28/2026-06-03,68,0.4851778656126482
C+D,2026-06-04/2026-06-10,118,0.5992476851851851
C+D,2026-06-11/2026-06-17,107,0.581744350282486
C+D,2026-06-25/2026-07-01,133,0.5866123925825418
A+C,2026-05-28/2026-06-03,68,0.5301383399209486
A+C,2026-06-04/2026-06-10,118,0.60546875
A+C,2026-06-11/2026-06-17,107,0.547316384180791
A+C,2026-06-25/2026-07-01,133,0.5119855269109
A+C+D,2026-05-28/2026-06-03,68,0.5113636363636365
A+C+D,2026-06-04/2026-06-10,118,0.6076388888888888
A+C+D,2026-06-11/2026-06-17,107,0.591454802259887
A+C+D,2026-06-25/2026-07-01,133,0.536182722749887
