feature,n,ic_vs_resid,p,n_weeks,wk_ic_mean,pct_weeks_pos
cg_futures_ratio_4h,501,0.13221128415969868,0.0030275915465711825,6,0.10463379556952136,0.8333333333333334
cg_futures_delta_4h,502,0.1275296092806234,0.004210867183194509,6,0.0982375308107813,0.8333333333333334
cg_futures_cvd_12h,501,0.10406453138304156,0.019817260195591296,6,0.040224926300129214,0.5
cvd_4h,491,0.06151269003678556,0.17356268057542842,6,0.022172032876688414,0.5
stoch_k,679,-0.05941654257233947,0.12191913866296107,7,-0.09604621729304215,0.14285714285714285
ls_long_pct,677,0.05767641169066012,0.13382943644403633,7,0.04890536742862187,0.7142857142857143
liq_bias,677,0.05365394140547079,0.16317915102398967,7,-0.008237425086698778,0.5714285714285714
rsi_4h,679,-0.04524419620276259,0.23904099835669174,7,-0.11186903510434447,0.14285714285714285
chg_4h_atr,679,0.04140070862775089,0.2813558696828015,7,-0.03657671623131509,0.42857142857142855
liq_score,677,0.036318313107952936,0.3454051029450077,7,-0.0002792106357435986,0.5714285714285714
macd_hist_1h,679,0.032864370654276095,0.3925397048408047,7,-0.05075000438058079,0.42857142857142855
ema_stack_bias,679,-0.027595528636206047,0.4728276719057505,6,-0.05641354843302717,0.16666666666666666
composite_trend,679,-0.027117487894293787,0.48053321678470085,7,-0.07280724800123997,0.14285714285714285
avg_funding_rate,466,-0.02574843857390508,0.5792835628249235,5,-0.00526171437407936,0.4
ema_stretch_score,679,0.020405666979750003,0.5955581739177398,7,0.06433277288489424,0.7142857142857143
AB_model_wf,679,-0.019090010122188094,0.6194929434640369,7,0.07347175980351399,0.7142857142857143
composite_rev,679,0.017188949801950314,0.6547948907886976,7,0.07975080613925255,0.8571428571428571
stoch_k_4h,679,-0.0163592944552827,0.6704522065471796,7,-0.060229960220953095,0.2857142857142857
funding_bias,679,-0.016298507384989676,0.6716051245377699,4,0.008456672219258289,0.5
oi_chg_pct,677,-0.014185042965637405,0.7125598684207433,7,0.00504714540582739,0.42857142857142855
ema50_dist,679,-0.013808768935239591,0.7194619943007291,7,-0.09306183116172102,0.14285714285714285
ABE_model_wf,679,-0.01152263844979062,0.7643988549242879,7,0.04687845028939427,0.42857142857142855
vwap_distance_pct,679,-0.010562766181022646,0.7835150994532564,7,-0.09124739365852996,0.2857142857142857
A_model_wf,679,-0.009215167620942216,0.8105720832474109,7,0.0532471068904169,0.7142857142857143
bb_pct,679,0.008857287094213727,0.8177971493377476,7,-0.03579345126639945,0.42857142857142855
vwap_stretch_score,655,-0.008817040361128457,0.821802225984479,6,0.03855148203272639,0.6666666666666666
rsi_14,679,0.0055136459211885085,0.8859672468447157,7,-0.1084312803289296,0.2857142857142857
rvol_1h,679,0.0034705845425188225,0.9280735754506833,7,0.010884102778628255,0.5714285714285714
