hour,1970,2024,2025,2026,n_per_year
0,,0.46174863387978143,0.4697802197802198,0.5879120879120879,228.0
1,0.0,0.5163934426229508,0.510989010989011,0.5300546448087432,228.5
2,,0.5300546448087432,0.5247252747252747,0.4098360655737705,228.25
3,,0.5163934426229508,0.46703296703296704,0.5355191256830601,228.25
4,,0.48633879781420764,0.5371900826446281,0.4644808743169399,228.0
5,,0.5,0.4793388429752066,0.46994535519125685,228.0
6,,0.5327868852459017,0.5013774104683195,0.48633879781420764,228.0
7,,0.4918032786885246,0.5041322314049587,0.5245901639344263,228.0
8,,0.5163934426229508,0.5013774104683195,0.5136612021857924,228.0
9,,0.5081967213114754,0.5426997245179064,0.4808743169398907,228.0
10,,0.5,0.4931129476584022,0.44808743169398907,228.0
11,,0.5792349726775956,0.5206611570247934,0.5027322404371585,228.0
12,,0.5437158469945356,0.5068870523415978,0.5409836065573771,228.0
13,,0.4890710382513661,0.4835164835164835,0.4098360655737705,228.25
14,,0.4890710382513661,0.510989010989011,0.4644808743169399,228.25
15,,0.5136612021857924,0.5,0.5355191256830601,228.25
16,,0.5218579234972678,0.4725274725274725,0.45901639344262296,228.25
17,,0.5983606557377049,0.5521978021978022,0.5027322404371585,228.25
18,,0.5,0.5027472527472527,0.48633879781420764,228.25
19,,0.5218579234972678,0.5027472527472527,0.5792349726775956,228.25
20,,0.4808743169398907,0.5164835164835165,0.5355191256830601,228.25
21,,0.5710382513661202,0.5192307692307693,0.4808743169398907,228.25
22,,0.5300546448087432,0.5714285714285714,0.46153846153846156,228.0
23,,0.46174863387978143,0.45879120879120877,0.46703296703296704,228.0
