logged_at,decision_time,asset,contract_ticker,close_time,spot,floor_strike,offset_pct,tau_minutes,spread,p_market,p_model_15m,raw_edge,side,decision,z_score,bp_5m,body_5m,dir_5m,vol_ratio,vol_ratio_5m,body_15m,bp_15m,dir_15m,upper_wick_15m,lower_wick_15m,atr_ratio_15m,range_ratio_15m,consec_dir_15m,stoch_k_5m,stoch_k_15m,chg_1m,chg_5m,chg_15m,vwap_dist,ema_bias,ema_bias_1h,ema20_dist_1h,ema50_dist_1h,nearest_res_dist_pct,composite_p_up,realized_vol_annual,vol_ratio_1h,bp_1h,chg_1h,dir_1h,consec_dir_1h,stoch_k_1h,stoch_cross_1h,rsi_1h,macd_hist_1h,donchian_breakout_1h,engulfing_1h,bb_pct_1h,mu6h,mu12h,mu24h,regime_z,arima_forecast_1h,stoch_k_4h,rsi_4h,chg_4h,bp_4h,liq_score,liq_bias,oi_chg_pct,ls_long_pct,fear_greed,cg_composite,kelly_fraction,bet_fraction,bet_amount,bankroll,resolved_yes,would_win,would_pnl,spot_at_expiry,price_move_pct,miss_pct,markov_regime_1h,markov_regime_15m,markov_eth_daily,markov_sol_6h,markov_sol_4h,markov_sol_1h,p_up_v2_btc,z_drift_6h,p_gbdt,autocorr1_15,autocorr1_30,hurst_exponent,ou_theta,ou_halflife,ou_mu_distance,kalman_velocity,kalman_residual,kc_pct_1h,kc_bo_1h,cvd_4h,cg_futures_delta_4h,cg_futures_ratio_4h,cg_futures_cvd_12h,vwap_hmm_state,p_up_v3,v3_agree,logged_at_parsed,p_w15,agree,week
2026-05-25 22:05:39.816198+00:00,2026-05-25T22:05:39.804647+00:00,BTC,KXBTC15M-26MAY251815-15,2026-05-25 22:15:00+00:00,77300.8837,77303.69,-0.0036,9.34,0.01,0.435,0.2282,0.2068,no,trade,,0.1046,,,0.009,1.0,0.3688,0.6312,-1,0.0,0.6312,0.001137,1.0728,-2.0,44.28,21.01,0.0,-0.0096,-0.0014,0.0003,-1,,,,0.1924,,0.1539,,0.6312,0.0639,1,1.0,15.81,0.0,49.07,,,0,,,,,,,,,,,-1.0,-0.9688,0.0776,50.15,29.0,0.0,0.4753,0.03,29.94,1000.0,1.0,False,-29.94,77425.03,0.1606,0.157,Sideways,Bear,Bear,Sideways,Sideways,Sideways,,,,-0.1845339238504798,-0.1188153052078059,0.6245,3.273452,0.2117,0.1802,0.000917,0.000432,0.3417,0.0,-201449.46,-161938280.4562999,0.8181108583368903,-144847631.3778999,,,,2026-05-25 22:05:39.816198+00:00,0.48631000266440505,True,22
2026-05-25 22:20:49.523333+00:00,2026-05-25T22:20:49.511538+00:00,BTC,KXBTC15M-26MAY251830-30,2026-05-25 22:30:00+00:00,77281.6338,77344.25,-0.081,9.18,0.01,0.165,0.0864,0.0786,no,trade,,0.275,,,0.004,1.0,0.3229,0.9128,1,0.0872,0.5899,0.001219,1.3909,-1.0,36.57,32.21,0.0164,-0.1084,-0.0752,0.0451,-1,,,,0.1766,,0.2014,,0.6312,0.0639,1,1.0,15.81,0.0,49.07,,,0,,,,,,,,,,,-1.0,-1.0,0.0999,50.2,29.0,0.0,0.4764,0.03,30.06,1000.0,0.0,True,5.94,77165.18,-0.1507,-0.2315,Sideways,Sideways,Bear,Sideways,Sideways,Sideways,,1.77,,-0.1845339238504798,-0.1188153052078059,0.6245,3.273452,0.2117,0.1802,0.000917,0.000432,0.3417,0.0,-201449.46,-161938280.4562999,0.8181108583368903,-144847631.3778999,,,,2026-05-25 22:20:49.523333+00:00,0.48631000266440505,True,22
2026-05-25 22:46:08.552368+00:00,2026-05-25T22:46:08.549454+00:00,BTC,KXBTC15M-26MAY251900-00,2026-05-25 23:00:00+00:00,77133.1987,77109.96,0.0301,13.86,0.01,0.615,0.4542,0.1608,no,trade,,0.0083,,,4.922,1.0,0.5534,0.4466,-1,0.0,0.4466,0.001382,2.24,1.0,42.73,36.25,0.0757,0.0356,0.0647,-0.0815,-1,,,,0.3388,0.59,0.3477,,0.6312,0.0639,1,1.0,15.81,,49.07,,,0,,,,,,,,,,,-1.0,-1.0,-0.0176,50.21,29.0,0.0,0.2615,0.03,30.03,1000.0,0.0,True,47.97,77134.14,0.0012,0.0314,Sideways,Bear,Bear,Sideways,Sideways,Sideways,0.4377,1.0403,,-0.1845339238504798,-0.1188153052078059,0.6245,3.273452,0.2117,0.1802,0.000917,0.000432,0.1296,0.0,-200687.24,-161938280.4562999,0.8181108583368903,-144847631.3778999,,,,2026-05-25 22:46:08.552368+00:00,0.5150574367845181,False,22
2026-05-25 23:01:20.012746+00:00,2026-05-25T23:01:20.007766+00:00,BTC,KXBTC15M-26MAY251915-15,2026-05-25 23:15:00+00:00,77082.2125,77066.94,0.0198,13.67,0.01,0.585,0.4409,0.1441,no,trade,,0.0,,,0.985,1.0,0.6058,0.0,-1,0.3942,0.0,0.001449,1.1605,1.0,31.52,27.05,0.0094,-0.0513,-0.0561,-0.1185,-1,,,,0.3944,0.59,0.2847,,0.199,-0.3305,-1,-1.0,9.32,0.0,41.25,,,-1,,,,,,,,,,,-1.0,-1.0,0.0461,50.03,29.0,0.0,0.2462,0.03,29.88,1000.0,1.0,False,-29.88,77330.69,0.3224,0.3422,Sideways,Bear,Bear,Sideways,Sideways,Sideways,0.4838,0.8926,,-0.1883847692954102,-0.1176897270630893,0.8212,3.480151,0.1992,-1.1215,-0.000893,-0.000569,0.1296,0.0,-200687.24,-161938280.4562999,0.8181108583368903,-144847631.3778999,,,,2026-05-25 23:01:20.012746+00:00,0.5156573774455656,False,22
2026-05-25 23:16:30.686022+00:00,2026-05-25T23:16:30.681580+00:00,BTC,KXBTC15M-26MAY251930-30,2026-05-25 23:30:00+00:00,77228.7637,77206.87,0.0284,13.49,0.01,0.645,0.3851,0.2599,no,trade,,1.0,,,1.712,1.0,0.9898,0.9898,1,0.0102,0.0,0.001494,1.6902,2.0,72.63,62.33,0.0575,0.1308,0.2099,0.1662,1,,,,0.1915,0.499,0.2676,,0.199,-0.3305,-1,-1.0,9.32,0.0,41.25,,,-1,,,,,,,,,,,1.0,1.0,-0.0191,50.05,29.0,0.0,0.4029,0.03,30.17,1000.0,1.0,False,-30.17,77291.89,0.0817,0.1101,Sideways,Bear,Bear,Sideways,Sideways,Sideways,0.4999,1.0581,,-0.1883847692954102,-0.1176897270630893,0.8212,3.480151,0.1992,-1.1215,-0.000893,-0.000569,0.1296,0.0,-200687.24,-161938280.4562999,0.8181108583368903,-144847631.3778999,,,,2026-05-25 23:16:30.686022+00:00,0.48631000266440505,True,22
2026-05-25 23:31:42.590845+00:00,2026-05-25T23:31:42.587241+00:00,BTC,KXBTC15M-26MAY251945-45,2026-05-25 23:45:00+00:00,77221.1662,77207.58,0.0176,13.29,0.01,0.605,0.3917,0.2133,no,trade,,1.0,,,0.018,1.0,0.9042,0.0958,-1,0.0,0.0958,0.00144,0.4022,3.0,74.75,53.71,0.0022,0.0022,0.0037,0.1252,1,,,,0.2416,0.499,0.1153,,0.199,-0.3305,-1,-1.0,9.32,0.0,41.25,,,-1,,,,,,,,,,,1.0,1.0,0.0108,50.08,29.0,0.0,0.3526,0.03,30.02,1000.0,1.0,False,-30.02,77347.56,0.1637,0.1813,Sideways,Bear,Bear,Sideways,Sideways,Sideways,0.4982,1.0075,,-0.1883847692954102,-0.1176897270630893,0.8212,3.480151,0.1992,-1.1215,-0.000893,-0.000569,0.1296,0.0,-200687.24,-161938280.4562999,0.8181108583368903,-144847631.3778999,,,,2026-05-25 23:31:42.590845+00:00,0.48631000266440505,True,22
2026-05-25 23:56:58.913436+00:00,2026-05-25T23:56:58.911047+00:00,BTC,KXBTC15M-26MAY252000-00,2026-05-26 00:00:00+00:00,77274.3688,77267.81,0.0085,3.02,0.01,0.665,0.302,0.363,no,trade,,0.4861,,,0.041,1.0,1.0,1.0,1,0.0,0.0,0.00144,0.623,-1.0,95.14,71.78,0.0,0.0151,-0.0072,0.1851,1,,,,0.1855,0.499,0.0945,,0.199,-0.3305,-1,-1.0,9.32,,41.25,,,-1,,,,,,,,,,,1.0,1.0,-0.0001,50.29,29.0,0.0,0.5458,0.03,30.15,1000.0,0.0,True,59.85,77347.56,0.0947,0.1032,Sideways,Sideways,Bear,Sideways,Sideways,Sideways,0.6255,1.1889,,-0.1883847692954102,-0.1176897270630893,0.8212,3.480151,0.1992,-1.1215,-0.000893,-0.000569,0.4489,0.0,-198626.45,-275518281.9261,0.8430314797127346,-493100069.5509999,,,,2026-05-25 23:56:58.913436+00:00,0.48631000266440505,True,22
2026-05-26 00:32:30.795616+00:00,2026-05-26T00:32:30.792680+00:00,BTC,KXBTC15M-26MAY252045-45,2026-05-26 00:45:00+00:00,77092.4413,77080.03,0.0161,12.49,0.01,0.515,0.4566,0.0584,no,trade,,0.8072,,,0.261,1.0,0.5695,0.4305,-1,0.0,0.4305,0.001382,1.2497,1.0,32.26,32.69,0.0601,0.0136,-0.067,-0.0461,-1,,,,999.0,0.6045,0.2716,,1.0,0.3302,1,1.0,36.05,1.0,42.71,,,0,,,,,,,,,,,-1.0,-0.9997,0.1456,50.13,33.0,0.0,0.1133,0.03,30.07,1000.0,0.0,True,31.93,76883.12,-0.2715,-0.2555,Sideways,Bear,Bear,Sideways,Sideways,Sideways,0.5332,1.5649,,-0.2158239640442026,-0.1261886044974339,0.5898,2.806462,0.247,1.0138,0.001853,0.000871,0.4489,0.0,-198626.45,-275518281.9261,0.8430314797127346,-493100069.5509999,,,,2026-05-26 00:32:30.795616+00:00,0.5150574367845181,False,22
2026-05-26 00:47:40.442916+00:00,2026-05-26T00:47:40.439468+00:00,BTC,KXBTC15M-26MAY252100-00,2026-05-26 01:00:00+00:00,76792.1537,76781.28,0.0142,12.33,0.01,0.535,0.4411,0.0939,no,trade,,0.0,,,30.015,1.0,0.8565,0.0,-1,0.1435,0.0,0.001614,2.6013,1.0,8.25,6.95,0.0742,0.0358,-0.3443,-0.1138,-1,,,,999.0,0.6045,0.3185,,1.0,0.3302,1,1.0,36.05,,42.71,,,0,,,,,,,,,,,-1.0,-0.9998,-0.0954,50.16,33.0,0.0,0.1755,0.03,30.22,1000.0,0.0,True,34.77,76794.36,0.0029,0.017,Sideways,Bear,Bear,Sideways,Sideways,Sideways,0.5332,1.384,,-0.2158239640442026,-0.1261886044974339,0.5898,2.806462,0.247,1.0138,0.001853,0.000871,0.0116,0.0,194879.98,-275518281.9261,0.8430314797127346,-493100069.5509999,,,,2026-05-26 00:47:40.442916+00:00,0.5118137383764974,False,22
2026-05-26 01:47:37.618535+00:00,2026-05-26T01:47:37.615637+00:00,BTC,KXBTC15M-26MAY252200-00,2026-05-26 02:00:00+00:00,76659.1387,76569.86,0.1166,12.38,0.01,0.865,0.2495,0.6155,no,trade,,0.0,,,0.446,1.0,0.9461,0.0,-1,0.0539,0.0,0.002138,1.1099,1.0,37.34,19.55,0.0,0.1027,-0.04,-0.159,-1,,,,0.1667,0.6582,0.3661,,0.3311,-0.6785,-1,-1.0,19.79,,34.16,,,-1,,,,,,,,,,,-1.0,-0.8883,-0.0478,50.89,33.0,0.0,0.7115,0.03,29.97,1000.0,1.0,False,-29.97,76701.32,0.055,0.1717,Sideways,Bear,Bear,Sideways,Sideways,Sideways,0.381,1.4518,,-0.2558111485411135,-0.1361615890369371,0.7032,2.151863,0.3221,-2.3912,-0.002889,-0.001647,0.0534,0.0,149762.32,-275518281.9261,0.8430314797127346,-493100069.5509999,,,,2026-05-26 01:47:37.618535+00:00,0.5118137383764974,False,22
2026-05-26 02:48:17.786782+00:00,2026-05-26T02:48:17.783716+00:00,BTC,KXBTC15M-26MAY252300-00,2026-05-26 03:00:00+00:00,76553.6688,76529.41,0.0317,11.71,0.01,0.575,0.5017,0.0733,no,trade,,0.0644,,,1.932,1.0,0.5477,0.0644,-1,0.3879,0.0644,0.002017,0.5356,-2.0,35.57,13.0,0.1425,-0.0081,-0.0672,-0.1127,-1,,,,0.2317,0.6582,0.3775,,0.5357,-0.0587,-1,-2.0,14.19,,35.89,,,0,,,,,,,,,,,-1.0,-1.0,-0.0136,51.46,33.0,0.0,0.1275,0.03,30.18,1000.0,1.0,False,-30.18,76617.63,0.0836,0.1153,Bear,Bear,Bear,Sideways,Sideways,Bear,0.3918,1.2828,,-0.2054665916484075,-0.1562785643698683,0.7315,2.410414,0.2876,-0.2293,0.000386,0.001154,-0.0055,-1.0,43734.84,-275518281.9261,0.8430314797127346,-493100069.5509999,,,,2026-05-26 02:48:17.786782+00:00,0.5097004558855137,False,22
