feature,split,n_rescued,wr_rescued,edge_rescued,pnl_rescued,n_weeks,worst_wk_share,edge_remainder,n_remainder,pnl_remainder
avg_funding_rate,>=-7.321e-05(q0.1),129,0.3643410852713178,-0.19984496124031015,-1935.44,8,28.390510273338677,-0.292,15,-298.46
avg_funding_rate,<-7.321e-05(q0.1),15,0.26666666666666666,-0.292,-298.46,1,100.0,-0.19984496124031015,129,-1935.44
avg_funding_rate,>=-4.797e-05(q0.2),115,0.3739130434782609,-0.1796521739130434,-1648.23,8,33.30960467655629,-0.3275862068965516,29,-585.6700000000001
avg_funding_rate,<-4.797e-05(q0.2),29,0.27586206896551724,-0.3275862068965516,-585.6700000000001,2,74.38830740860894,-0.1796521739130434,115,-1648.23
avg_funding_rate,>=-4.091e-05(q0.3),101,0.37623762376237624,-0.17732673267326737,-1375.3799999999999,8,39.28349629544042,-0.2848837209302326,43,-858.52
avg_funding_rate,<-4.091e-05(q0.3),43,0.3023255813953488,-0.2848837209302326,-858.52,3,81.5775986581559,-0.17732673267326737,101,-1375.3799999999999
avg_funding_rate,>=-2.657e-05(q0.4),86,0.3953488372093023,-0.15918604651162788,-1058.53,8,43.26313522421882,-0.28396551724137936,58,-1175.3700000000001
avg_funding_rate,<-2.657e-05(q0.4),58,0.29310344827586204,-0.28396551724137936,-1175.3700000000001,3,63.996018275096354,-0.15918604651162788,86,-1058.53
avg_funding_rate,>=-2.13e-05(q0.5),72,0.3888888888888889,-0.16701388888888896,-891.8399999999999,8,32.40202387821224,-0.25187499999999996,72,-1342.06
avg_funding_rate,<-2.13e-05(q0.5),72,0.3194444444444444,-0.25187499999999996,-1342.06,4,55.68752514790696,-0.16701388888888896,72,-891.8399999999999
avg_funding_rate,>=-1.272e-05(q0.6),58,0.3793103448275862,-0.1687068965517241,-678.7900000000002,8,28.589488368037898,-0.23691860465116293,86,-1555.1100000000004
avg_funding_rate,<-1.272e-05(q0.6),86,0.3372093023255814,-0.23691860465116293,-1555.1100000000004,4,47.387644603918694,-0.1687068965517241,58,-678.7900000000002
avg_funding_rate,>=-3.607e-06(q0.7),43,0.3953488372093023,-0.16093023255813949,-444.37,8,43.35897040350839,-0.23009900990099003,101,-1789.5300000000002
avg_funding_rate,<-3.607e-06(q0.7),101,0.33663366336633666,-0.23009900990099003,-1789.5300000000002,5,44.53292205215895,-0.16093023255813949,43,-444.37
avg_funding_rate,>=1.809e-05(q0.8),29,0.3793103448275862,-0.20362068965517244,-357.65000000000003,6,50.31325917401867,-0.210913043478261,115,-1876.25
avg_funding_rate,<1.809e-05(q0.8),115,0.34782608695652173,-0.210913043478261,-1876.25,5,43.15629580279814,-0.20362068965517244,29,-357.65000000000003
avg_funding_rate,>=4.298e-05(q0.9),15,0.3333333333333333,-0.26833333333333337,-175.98,5,52.11368331832388,-0.20259689922480612,129,-2057.92
avg_funding_rate,<4.298e-05(q0.9),129,0.35658914728682173,-0.20259689922480612,-2057.92,6,38.7634116000622,-0.26833333333333337,15,-175.98
bearish_rejection,==False,62,0.3548387096774194,-0.2401612903225805,-1119.9199999999996,6,48.89225374561682,-0.1862195121951219,82,-1113.9799999999998
bearish_rejection,==False,82,0.35365853658536583,-0.1862195121951219,-1113.9799999999998,3,51.1373633278874,-0.2401612903225805,62,-1119.9199999999996
bullish_rejection,==False,61,0.36065573770491804,-0.23377049180327863,-1072.04,6,51.0569241011984,-0.19156626506024088,83,-1161.86
bullish_rejection,==False,82,0.35365853658536583,-0.1862195121951219,-1113.9799999999998,3,51.1373633278874,-0.2401612903225805,62,-1119.9199999999996
chg_10m,>=-0.2048(q0.1),91,0.37362637362637363,-0.19543956043956034,-1280.3400000000001,7,38.1208615689984,-0.21850000000000003,10,-173.35
chg_10m,<-0.2048(q0.1),10,0.2,-0.21850000000000003,-173.35,3,69.50677819440439,-0.19543956043956034,91,-1280.3400000000001
chg_10m,>=-0.1243(q0.2),81,0.38271604938271603,-0.18709876543209875,-1106.66,7,42.773751649106316,-0.24074999999999996,20,-347.03000000000003
chg_10m,<-0.1243(q0.2),20,0.25,-0.24074999999999996,-347.03000000000003,4,51.33311676953447,-0.18709876543209875,81,-1106.66
chg_10m,>=-0.0976(q0.3),70,0.38571428571428573,-0.1899285714285714,-1005.28,7,52.05713830972466,-0.21532258064516124,31,-448.41
chg_10m,<-0.0976(q0.3),31,0.2903225806451613,-0.21532258064516124,-448.41,6,63.30551558752998,-0.1899285714285714,70,-1005.28
chg_10m,>=-0.0403(q0.4),62,0.4032258064516129,-0.16161290322580646,-843.5100000000001,7,52.56961980296617,-0.2551282051282051,39,-610.18
chg_10m,<-0.0403(q0.4),39,0.28205128205128205,-0.2551282051282051,-610.18,7,54.87080531853952,-0.16161290322580646,62,-843.5100000000001
chg_10m,>=-0.003(q0.5),51,0.4117647058823529,-0.18333333333333335,-662.45,6,46.85334742244699,-0.21239999999999998,50,-791.2399999999999
chg_10m,<-0.003(q0.5),50,0.3,-0.21239999999999998,-791.2399999999999,7,44.88394126006631,-0.18333333333333335,51,-662.45
chg_10m,>=0.0179(q0.6),40,0.4,-0.17962499999999992,-563.5799999999999,5,68.107455906881,-0.20959016393442603,61,-890.11
chg_10m,<0.0179(q0.6),61,0.32786885245901637,-0.20959016393442603,-890.11,7,48.83225375555249,-0.17962499999999992,40,-563.5799999999999
chg_10m,>=0.0647(q0.7),31,0.3870967741935484,-0.2091935483870968,-474.18000000000006,5,65.93065924332532,-0.19264285714285723,70,-979.5100000000001
chg_10m,<0.0647(q0.7),70,0.34285714285714286,-0.19264285714285723,-979.5100000000001,7,46.36621573203443,-0.2091935483870968,31,-474.18000000000006
chg_10m,>=0.1466(q0.8),21,0.42857142857142855,-0.18476190476190496,-338.96000000000004,5,67.28227519471325,-0.201125,80,-1114.73
chg_10m,<0.1466(q0.8),80,0.3375,-0.201125,-1114.73,7,46.024882480370565,-0.18476190476190496,21,-338.96000000000004
chg_10m,>=0.2149(q0.9),11,0.45454545454545453,-0.2181818181818182,-221.95,4,68.2467007810396,-0.1952222222222223,90,-1231.7400000000002
chg_10m,<0.2149(q0.9),90,0.34444444444444444,-0.1952222222222223,-1231.7400000000002,7,46.317312137435316,-0.2181818181818182,11,-221.95
chg_30m,>=-0.4033(q0.1),100,0.36,-0.20650000000000002,-1543.0,8,45.16872799268198,-0.1836363636363637,11,-153.92000000000002
chg_30m,<-0.4033(q0.1),11,0.2727272727272727,-0.1836363636363637,-153.92000000000002,3,49.89604989604989,-0.20650000000000002,100,-1543.0
chg_30m,>=-0.2807(q0.2),89,0.34831460674157305,-0.22179775280898878,-1421.9499999999998,8,47.624969434449994,-0.13318181818181823,22,-274.96999999999997
chg_30m,<-0.2807(q0.2),22,0.36363636363636365,-0.13318181818181823,-274.96999999999997,5,37.86094162941694,-0.22179775280898878,89,-1421.9499999999998
chg_30m,>=-0.1222(q0.3),77,0.35064935064935066,-0.23564935064935055,-1205.08,8,45.602233054475995,-0.13308823529411767,34,-491.84000000000003
chg_30m,<-0.1222(q0.3),34,0.35294117647058826,-0.13308823529411767,-491.84000000000003,6,46.60081014980128,-0.23564935064935055,77,-1205.08
chg_30m,>=-0.0604(q0.4),67,0.373134328358209,-0.22470149253731336,-1003.2400000000001,8,45.365579080423444,-0.17306818181818162,44,-693.6800000000001
chg_30m,<-0.0604(q0.4),44,0.3181818181818182,-0.17306818181818162,-693.6800000000001,7,46.653337010479866,-0.22470149253731336,67,-1003.2400000000001
chg_30m,>=-0.0135(q0.5),56,0.35714285714285715,-0.24312499999999987,-918.11,8,49.61497403795331,-0.16463636363636347,55,-778.81
chg_30m,<-0.0135(q0.5),55,0.34545454545454546,-0.16463636363636347,-778.81,8,36.94310298903288,-0.24312499999999987,56,-918.11
chg_30m,>=0.0279(q0.6),44,0.38636363636363635,-0.2322727272727273,-760.35,7,51.61416859530067,-0.18582089552238806,67,-936.57
chg_30m,<0.0279(q0.6),67,0.3283582089552239,-0.18582089552238806,-936.57,8,39.84969097651422,-0.2322727272727273,44,-760.35
chg_30m,>=0.0675(q0.7),34,0.38235294117647056,-0.21073529411764702,-583.2099999999999,6,46.49553949740381,-0.2013636363636364,77,-1113.71
chg_30m,<0.0675(q0.7),77,0.33766233766233766,-0.2013636363636364,-1113.71,8,40.548274480627256,-0.21073529411764702,34,-583.2099999999999
chg_30m,>=0.1766(q0.8),23,0.391304347826087,-0.1930434782608696,-468.18,5,43.60299625468164,-0.20715909090909096,88,-1228.74
chg_30m,<0.1766(q0.8),88,0.3409090909090909,-0.20715909090909096,-1228.74,8,42.21381918184942,-0.1930434782608696,23,-468.18
chg_30m,>=0.2748(q0.9),12,0.4166666666666667,-0.1720833333333333,-239.43999999999997,3,51.66572557876905,-0.20813131313131317,99,-1457.4800000000002
chg_30m,<0.2748(q0.9),99,0.3434343434343434,-0.20813131313131317,-1457.4800000000002,8,46.50209969458988,-0.1720833333333333,12,-239.43999999999997
chg_5m,>=-0.1181(q0.1),91,0.3626373626373626,-0.19384615384615383,-1284.06,7,35.9725078471696,-0.23299999999999993,10,-169.63
chg_5m,<-0.1181(q0.1),10,0.3,-0.23299999999999993,-169.63,2,71.59111006307846,-0.19384615384615383,91,-1284.06
chg_5m,>=-0.0754(q0.2),81,0.35802469135802467,-0.20530864197530857,-1254.78,7,37.08140072363283,-0.16700000000000015,20,-198.91
chg_5m,<-0.0754(q0.2),20,0.35,-0.16700000000000015,-198.91,6,58.19027540742228,-0.20530864197530857,81,-1254.78
chg_5m,>=-0.0452(q0.3),70,0.4,-0.17128571428571415,-974.48,7,47.747516624250885,-0.2574193548387097,31,-479.21
chg_5m,<-0.0452(q0.3),31,0.25806451612903225,-0.2574193548387097,-479.21,7,63.085823769183094,-0.17128571428571415,70,-974.48
chg_5m,>=-0.0149(q0.4),61,0.4262295081967213,-0.1527049180327868,-769.4900000000001,7,42.25396041534003,-0.26637500000000003,40,-684.2
chg_5m,<-0.0149(q0.4),40,0.25,-0.26637500000000003,-684.2,7,50.13155039600738,-0.1527049180327868,61,-769.4900000000001
