logged_at,decision_time,contract_ticker,close_ts,spot,strike,offset_pct,p_market,p_market_source,p_yes_model,z_score,vol_60m,vol_60m_model,vol_implied_kalshi,vol_ratio,spread,vol_eff,structure_bias,confirmation_bias,confirmation_score,no_score,obi_score,obi_raw,obi_exchanges,vpin_score,vpin_raw,funding_bias,avg_funding_rate,vol_score,vwap_score,vwap_signal,vwap_total,vwap_stretch_score,vwap_distance_pct,bearish_rejection,bullish_rejection,ema_stretch_score,stoch_bias,stoch_k,stoch_d,stoch_crossover_active,ema_stack_bias,ema_alignment,z_shift,direction_strength,raw_edge,net_edge,decision,side,neutral_gate,pure_edge_gate,contracts_scanned,tau_minutes,gate_blocked,kelly_fraction,bet_fraction,bet_amount,bankroll,composite_trend,composite_rev,composite_p_up,chg_30m,chg_10m,chg_5m,sharp_move_active,stoch_flipped,resolved_yes,would_win,would_pnl,logged_at_parsed,asset,cmf_raw,cmf_score,p_up_v2,bp_5m,body_15m,dir_15m,p_gbdt,smc_4h,smc_1h,choch_1h,choch_4h,supply_pct,demand_pct,in_supply_zone,in_demand_zone,squeeze_1h,adx_1h,rvol_1h,pm_drift_5m,hour_utc,liq_score,liq_bias,ls_long_pct,oi_chg_pct,markov_regime_daily,ob_imbalance,ob_path_ask_usd,ob_path_bid_usd,ob_ask_frac,ob_bid_wall_pct,ob_ask_wall_pct,spot_at_expiry,price_move_pct,miss_pct,stoch_k_4h,bp_1h,chg_1h,chg_2h,chg_3h,arima_forecast_1h,markov_regime_7state,hmm_vol_state,hmm_r1_prob,hmm_vol_k10,hmm_time_in_state,ou_z_score,ou_halflife_min,ou_tau_drift,hs_pattern_type,hs_bars_since_break,hs_r2,hs_neck_slope,hs_head_height,hs_head_width,flag_signal,flag_bull_bars_ago,flag_bear_bars_ago,flag_bull_tip_y,flag_bear_tip_y,flag_bull_pole_pct,flag_bear_pole_pct,pip_last_slope,pip_up_frac,pip_n_turns,v_hawk,hawk_vol_regime,pc1_rsi,ou_theta,hurst_exponent,autocorr1_15,autocorr1_30,kalman_velocity,kalman_residual,hmm_ms_state,hmm_ms_prob,hmm_of_state,hmm_of_prob,hmm_vd_state,hmm_vd_prob,hmm_pnl_state,hmm_ps_state,hmm_gd_state,hmm_zdrift_state,loss_margin_pct,loss_category,kc_pct_1h,kc_bo_1h,cvd_4h,cg_futures_delta_4h,cg_futures_ratio_4h,cg_futures_cvd_12h,cg_spot_cb_ratio_4h,cg_liq_ratio_4h,cg_liq_total_4h,hl_ls_ratio,hl_squeeze_idx,hl_liq_ratio_4h,all_liq_ratio_1h,all_liq_ratio_4h,max_pain_nearest,max_pain_dist_pct,opt_pc_ratio,p_up_v3,state3,week,yw,be,macro_bull,macro_sideways,macro_bear,garch_ratio,macd_hist_1h_recon,donch_1h_recon,hmm_ms_state_recon,hmm_vd_state_recon,hmm_of_state_recon
2026-04-10 01:22:34,2026-04-10 01:00,KXBTCD-26APR0922-T71899.99,2026-04-10T02:00:00Z,71714.3,71899.99,0.2589,0.255,real,0.296481,0.5345,0.00072624,0.00089065,0.0006419,1.3875,0.01,0.00079115,0.0,1.0,2,0.0,0,-0.0042,2.0,0.0,0.5313,0,4.667e-05,0,-1.0,1,2.0,2.0,-0.3106,False,False,1.0,1.0,5.56,16.62,False,0,neutral,0.0,0.0,0.162516,0.134218,trade,yes,False,False,106.0,37.39,,0.218142,0.05,50.0,1000.0,-1.0,4.0,0.6279,,,,,,True,True,146.08,2026-04-10 01:22:34+00:00,BTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rising,15,2026-W15,0.255,0.0008761507412766,0.0001008506587897,0.9990229985999208,0.7620381932928332,12.489091121397507,0.6354386943353569,1,1,
2026-04-10 02:02:50,2026-04-10 02:00,KXBTCD-26APR0923-T71999.99,2026-04-10T03:00:00Z,72197.33,71999.99,-0.2733,0.73,real,0.755312,-0.6913,0.0007493,0.00047914,0.00059097,0.8108,0.02,0.00052387,1.0,-1.0,0,0.0,0,0.0423,2.0,0.0,0.5385,0,4.313e-05,0,0.0,0,0.0,0.0,0.125,False,False,-1.0,0.0,69.57,58.45,False,1,bullish,0.0,0.0,0.055449,0.026652,trade,yes,False,False,108.0,57.12,,0.205366,0.05,50.0,1000.0,1.0,0.0,0.5396,,,,,,False,False,-50.0,2026-04-10 02:02:50+00:00,BTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rising,15,2026-W15,0.73,0.0012101474983196,0.0001039190611504,0.9986859334405204,0.8478079920064728,-2.3342898368092904,0.5491328360405612,1,1,
2026-04-10 02:08:09,2026-04-10 02:00,KXBTCD-26APR0923-T72299.99,2026-04-10T03:00:00Z,72229.24,72299.99,0.098,0.41,real,0.397351,0.2602,0.00074752,0.00047273,0.00059779,0.7908,0.02,0.00052275,1.0,-1.0,0,0.0,0,-0.0352,2.0,0.0,0.6719,0,4.263e-05,0,0.0,0,0.0,0.0,0.1582,False,False,-1.0,0.0,72.82,59.53,False,1,bullish,0.0,0.0,0.153523,0.12159,trade,yes,False,False,107.0,51.81,,0.260209,0.05,50.0,1000.0,3.0,0.0,0.6628,,,,,,False,False,-50.0,2026-04-10 02:08:09+00:00,BTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rising,15,2026-W15,0.41,0.0012101474983196,0.0001039190611504,0.9986859334405204,0.8478079920064728,-2.3342898368092904,0.5491328360405612,1,1,
2026-04-10 02:09:12,2026-04-10 02:00,KXBTCD-26APR0923-T72199.99,2026-04-10T03:00:00Z,72225.13,72199.99,-0.0348,0.56,real,0.546357,-0.1165,0.00074717,0.00048353,0.00032368,1.4938,0.02,0.00041959,1.0,-1.0,0,0.0,0,0.0493,2.0,0.0,0.619,0,4.263e-05,0,0.0,0,-1.0,-1.0,0.2054,False,False,-1.0,0.0,76.98,60.92,False,1,bullish,0.0,0.0,0.144221,0.111973,trade,yes,False,False,108.0,50.75,,0.327775,0.05,50.0,1000.0,3.0,0.0,0.6628,,,,,,False,False,-50.0,2026-04-10 02:09:12+00:00,BTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rising,15,2026-W15,0.56,0.0012101474983196,0.0001039190611504,0.9986859334405204,0.8478079920064728,-2.3342898368092904,0.5491328360405612,1,1,
2026-04-10 03:06:56,2026-04-10 03:00,KXBTCD-26APR1000-T71999.99,2026-04-10T04:00:00Z,71922.9,71999.99,0.1072,0.385,real,0.374927,0.3188,0.00042128,0.00043363,0.00050323,0.8617,0.01,0.00046147,1.0,-1.0,0,0.0,0,0.0712,2.0,0.0,0.615,0,3.372e-05,0,0.0,0,1.0,1.0,-0.2566,False,False,1.0,0.0,34.39,49.56,False,0,bullish,0.0,0.0,0.041682,0.010107,trade,yes,False,False,106.0,53.02,,0.067775,0.033887,33.89,1000.0,0.0,1.0,0.5533,,,,,,False,False,-33.89,2026-04-10 03:06:56+00:00,BTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rising,15,2026-W15,0.385,0.0012517763411953,9.86643566309528e-05,0.9986495593021596,0.8320142881522343,-21.473083593785873,0.5020526882470026,1,1,
2026-04-10 03:11:10,2026-04-10 03:00,KXBTCD-26APR1000-T72099.99,2026-04-10T04:00:00Z,71903.69,72099.99,0.273,0.195,real,0.204619,0.8252,0.00041067,0.00048563,0.0004541,1.0694,0.01,0.00047302,1.0,-1.0,0,0.0,0,0.0808,2.0,0.0,0.5972,0,3.399e-05,0,0.0,0,1.0,1.0,-0.2354,False,False,1.0,0.0,35.85,50.05,False,0,bullish,0.0,0.0,0.04971,0.023722,trade,yes,False,False,105.0,48.78,,0.061751,0.030876,30.88,1000.0,0.0,1.0,0.5533,,,,,,False,False,-30.88,2026-04-10 03:11:10+00:00,BTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rising,15,2026-W15,0.195,0.0012517763411953,9.86643566309528e-05,0.9986495593021596,0.8320142881522343,-21.473083593785873,0.5020526882470026,1,1,
2026-04-10 06:40:49,2026-04-10 06:00,KXBTCD-26APR1003-T71899.99,2026-04-10T07:00:00Z,71975.38,71899.99,-0.1047,0.72,real,0.793769,-0.8196,0.00032025,0.00021307,0.00041086,0.5186,0.02,0.00029218,1.0,-1.0,0,1.0,-1,-0.2954,2.0,0.0,0.5454,0,-1.629e-05,0,0.0,0,0.0,0.0,-0.1401,False,False,1.0,0.0,25.88,42.29,False,0,bullish,0.0,0.0,0.067277,0.038165,trade,yes,False,False,108.0,19.15,,0.240273,0.05,50.0,1000.0,-1.0,0.0,0.491,,,,,,False,False,-50.0,2026-04-10 06:40:49+00:00,BTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rising,15,2026-W15,0.72,0.0010261978309445,0.0001059099103271,0.9988678922587332,0.7652183812905003,-37.04479037226696,0.4886288817109376,1,3,
2026-04-10 07:05:18,2026-04-10 07:00,KXBTCD-26APR1004-T71699.99,2026-04-10T08:00:00Z,71793.07,71699.99,-0.1297,0.665,real,0.684798,-0.4812,0.00036107,0.00033338,0.00041185,0.8095,0.01,0.00036477,1.0,0.0,1,1.0,-1,-0.1516,2.0,0.0,0.4809,0,-1.387e-05,0,0.0,0,1.0,1.0,-0.308,False,False,1.0,1.0,0.0,6.0,False,0,neutral,0.0,0.0,0.052029,0.021434,trade,yes,False,False,111.0,54.64,,0.155309,0.05,50.0,1000.0,-1.0,6.0,0.537,,,,,,False,False,-50.0,2026-04-10 07:05:18+00:00,BTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rising,15,2026-W15,0.665,0.00075754656511,0.0001117793223847,0.9991306741125028,0.8181497949945484,-72.02474752347962,0.3491041758650361,1,3,
2026-04-10 07:13:47,2026-04-10 07:00,KXBTCD-26APR1004-T71599.99,2026-04-10T08:00:00Z,71729.76,71599.99,-0.1809,0.75,real,0.790992,-0.8099,0.00032919,0.00028502,0.00039509,0.7214,0.02,0.00032905,1.0,1.0,2,1.0,-1,-0.1436,2.0,0.0,0.5231,0,-1.296e-05,0,-1.0,1,2.0,2.0,-0.4057,False,False,1.0,1.0,0.0,6.0,False,0,neutral,0.0,0.0,0.074591,0.046466,trade,yes,False,False,108.0,46.17,,0.298363,0.05,50.0,1000.0,-1.0,8.0,0.549,,,,,,False,False,-50.0,2026-04-10 07:13:47+00:00,BTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rising,15,2026-W15,0.75,0.00075754656511,0.0001117793223847,0.9991306741125028,0.8181497949945484,-72.02474752347962,0.3491041758650361,1,3,
2026-04-10 08:00:21,2026-04-10 08:00,KXBTCD-26APR1005-T71499.99,2026-04-10T09:00:00Z,71503.86,71499.99,-0.0054,0.505,real,0.505639,-0.0141,0.00031887,0.00045408,0.00055989,0.811,0.07,0.00049641,1.0,1.0,2,1.0,-1,-0.108,2.0,0.0,0.6151,0,-3.65e-06,0,-1.0,1,2.0,2.0,-0.793,False,False,1.0,1.0,0.0,2.81,False,-1,neutral,0.0,0.0,0.049592,0.017094,trade,yes,False,False,83.0,59.6,,0.100186,0.05,50.0,1000.0,-1.0,10.0,0.549,,,,,,True,True,49.01,2026-04-10 08:00:21+00:00,BTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rising,15,2026-W15,0.505,0.0009024824783914,0.0001058008136147,0.9989917167079798,0.903488104084794,-86.49664128753773,0.3825242643242782,1,3,
