logged_at,logged_at_parsed,contract_ticker,side,would_win,would_pnl,p_up_v3_backfill,v3_agree_backfill
2026-05-25 22:05:39.816198+00:00,2026-05-25 22:05:39.816198+00:00,KXBTC15M-26MAY251815-15,no,0.0,-29.94,0.5130440473963208,0
2026-05-25 22:20:49.523333+00:00,2026-05-25 22:20:49.523333+00:00,KXBTC15M-26MAY251830-30,no,1.0,5.94,0.5130440473963208,0
2026-05-25 22:46:08.552368+00:00,2026-05-25 22:46:08.552368+00:00,KXBTC15M-26MAY251900-00,no,1.0,47.97,0.5130440473963208,0
2026-05-25 23:01:20.012746+00:00,2026-05-25 23:01:20.012746+00:00,KXBTC15M-26MAY251915-15,no,0.0,-29.88,0.5264846021889853,0
2026-05-25 23:16:30.686022+00:00,2026-05-25 23:16:30.686022+00:00,KXBTC15M-26MAY251930-30,no,0.0,-30.17,0.5264846021889853,0
2026-05-25 23:31:42.590845+00:00,2026-05-25 23:31:42.590845+00:00,KXBTC15M-26MAY251945-45,no,0.0,-30.02,0.5264846021889853,0
2026-05-25 23:56:58.913436+00:00,2026-05-25 23:56:58.913436+00:00,KXBTC15M-26MAY252000-00,no,1.0,59.85,0.5264846021889853,0
2026-05-26 00:32:30.795616+00:00,2026-05-26 00:32:30.795616+00:00,KXBTC15M-26MAY252045-45,no,1.0,31.93,0.49402471645984924,1
2026-05-26 00:47:40.442916+00:00,2026-05-26 00:47:40.442916+00:00,KXBTC15M-26MAY252100-00,no,1.0,34.77,0.49402471645984924,1
2026-05-26 01:47:37.618535+00:00,2026-05-26 01:47:37.618535+00:00,KXBTC15M-26MAY252200-00,no,0.0,-29.97,0.5273202839145786,0
2026-05-26 02:48:17.786782+00:00,2026-05-26 02:48:17.786782+00:00,KXBTC15M-26MAY252300-00,no,0.0,-30.18,0.505115655794006,0
2026-05-26 03:18:37.339637+00:00,2026-05-26 03:18:37.339637+00:00,KXBTC15M-26MAY252330-30,no,1.0,50.0,0.5211164066880276,0
2026-05-26 03:33:20.089119+00:00,2026-05-26 03:33:20.089119+00:00,KXBTC15M-26MAY252345-45,no,0.0,-30.02,0.5211164066880276,0
2026-05-26 03:54:25.509840+00:00,2026-05-26 03:54:25.509840+00:00,KXBTC15M-26MAY260000-00,no,0.0,-29.93,0.5211164066880276,0
2026-05-26 04:25:04.581299+00:00,2026-05-26 04:25:04.581299+00:00,KXBTC15M-26MAY260030-30,no,0.0,-30.17,0.5490316432925961,0
2026-05-26 04:35:11.807750+00:00,2026-05-26 04:35:11.807750+00:00,KXBTC15M-26MAY260045-45,no,0.0,-30.0,0.5490316432925961,0
2026-05-26 04:48:14.682546+00:00,2026-05-26 04:48:14.682546+00:00,KXBTC15M-26MAY260100-00,no,1.0,35.97,0.5490316432925961,0
2026-05-26 05:08:25.909242+00:00,2026-05-26 05:08:25.909242+00:00,KXBTC15M-26MAY260115-15,no,0.0,-30.08,0.5272103590336564,0
2026-05-26 05:18:31.487908+00:00,2026-05-26 05:18:31.487908+00:00,KXBTC15M-26MAY260130-30,no,0.0,-29.9,0.5272103590336564,0
2026-05-26 05:33:39.467772+00:00,2026-05-26 05:33:39.467772+00:00,KXBTC15M-26MAY260145-45,no,0.0,-30.1,0.5272103590336564,0
2026-05-26 06:34:15.640998+00:00,2026-05-26 06:34:15.640998+00:00,KXBTC15M-26MAY260245-45,no,0.0,-29.9,0.49838651845964216,1
2026-05-26 07:24:46.081174+00:00,2026-05-26 07:24:46.081174+00:00,KXBTC15M-26MAY260330-30,no,0.0,-29.81,0.5135750838842328,0
2026-05-26 07:50:02.143633+00:00,2026-05-26 07:50:02.143633+00:00,KXBTC15M-26MAY260400-00,no,0.0,-30.08,0.5135750838842328,0
2026-05-26 08:10:13.899218+00:00,2026-05-26 08:10:13.899218+00:00,KXBTC15M-26MAY260415-15,no,0.0,-30.0,0.5196260908386495,0
2026-05-26 08:40:32.832929+00:00,2026-05-26 08:40:32.832929+00:00,KXBTC15M-26MAY260445-45,no,0.0,-29.87,0.5196260908386495,0
2026-05-26 09:31:02.551881+00:00,2026-05-26 09:31:02.551881+00:00,KXBTC15M-26MAY260545-45,no,1.0,59.85,0.5435284440548219,0
2026-05-26 09:46:12.255126+00:00,2026-05-26 09:46:12.255126+00:00,KXBTC15M-26MAY260600-00,no,1.0,30.81,0.5435284440548219,0
2026-05-26 10:16:31.380752+00:00,2026-05-26 10:16:31.380752+00:00,KXBTC15M-26MAY260630-30,no,0.0,-29.92,0.5541603396648148,0
2026-05-26 11:17:17.629412+00:00,2026-05-26 11:17:17.629412+00:00,KXBTC15M-26MAY260730-30,no,1.0,38.99,0.5150059026818781,0
2026-05-26 11:32:25.618166+00:00,2026-05-26 11:32:25.618166+00:00,KXBTC15M-26MAY260745-45,no,1.0,59.85,0.5150059026818781,0
2026-05-26 11:47:35.348627+00:00,2026-05-26 11:47:35.348627+00:00,KXBTC15M-26MAY260800-00,no,1.0,45.98,0.5150059026818781,0
2026-05-26 12:02:44.654611+00:00,2026-05-26 12:02:44.654611+00:00,KXBTC15M-26MAY260815-15,no,1.0,68.11,0.5027610554693349,0
