feature,split,n,eps,edge,ep_edge,P_neg,wk_pos,n_wk,streak_leak,pnl
r_chg_1h,>= 0.02704,280,124,0.007660714285714278,0.010783228858646953,0.37325,0.5714285714285714,7,4,-823.0999999999999
r_chg_1h,>= 0.1707,226,99,0.021526548672566363,0.038564784090909084,0.13475,0.5714285714285714,7,4,-398.86
r_chg_1h,>= 0.3211,168,77,0.01416666666666666,0.030624718344155838,0.23625,0.5,6,2,-319.2
r_chg_1h,>= 0.5353,112,50,0.006517857142857135,0.032153956666666664,0.28425,0.8333333333333334,6,2,-262.31
x_garch,>= 0.9641,280,111,0.00564285714285713,-0.01628164517642643,0.67775,0.5,6,0,-324.8700000000001
x_garch,>= 0.9995,225,89,0.006622222222222223,0.013985470505617971,0.361,0.6666666666666666,6,0,-117.68000000000006
x_garch,>= 1.328,112,45,0.008169642857142846,0.00983736898148147,0.436,0.6666666666666666,3,0,-158.05999999999997
spread,>= 0.05,143,76,0.011293706293706282,-0.03970733717105263,0.80825,0.5714285714285714,7,0,-133.57000000000005
p_model_15m,< 0.2743,107,78,0.01943925233644857,0.03988543669871793,0.1835,0.42857142857142855,7,3,-225.72
raw_edge,< 0.0626,110,86,0.06068181818181819,0.05590851865310077,0.0855,0.7142857142857143,7,0,133.35999999999999
chg_1h,>= 0.1595,224,98,0.02640625,0.051226381802721085,0.08175,0.5714285714285714,7,4,-317.3900000000001
chg_1h,>= 0.3172,170,77,0.013117647058823517,0.04521064953102452,0.15,0.5,6,4,-362.1
chg_1h,>= 0.5361,113,50,0.033849557522123874,0.06605447958333331,0.1145,0.8333333333333334,6,2,-185.73000000000002
chg_4h,< -1.482,108,49,0.01907407407407408,-0.008546252125850348,0.55975,0.5714285714285714,7,0,-410.2199999999999
bp_1h,>= 0.6759,224,105,0.013571428571428573,0.03151421974206349,0.19925,0.5714285714285714,7,4,-349.9
bp_1h,>= 0.7807,168,79,0.02624999999999999,0.03495556302742616,0.2065,0.5714285714285714,7,4,32.31000000000003
bp_1h,>= 0.8659,112,53,0.006607142857142863,0.025408525550314462,0.31525,0.7142857142857143,7,4,-205.75000000000006
atr_ratio_15m,>= 0.00681,112,53,0.012633928571428565,0.061090929769392024,0.15275,0.4,5,0,-309.19000000000005
upper_wick_15m,>= 0.3805,112,87,0.08169642857142856,0.07699817289272029,0.0405,0.7142857142857143,7,1,575.32
rsi_1h,< 33.81,112,49,0.009910714285714283,-0.047722779549319735,0.8385,0.5714285714285714,7,0,58.43999999999997
ema20_dist_1h,< -1.591,111,49,0.016306306306306303,-0.020332279822643348,0.641,0.6666666666666666,6,0,117.91999999999999
kalman_velocity,>= 0.0003895,189,81,0.006666666666666656,0.025135604662698405,0.2805,0.5,6,4,-521.82
kalman_velocity,>= 0.000761,151,68,0.02751655629139071,0.05835339027485993,0.09975,0.6666666666666666,6,4,-395.1
kalman_velocity,>= 0.001451,114,48,0.030219298245614017,0.05223293033854165,0.185,0.6666666666666666,6,2,-138.32
kalman_residual,>= -0.000809,229,96,0.005043668122270734,0.01679061373594577,0.323,0.5,6,4,-692.6500000000001
kalman_residual,>= 0.00035,189,81,0.01256613756613757,0.044143862397119336,0.14425,0.5,6,4,-388.20000000000005
kalman_residual,>= 0.0009832,151,72,0.02850993377483444,0.06251565885416666,0.06825,0.6666666666666666,6,4,-246.81999999999994
kalman_residual,>= 0.002,116,59,0.034224137931034494,0.0608369572740113,0.09825,0.8333333333333334,6,2,-215.37000000000006
hurst_exponent,>= 0.6207,114,51,0.017938596491228077,0.005476652165032684,0.46575,0.6,5,2,-491.37
ou_theta,>= 2.754,116,42,0.00913793103448274,-0.010498913548752853,0.57575,0.4,5,0,-403.1
ou_mu_distance,>= 0.0297,189,83,0.012513227513227507,0.029747339357429712,0.22175,0.6,5,4,-423.90000000000003
ou_mu_distance,>= 0.2725,151,64,0.020529801324503306,0.0520054476453993,0.13375,0.6,5,4,-304.14
ou_mu_distance,>= 0.4401,116,54,0.049698275862068944,0.08113802044753085,0.058,1.0,5,4,-103.45
mu12h,< -0.002375,111,53,0.03171171171171171,-0.02585499017295598,0.6745,0.5,6,0,141.75
mu24h,< -0.002004,112,49,0.017767857142857137,-0.02091288881802722,0.65025,0.6666666666666666,6,0,104.99000000000002
cvd_4h,< -1.527e+04,110,59,0.011454545454545455,0.007605840647699757,0.4385,0.42857142857142855,7,0,-32.73000000000003
cg_futures_delta_4h,< -4.376e+07,112,46,0.02366071428571428,0.03211505887681159,0.269,0.6666666666666666,6,0,-311.93000000000006
cg_futures_cvd_12h,< -8.315e+07,110,41,0.05836363636363636,0.006620475355691058,0.45025,0.6666666666666666,6,0,129.51000000000002
cg_futures_cvd_12h,< -4.607e+07,222,83,0.012860360360360356,-0.014878992093373497,0.63525,0.5714285714285714,7,0,-166.9099999999999
ls_long_pct,>= 76.75,166,64,0.019096385542168668,0.032811967203776035,0.23425,0.75,4,0,178.23
ls_long_pct,>= 77.57,111,39,0.03864864864864865,0.053703670177045165,0.175,0.6666666666666666,3,0,258.46
oi_chg_pct,>= 0.0792,166,105,0.0175,-0.005884541468253966,0.549,0.5714285714285714,7,0,280.8199999999998
oi_chg_pct,>= 0.1353,111,82,0.038288288288288286,0.050334011432926845,0.15075,0.5714285714285714,7,0,374.9300000000001
composite_p_up,< 0.4234,99,40,0.016414141414141416,0.006113211607142849,0.4625,0.2,5,2,-92.28999999999998
sto_b60,< 20.07,111,54,0.031171171171171175,-0.0554396412037037,0.86375,0.5714285714285714,7,0,-32.23999999999993
x_scross_1h,== 1,122,71,0.03377049180327868,0.04680777288732395,0.137,0.5714285714285714,7,2,206.31999999999996
x_vwap_hmm,== 7,64,45,0.0178125,0.008093449074074072,0.4455,0.8333333333333334,6,0,115.22000000000004
x_ms_state,== 2,62,26,0.06395161290322578,0.0726841798878205,0.14375,0.5,2,0,-43.25
x_vd_state,== 6,85,33,0.010294117647058822,0.05275388182966023,0.192,0.25,4,0,-199.17999999999998
x_vd_state,== 0,79,31,0.011329113924050605,0.04465773252688172,0.2465,0.6666666666666666,3,0,40.40999999999997
consec_dir_15m,== -2.0,77,68,0.03376623376623376,0.04140421875,0.225,0.5,6,2,-106.36
consec_dir_1h,== 1.0,176,95,0.01110795454545454,0.017767548026315787,0.3155,0.7142857142857143,7,2,-166.11000000000007
engulfing_1h,== 1.0,76,42,0.06868421052631579,0.0773020808531746,0.08075,0.8333333333333334,6,2,224.04999999999993
stoch_cross_1h,== 1.0,99,59,0.04939393939393939,0.06492883474576272,0.1015,0.7142857142857143,7,2,336.3899999999999
