feature,split,n,eps,edge,ep_edge,P_neg,wk_pos,streak_leak,pnl
m_ema9d_4h,< -2.188,164,66,0.02237804878048781,-0.016013765782828288,0.63,0.6666666666666666,0,-162.8099999999999
m_ema20d_1h,< -1.798,110,51,0.035409090909090904,-0.016428854779411764,0.622,0.8333333333333334,0,134.37
m_ema20d_4h,< -3.48,165,65,0.023151515151515152,0.006878026762820504,0.4445,0.6666666666666666,0,-90.48000000000002
m_ema50d_15m,< -1.23,112,56,0.006428571428571422,-0.038280487351190474,0.77625,0.5714285714285714,0,-12.740000000000059
m_ema50d_1h,< -2.959,168,67,0.04735119047619046,0.01955122056384742,0.32475,0.6666666666666666,0,240.84000000000003
m_ema20slope_1h,< -1.045,112,43,0.020535714285714275,-0.014267879602713184,0.601,0.6,0,46.41000000000008
m_ema20slope_1h,< -0.782,166,66,0.01701807228915662,-0.024628272306397306,0.70075,0.5,0,-134.05
m_ema20slope_1h,< -0.5333,224,86,0.006674107142857147,-0.014613469759366931,0.6395,0.5714285714285714,0,-349.53
m_ema20slope_4h,< -3.013,106,38,0.015141509433962256,0.04005666640559732,0.248,0.5,0,39.180000000000035
m_adx_5m,< 17.58,112,63,0.006785714285714274,-0.01880717890211641,0.63425,0.16666666666666666,0,-303.27
m_adx_15m,>= 30.33,168,65,0.011041666666666663,-0.0072175778846153855,0.562,0.5714285714285714,0,-352.63000000000005
m_adx_15m,>= 35.05,112,44,0.022276785714285714,0.002638604640151517,0.4855,0.5714285714285714,0,-145.29000000000002
m_adx_1h,>= 37.47,168,67,0.014464285714285702,0.016689065496381723,0.36425,0.3333333333333333,0,130.87000000000006
m_adx_1h,>= 46.69,112,47,0.020758928571428553,0.015572516548463346,0.39025,0.5,0,-31.680000000000014
m_didiff_1h,< -22.62,112,47,0.02857142857142856,-0.012925112293144213,0.58375,0.6666666666666666,0,173.32000000000002
m_didiff_1h,< -18.5,168,69,0.02520833333333333,-0.0063229326690821255,0.55075,0.5,0,68.75
m_didiff_4h,< -27.75,112,45,0.009419642857142847,0.011784607484567894,0.40825,0.5,0,-24.22999999999996
m_macdh_5m,>= 0.04336,168,83,0.012053571428571422,0.016270303069420535,0.34325,0.7142857142857143,4,-218.77000000000004
m_macdh_5m,>= 0.06705,112,62,0.009330357142857139,0.002763155241935476,0.476,0.5714285714285714,2,-235.83
m_macdslope_5m,< -0.03429,112,72,0.013616071428571432,0.018901543402777773,0.339,0.42857142857142855,1,-66.47999999999999
m_macdslope_5m,< -0.01903,168,104,0.014345238095238093,0.008004392427884614,0.4075,0.42857142857142855,1,-141.26000000000002
m_macdslope_15m,>= 0.03151,224,102,0.007834821428571424,0.01186357434640522,0.37225,0.5714285714285714,4,-153.42000000000002
m_macdslope_15m,>= 0.05076,168,84,0.025297619047619038,0.03343976314484127,0.2275,0.7142857142857143,3,-55.56
m_macdslope_15m,>= 0.07964,112,60,0.03892857142857141,0.06283916249999999,0.12225,0.5714285714285714,2,-107.30000000000001
m_vwapvel_15m,>= 0.2402,224,110,0.024308035714285695,0.030870856953463203,0.201,0.7142857142857143,2,268.58000000000004
