feature,split,n,episodes,edge,ep_edge,P_pos,wk_neg_frac,n_weeks,streak_hits,pnl
offset_pct,< -0.1109,312,220,-0.027740384615384618,-0.01258768762626263,0.32033333333333336,0.4444444444444444,9,2,-640.53
offset_pct,< -0.0878,465,280,-0.009731182795698921,0.0009296546626984083,0.514,0.5555555555555556,9,3,-454.75000000000006
tau_minutes,>= 13.47,156,96,-0.03673076923076925,-0.046218359375,0.12233333333333334,0.5555555555555556,9,0,-714.6599999999999
z_score,>= 0.1218,761,321,-0.013495400788436267,-0.012119794212666029,0.27466666666666667,0.42857142857142855,7,3,6.059999999999945
z_score,>= 0.1798,654,295,-0.019258409785932726,-0.01894329206573402,0.199,0.42857142857142855,7,3,-158.09999999999997
z_score,< 0.6851,978,349,-0.0065920245398772975,-0.015178036340962332,0.221,0.2857142857142857,7,3,413.5500000000002
body_5m,>= 0.5661,652,293,-0.017618098159509203,-0.007541495033136503,0.37033333333333335,0.5714285714285714,7,3,-378.27000000000015
body_5m,>= 0.7619,544,259,-0.017871323529411766,-0.0073638129812701285,0.37866666666666665,0.5714285714285714,7,3,-657.7400000000001
body_5m,>= 1,437,226,-0.026514874141876425,-0.024414251144823717,0.168,0.5714285714285714,7,3,-1014.0199999999998
body_5m,>= 1,437,226,-0.026514874141876425,-0.024771055007725817,0.17866666666666667,0.5714285714285714,7,3,-1014.0199999999998
body_5m,>= 1,437,226,-0.026514874141876425,-0.02414595696727069,0.177,0.5714285714285714,7,3,-1014.0199999999998
body_5m,>= 1,437,226,-0.026514874141876425,-0.02440742477524934,0.187,0.5714285714285714,7,3,-1014.0199999999998
body_15m,>= 0.5368,934,417,-0.009684154175588863,-0.011985756585208023,0.262,0.5555555555555556,9,3,-450.5999999999998
body_15m,>= 0.6489,779,384,-0.015288831835686776,-0.02002421041406751,0.16,0.5555555555555556,9,2,-447.5099999999998
body_15m,>= 0.7391,624,338,-0.01386939102564103,-0.019106372945430636,0.18366666666666667,0.6666666666666666,9,2,-481.1700000000001
bp_15m,< 0.1818,346,218,-0.011219653179190754,-0.023644410295616713,0.20033333333333334,0.5,8,1,-292.4199999999999
bp_15m,>= 0.65,463,255,-0.009557235421166307,-0.0009308828820417067,0.488,0.625,8,2,65.39999999999995
upper_wick_15m,< 0.2773,808,351,-0.011735148514851485,-0.011647692982257797,0.2793333333333333,0.5,8,3,130.06
upper_wick_15m,< 0.4081,924,366,-0.007361471861471862,-0.006394887092365235,0.36333333333333334,0.375,8,3,414.27000000000004
lower_wick_15m,>= 0.4,233,157,-0.0052360515021459275,-0.002739938075017694,0.4663333333333333,0.625,8,0,-2.229999999999876
