n,wr,be,edge,pnl,pos_weeks,k
19688,0.7881450629825274,0.7248519402681837,0.06329312271434373,105560.57562241836,0.6,0.0
19705,0.7863486424765288,0.724834559756407,0.06151408272012182,100482.94350378064,0.4,0.1
19695,0.7855293221629855,0.7252020817466361,0.060327240416349404,95419.66594866711,0.4,0.2
19690,0.7838496698831894,0.7251488065007619,0.058700863382427526,89299.18027374295,0.4,0.3
19700,0.7828934010152284,0.725084771573604,0.05780862944162446,83300.07679723928,0.4,0.4
19726,0.7814052519517388,0.7247485552063266,0.05665669674541218,79187.67705706536,0.4,0.5
19747,0.7794601711652402,0.7239671848888439,0.05549298627639632,75541.14528273861,0.4,0.6
19852,0.7751360064477131,0.7228639431795285,0.052272063268184565,67994.44432979249,0.4,0.8
20006,0.7691192642207337,0.720203688893332,0.04891557532740176,59203.43317534859,0.4,1.0
20220,0.7627101879327398,0.7168100890207716,0.04590009891196822,52997.40721245756,0.4,1.2
20417,0.7567713180192976,0.7136993681735809,0.04307194984571672,43180.20453284015,0.4,1.4
20584,0.7521861640108822,0.7111309755149632,0.04105518849591905,38205.7678782315,0.4,1.6
20763,0.7470500409382074,0.7080852959591581,0.038964744979049226,32588.697338285026,0.4,1.8
20894,0.7417440413515842,0.7052323633579017,0.03651167799368249,25371.183907294704,0.4,2.0
21216,0.728459653092006,0.6965978506787329,0.03186180241327308,6548.717261744125,0.4,2.5
21591,0.7155759344171182,0.6879181140289936,0.027657820388124588,-9374.1067703519,0.4,3.0
