feature,split,n_rescued,wr_rescued,edge_rescued,pnl_rescued,n_weeks,worst_wk_share,edge_remainder,pnl_remainder
offset_pct,>=-1.347(q0.1),360,0.8194444444444444,0.18801388888888892,6285.24,13,32.68560537590421,0.37612500000000004,921.1299999999999
offset_pct,<-1.347(q0.1),40,1.0,0.37612500000000004,921.1299999999999,2,93.48191894737985,0.18801388888888892,6285.24
offset_pct,>=-0.3953(q0.2),320,0.8,0.17823437500000006,5548.1,13,34.56645356121695,0.32118750000000007,1658.27
offset_pct,<-0.3953(q0.2),80,0.9875,0.32118750000000007,1658.27,7,80.31502710656287,0.17823437500000006,5548.1
offset_pct,>=-0.2524(q0.3),280,0.7821428571428571,0.17112499999999997,4926.299999999999,13,34.97687065080654,0.29012499999999997,2280.07
offset_pct,<-0.2524(q0.3),120,0.9666666666666667,0.29012499999999997,2280.07,8,62.00730679321249,0.17112499999999997,4926.299999999999
offset_pct,>=-0.1492(q0.4),240,0.7708333333333334,0.16527083333333348,4295.46,13,35.2390210017321,0.2691562500000001,2910.9100000000003
offset_pct,<-0.1492(q0.4),160,0.9375,0.2691562500000001,2910.9100000000003,11,54.60291445709085,0.16527083333333348,4295.46
offset_pct,>=-0.0685(q0.5),201,0.7562189054726368,0.15161691542288558,3637.2,13,38.56358888247353,0.2625879396984925,3569.17
offset_pct,<-0.0685(q0.5),199,0.9195979899497487,0.2625879396984925,3569.17,11,50.556544172857365,0.15161691542288558,3637.2
offset_pct,>=-0.0031(q0.6),161,0.782608695652174,0.1501552795031056,3186.68,13,42.07677315688827,0.24499999999999988,4019.69
offset_pct,<-0.0031(q0.6),239,0.8744769874476988,0.24499999999999988,4019.69,13,42.6426731813914,0.1501552795031056,3186.68
offset_pct,>=0.218(q0.7),122,0.8360655737704918,0.16959016393442627,2822.8000000000006,13,43.07921563314932,0.22316546762589928,4383.57
offset_pct,<0.218(q0.7),278,0.8381294964028777,0.22316546762589928,4383.57,13,42.00088690198831,0.16959016393442627,2822.8000000000006
offset_pct,>=0.2808(q0.8),80,0.8125,0.14868749999999997,1716.7400000000002,13,31.05215429065525,0.22135937500000002,5489.629999999999
offset_pct,<0.2808(q0.8),320,0.84375,0.22135937500000002,5489.629999999999,13,33.48774267423099,0.14868749999999997,1716.7400000000002
offset_pct,>=0.4099(q0.9),40,0.875,0.20537499999999997,1275.1399999999999,12,41.67710508002784,0.2069861111111112,5931.23
offset_pct,<0.4099(q0.9),360,0.8333333333333334,0.2069861111111112,5931.23,13,30.790937609843272,0.20537499999999997,1275.1399999999999
p_market,>=0.21(q0.1),362,0.8425414364640884,0.21469613259668507,6648.44,13,30.683893149489172,0.13184210526315798,557.93
p_market,<0.21(q0.1),38,0.7894736842105263,0.13184210526315798,557.93,11,47.78231222894572,0.21469613259668507,6648.44
p_market,>=0.26(q0.2),325,0.8369230769230769,0.21860000000000002,6084.579999999999,13,31.926628225970333,0.15579999999999994,1121.79
p_market,<0.26(q0.2),75,0.84,0.15579999999999994,1121.79,13,37.757760738479874,0.21860000000000002,6084.579999999999
